,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,CYTB_COX2,Mytilus_galloprovincialis,0.9938595402106132,72305.17718478177,73198.63750810584,23908.315583423304,24203.745761496288,COX2,CYTB,True,True,31.2,False,NC_006886.2,gene,2.0,488765.0,2535,2833,299,2045.4801593835164,2278.297618004201,3874.0535117056857,4315.0,0.5805508104661176,0.7686560312213089,0.0,0.0,popphyl,gene-MG_0,10,97,794.4160766708432,54.432454946284246
1,COX2_ND1,Mytilus_galloprovincialis,0.385712200769177,73198.63750810584,17489.82280607554,24203.745761496288,5783.157160063186,ND1,COX2,True,True,3.5,False,NC_006886.2,,444.0,487113.47,3266,3564,299,166.81810699831493,166.8463609013505,315.9464882943144,316.0,-0.9373170598471234,-0.937294232063077,0.0,0.0,popphyl,gene-MG_1gene-MG_2,101,192,8107.181565775261,555.4945428216114
2,ND1_ND4,Mytilus_galloprovincialis,0.5222387729611474,17489.82280607554,6180.879180228106,5783.157160063186,2043.7597386180887,ND4,ND1,True,True,4.5,False,NC_006886.2,gene,67.0,268335.44,4626,4924,299,212.74835812066505,219.64584219924626,402.9364548494983,416.0,-0.900207643406035,-0.894634810625608,0.0,0.0,popphyl,gene-MG_3,1,162,47.56688854140234,3.2592272406108482
3,ND4_COX3,Mytilus_galloprovincialis,0.1273706832932736,6180.879180228106,90872.52463949556,2043.7597386180887,30047.7653403876,COX3,ND4,True,True,19.3,False,NC_006886.2,gene,3.0,150981.59000000003,6001,6299,299,1611.5425896102806,1917.149165926594,3052.1939799331103,3631.0,0.22995028918324487,0.4768655885890208,0.0,0.0,popphyl,gene-MG_4,1,98,78.63097901742019,5.3877021732546675
4,COX3_ND2,Mytilus_galloprovincialis,0.47644109581747995,90872.52463949556,28417.283440821582,30047.7653403876,9396.414018742604,ND2,COX3,True,True,26.5,False,NC_006886.2,gene,290.0,955609.1699999999,6797,7095,299,910.1818276044944,211.1979251915829,1723.8461538461538,400.0,-0.33671520810264843,-0.9014603180556032,0.0,0.0,popphyl,gene-MG_5gene-MG_6,101,192,8107.181565775261,555.4945428216114
5,ND2_ND3,Mytilus_galloprovincialis,0.8012216974076578,28417.283440821582,42517.598958807204,9396.414018742604,14058.80205726876,ND3,ND2,True,True,50.1,False,NC_006886.2,,408.0,210872.27000000002,8035,8333,299,190.1134500512191,190.07813267242463,360.066889632107,360.0,-0.9184955519005327,-0.9185240866305908,0.0,0.0,popphyl,gene-MG_7gene-MG_8,38,192,3050.2267277174246,208.9979468041706
6,ND3_COX1,Mytilus_galloprovincialis,0.450946545408216,42517.598958807204,146052.86196053957,14058.80205726876,48293.608446473496,COX1,ND3,True,True,6.5,False,NC_006886.2,gene,275.0,450995.73,8794,9092,299,2778.555927546838,3201.760545904397,5262.468227424749,6064.0,1.1728404953445497,1.514769312162642,0.0,0.0,popphyl,gene-MG_10gene-MG_9,113,192,9070.411058738659,621.4938944439809
7,COX1_ATP6,Mytilus_galloprovincialis,0.573859984839581,146052.86196053957,58769.75069732188,48293.608446473496,19432.712858719253,ATP6,COX1,True,True,2.9,False,NC_006886.2,gene,9.0,1135011.52,10734,11032,299,1455.0742404677192,1551.2487605321764,2755.849498327759,2938.0,0.10353144786853531,0.18123579802736053,0.0,0.0,popphyl,gene-MG_11,5,104,370.472881908999,25.38436600860372
8,ATP6_ND4L,Mytilus_galloprovincialis,0.09034090799737482,58769.75069732188,2780.2410718279716,19432.712858719253,919.3101176335747,ND4L,ATP6,True,True,2.4,False,NC_006886.2,gene,67.0,456609.13,11460,11758,299,266.7609913801545,270.33334424522616,505.2341137123746,512.0,-0.8565680539910551,-0.8536817660456377,0.0,0.0,popphyl,gene-MG_12,4,162,190.2675541656093,13.036908962443393
9,ND4L_ND5,Mytilus_galloprovincialis,0.4903740181521946,2780.2410718279716,8559.026380817058,919.3101176335747,2830.114132442633,ND5,ND4L,True,True,4.3,False,NC_006886.2,gene,10.0,172660.03,11809,12107,299,363.9879693326908,353.22852988292243,689.3779264214047,669.0,-0.7780133688764872,-0.7867064743888114,0.0,0.0,popphyl,gene-MG_13,83,105,6091.279841216151,417.36732835479484
10,ND5_ND6,Mytilus_galloprovincialis,0.7115753957954842,8559.026380817058,15497.52878224828,2830.114132442633,5124.388367686094,ND6,ND5,True,True,27.3,False,NC_006886.2,gene,1.0,262463.26,13524,13822,299,734.0858451968438,712.2650027086133,1390.3277591973244,1349.0,-0.4789922256473729,-0.4966224086140221,0.0,0.0,popphyl,gene-MG_14,14,96,1123.7677417906302,76.99924355943129
