,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND1_ND2,Sus_scrofa,0.5277176314351395,35410.14532787056,12692.23786155441,31778.646785760517,11390.581433330977,ND2,ND1,True,True,99.4,False,NC_000845.1,gene,210.0,673998.26,4878,5176,299,249.65607093469234,81.72088620463883,513.2374581939799,168.0,-1.589765818970636,-1.7665820008066104,0,0,ssRNA_10_mammals,gene-SS_0gene-SS_1,158,400,2338.184098616493,384.2827387003849
1,ND2_COX1,Sus_scrofa,0.09811791244779222,12692.23786155441,246021.74299913386,11390.581433330977,220790.90610885067,COX1,ND2,True,True,99.5,False,NC_000845.1,,382.0,307728.24,6130,6428,299,742.8349164791947,850.7727974518649,1527.103678929766,1749.0,-1.070505959450282,-0.9568599476289256,0,0,ssRNA_10_mammals,gene-SS_2gene-SS_3,371,400,5490.2930416880945,902.3347851762204
2,COX1_COX2,Sus_scrofa,0.7853026444299468,246021.74299913386,159053.21969999332,220790.90610885067,142741.46694918445,COX2,COX1,True,True,99.5,False,NC_000845.1,gene,147.0,1227134.71,8057,8355,299,1567.1515694124305,1970.0570781475437,3221.7157190635453,4050.0,-0.20259657268446937,0.22161598175871072,0,0,ssRNA_10_mammals,gene-SS_4,44260,346,378605.5030539474,62224.16775766093
3,COX2_ATP8,Sus_scrofa,0.033668522604984874,159053.21969999332,2723.3897155322225,142741.46694918445,2444.091630478373,ATP8,COX2,True,True,99.5,False,NC_000845.1,gene,68.0,800985.3599999999,8892,9119,228,1267.7170087636432,1312.6417346620115,2606.1447368421054,2698.5,-0.5178662751518635,-0.4705657733770522,0,0,ssRNA_10_mammals,gene-SS_5,781,228,10138.362097598718,1666.2492722906986
4,ATP8_ATP6,Sus_scrofa,0.1304801450633024,2723.3897155322225,39020.73486696217,2444.091630478373,35018.95118408348,ATP6,ATP8,True,True,99.6,False,NC_000845.1,gene,1.0,845801.23,9120,9418,299,2495.9669021430554,2551.8319585091385,5131.153846153846,5246.0,0.7753377477983326,0.8341571427963522,0,0,ssRNA_10_mammals,gene-SS_6,3722,200,55080.51401930751,9052.533882549576
5,ATP6_COX3,Sus_scrofa,0.3492694896602735,39020.73486696217,184421.25489811448,35018.95118408348,165507.87535404688,COX3,ATP6,True,True,99.5,False,NC_000845.1,gene,1.0,1334707.3699999999,9800,10098,299,2698.453531792963,2793.589580197862,5547.421404682274,5743.0,0.9885325752258474,1.0886997490134993,0,0,ssRNA_10_mammals,gene-SS_7,863,200,12771.220741177429,2098.962047458432
6,COX3_ND3,Sus_scrofa,0.14337237800830605,184421.25489811448,14241.366204416467,165507.87535404688,12780.83843391088,ND3,COX3,True,True,99.5,False,NC_000845.1,gene,69.0,1073688.17,10585,10883,299,1176.3727425886352,1410.658154722932,2418.361204013378,2900.0,-0.6140411440671297,-0.3673659038544061,0,0,ssRNA_10_mammals,gene-SS_8,961,268,10613.04987138886,1744.2646509119115
7,ND3_ND4L,Sus_scrofa,0.9371070372043392,14241.366204416467,16152.95512498593,12780.83843391088,14496.383754153803,ND4L,ND3,True,True,99.4,False,NC_000845.1,gene,70.0,528492.34,11000,11298,299,1378.2883412013985,1522.0515055613982,2833.454849498328,3129.0,-0.4014475457856088,-0.25008168489318544,0,0,ssRNA_10_mammals,gene-SS_9,469,269,5160.267009793117,848.0946988399629
8,ND4L_ND4,Sus_scrofa,0.9920196626230412,16152.95512498593,15897.184200192472,14496.383754153803,14266.843496642317,ND4,ND4L,True,True,99.6,False,NC_000845.1,gene,1.0,883534.31,11359,11657,299,1521.879057441919,1568.2627209747354,3128.6454849498327,3224.0,-0.250263252669469,-0.20142665955992795,0,0,ssRNA_10_mammals,gene-SS_10,2060,200,30485.18508322769,5010.26861849869
9,ND4_ND5,Sus_scrofa,0.8732878180102183,15897.184200192472,20510.47859399175,14266.843496642317,18407.02003932053,ND5,ND4,True,True,98.9,False,NC_000845.1,gene,198.0,855079.4900000001,12738,13036,299,532.9639282036525,286.0231017162359,1095.6555183946489,588.0,-1.2914756560905294,-1.5514755730174723,0,0,ssRNA_10_mammals,gene-SS_11,1331,397,9922.912461367065,1630.83992350927
10,ND5_ND6,Sus_scrofa,0.6959095234198593,20510.47859399175,10945.128148538299,18407.02003932053,9822.647104007248,ND6,ND5,True,False,84.4,True,NC_000845.1,gene,1.0,611531.17,14739,15037,299,1330.2680474025794,1248.189250006567,2734.735785953177,2566.0,-0.452007319866291,-0.5384267297629113,0,0,ssRNA_10_mammals,gene-SS_12,1430,200,21162.04595583282,3478.0020021617115
11,ND6_CYTB,Sus_scrofa,0.5871890762854777,10945.128148538299,26334.612196007998,9822.647104007248,23633.85779606587,CYTB,ND6,False,True,99.2,True,NC_000845.1,gene,75.0,652868.12,15268,15566,299,1406.4933699505978,1729.2723241517324,2891.438127090301,3555.0,-0.3717509369420007,-0.03190230813563085,0,0,ssRNA_10_mammals,gene-SS_13,1038,274,11212.395335692136,1842.767637304812
