,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND2_COX1,Dendrolimus_kikuchii,0.01120764233168392,2953.4334197768226,524085.7657929756,2454.0723823412977,435474.31785610353,COX1,ND2,True,True,95.7,False,NC_036347.1,gene,227.0,4715.500000000001,1268,1566,299,8890.884112970125,483.294542587152,1398.1270903010034,76.0,0.12104854058084497,-0.5510560984946131,0.0,0.0,DK_transc,gene-DK_0gene-DK_1,0,284,0.0,0.0
1,COX1_COX2,Dendrolimus_kikuchii,0.2513787009033521,524085.7657929756,75341.64146063912,435474.31785610353,62603.016648598124,COX2,COX1,True,True,97.9,False,NC_036347.1,gene,67.0,808350.7999999999,3026,3324,299,6139.099757787002,4667.607819196968,965.3979933110368,734.0,-0.0989297320704447,-0.2165611352222342,0.0,0.0,DK_transc,gene-DK_2,23,208,8555.730931314449,703.1739928836347
2,COX2_ATP8,Dendrolimus_kikuchii,0.008904224564021068,75341.64146063912,336.92949523767214,62603.016648598124,279.9620819356226,ATP8,COX2,True,True,97.7,False,NC_036347.1,gene,142.0,159374.69,3775,4067,293,2187.196462356874,2181.184580360436,343.9453924914676,343.0,-0.4148457881292076,-0.4153263793552132,0.0,0.0,DK_transc,gene-DK_3,5,283,1367.0241463461405,112.35227417406358
3,ATP8_ATP6,Dendrolimus_kikuchii,0.07326278741287873,336.92949523767214,8860.90496167089,279.9620819356226,7362.719607415663,ATP6,ATP8,True,True,99.5,False,NC_036347.1,gene,1.0,86941.29999999999,4068,4366,299,2304.007410119315,2295.649077288972,362.314381270903,361.0,-0.40550789416700733,-0.4061760612109839,0.0,0.0,DK_transc,gene-DK_4,2,142,1089.7685448336838,89.56533405988733
4,ATP6_COX3,Dendrolimus_kikuchii,0.06467034506564995,8860.90496167089,265172.1144284609,7362.719607415663,220337.30580427524,COX3,ATP6,True,True,97.8,False,NC_036347.1,gene,15.0,171476.03999999998,4747,5045,299,31986.233804560412,34968.90381166775,5029.963210702341,5499.0,1.9672960933239212,2.2057314179584435,0.0,0.0,DK_transc,gene-DK_5,0,156,0.0,0.0
5,COX3_ND3,Dendrolimus_kikuchii,0.05564045775461801,265172.1144284609,7588.255932090092,220337.30580427524,6305.247712165118,ND3,COX3,True,True,96.7,False,NC_036347.1,gene,68.0,534090.05,5551,5849,299,2998.302003622115,3154.1328042529917,471.494983277592,496.0,-0.35000582508146966,-0.3375486751292649,0.0,0.0,DK_transc,gene-DK_6,1,209,370.20845302962476,30.426501044267944
6,ND3_ND5,Dendrolimus_kikuchii,0.7621352238688833,7588.255932090092,12324.892534055503,6305.247712165118,10241.022594454022,ND5,ND3,True,False,92.2,True,NC_036347.1,,448.0,115693.31000000001,5973,6271,299,2107.9162429544763,2104.874915741412,331.4782608695652,331.0,-0.42118346705622933,-0.421426591451366,0.0,0.0,DK_transc,gene-DK_7gene-DK_8,0,284,0.0,0.0
7,ND5_ND4,Dendrolimus_kikuchii,0.8743582379294224,12324.892534055503,9573.535454942177,10241.022594454022,7954.859860397387,ND4,ND5,False,False,97.0,False,NC_036347.1,gene,68.0,89321.36,8164,8462,299,1871.6285133231163,1634.2986505907638,294.32107023411373,257.0,-0.44007236237068253,-0.4590445660443082,0.0,0.0,DK_transc,gene-DK_9,0,209,0.0,0.0
8,ND4_ND4L,Dendrolimus_kikuchii,0.5451584447309494,9573.535454942177,3587.3966345618223,7954.859860397387,2980.846274180625,ND4L,ND4,False,False,98.4,False,NC_036347.1,gene,23.0,76053.85,9571,9869,299,1881.2203914566685,1863.227644447836,295.8294314381271,293.0,-0.439305585432175,-0.44074392975584986,0.0,0.0,DK_transc,gene-DK_10,0,164,0.0,0.0
9,ND4L_ND6,Dendrolimus_kikuchii,0.0,3587.3966345618223,0.0,2980.846274180625,0.0,ND6,ND4L,False,True,95.6,True,NC_036347.1,gene,162.0,80569.88,9882,10180,299,1527.6182498859118,1526.19329238048,240.22408026755852,240.0,-0.4675726217506352,-0.4676865331805248,0.0,0.0,DK_transc,gene-DK_11gene-DK_12,0,284,0.0,0.0
10,ND6_CYTB,Dendrolimus_kikuchii,0.0,0.0,33303.72917567852,0.0,27672.796499059965,CYTB,ND6,True,True,96.0,False,NC_036347.1,gene,7.0,50147.99,10563,10861,299,1786.322475199678,1430.8062116067001,280.90635451505017,225.0,-0.4468917466286729,-0.4753117983007158,0.0,0.0,DK_transc,gene-DK_13,0,148,0.0,0.0
11,CYTB_ND1,Dendrolimus_kikuchii,0.9819162520053644,33303.72917567852,32120.611879324748,27672.796499059965,26689.71847786269,ND1,CYTB,True,False,93.4,True,NC_036347.1,gene,68.0,26414.079999999998,11716,12014,299,837.300776584826,585.040762079184,131.66889632107024,92.0,-0.5227567589348406,-0.5429224823664094,0.0,0.0,DK_transc,gene-DK_14,11,209,4072.292983325871,334.6915114869473
12,ND1_RNR2,Dendrolimus_kikuchii,0.5574680128530014,32120.611879324748,12413.044449297871,26689.71847786269,10314.269947584857,RNR2,ND1,False,True,94.7,True,NC_036347.1,gene,170.0,51245.969999999994,12738,13036,299,1043.5367904673997,228.928993857072,164.10033444816054,36.0,-0.5062702046716321,-0.5713901388151225,0.0,0.0,DK_transc,gene-DK_15gene-DK_16,0,284,0.0,0.0
13,RNR2_RNR1,Dendrolimus_kikuchii,0.006327796899636029,12413.044449297871,39.39826419767595,10314.269947584857,32.73687885844015,RNR1,RNR2,True,True,95.7,False,NC_036347.1,gene,62.0,28619.97,14265,14563,299,27.776037344605758,25.436554873008,4.367892976588629,4.0,-0.5874703523060405,-0.5876573710715299,0.0,0.0,DK_transc,gene-DK_17,0,203,0.0,0.0
