,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND2_COX1,Apis_mellifera,0.017290475941384442,3017.634049413184,346033.9547724479,2345.004619561501,268903.1238311758,COX1,ND2,True,True,95.7,False,NC_001566.1,gene,290.0,179614.18999999997,1505,1803,299,inf,inf,316.8528428093646,288.0,-0.7281977774214518,-0.7397943420606837,0.0,0.0,AM_transcriptome,gene-AM_0gene-AM_1,2567,380,34042.18316410595,2936.146052208657
1,COX1_COX2,Apis_mellifera,0.6419775027295538,346033.9547724479,163580.51106734187,268903.1238311758,127118.48018739812,COX2,COX1,True,True,97.9,False,NC_001566.1,gene,263.0,771020.57,3356,3654,299,inf,inf,262.5886287625418,204.0,-0.7500077068606,-0.7735557095672287,0.0,0.0,AM_transcriptome,gene-AM_2gene-AM_3,612,380,8116.017178197445,700.0083303278918
2,COX2_ATP8,Apis_mellifera,0.008927353497508395,163580.51106734187,733.4443824370012,127118.48018739812,569.9599211974232,ATP8,COX2,True,True,97.7,False,NC_001566.1,gene,148.0,409895.31,4297,4583,287,inf,inf,414.38327526132406,237.0,-0.6889982444085594,-0.7602923151896575,0.0,0.0,AM_transcriptome,gene-AM_4,791,290,6872.640419829245,592.7668016958468
3,ATP8_ATP6,Apis_mellifera,0.49412483230585336,733.4443824370012,2235.2159012988054,569.9599211974232,1736.98716558501,ATP6,ATP8,True,True,99.5,False,NC_001566.1,gene,1.0,144804.76,4584,4882,299,inf,inf,616.1705685618729,506.0,-0.6078956852743833,-0.6521755549603644,0.0,0.0,AM_transcriptome,gene-AM_5,1114,190,14773.27309887574,1274.1981699105745
4,ATP6_COX3,Apis_mellifera,0.6510557377743028,2235.2159012988054,4631.21894171512,1736.98716558501,3598.922080904605,COX3,ATP6,True,True,97.8,False,NC_001566.1,gene,20.0,278754.58999999997,5266,5564,299,inf,inf,1169.71237458194,1179.0,-0.3854155859496197,-0.3816826938662596,0.0,0.0,AM_transcriptome,gene-AM_6,1760,209,21218.34556391489,1830.087138112136
5,COX3_ND3,Apis_mellifera,0.30355948370179187,4631.21894171512,828.7059978529031,3598.922080904605,643.9877604115991,ND3,COX3,True,True,96.7,False,NC_001566.1,gene,120.0,307440.70999999996,6066,6364,299,inf,inf,281.7658862876254,225.0,-0.7422999635383152,-0.7651153676905924,0.0,0.0,AM_transcriptome,gene-AM_7,73,309,595.263861188308,51.34164361977209
6,ND3_ND5,Apis_mellifera,0.22511621792225855,828.7059978529031,6533.766644070106,643.9877604115991,5077.3926568268735,ND5,ND3,True,False,92.2,True,NC_001566.1,,353.0,86186.28,6540,6838,299,inf,inf,217.76588628762542,206.0,-0.7680229102099668,-0.7727518674837396,0.0,0.0,AM_transcriptome,gene-AM_8gene-AM_9,157,380,2082.0501584591484,179.5773004272533
7,ND5_ND4,Apis_mellifera,0.7139527916062158,6533.766644070106,3627.2392683496887,5077.3926568268735,2818.7290775662395,ND4,ND5,False,False,97.0,False,NC_001566.1,gene,87.0,91948.47,8558,8856,299,inf,inf,775.3010033444816,437.0,-0.5439378151532892,-0.6799081068407407,0.0,0.0,AM_transcriptome,gene-AM_10,112,277,1018.7869891699204,87.87060988047438
8,ND4_ND4L,Apis_mellifera,0.7731797824696098,3627.2392683496887,2285.997596382428,2818.7290775662395,1776.449641024474,ND4L,ND4,False,False,98.4,False,NC_001566.1,gene,3.0,165954.03999999998,9989,10255,267,inf,inf,1069.1535580524344,1007.0,-0.4258322902457612,-0.450813113046328,0.0,0.0,AM_transcriptome,gene-AM_11,72,192,944.8794508930847,81.49606786905603
9,ND4L_ND6,Apis_mellifera,0.7311890413611172,2285.997596382428,3966.82477121492,1776.449641024474,3082.6211068565167,ND6,ND4L,False,True,95.6,True,NC_001566.1,gene,186.0,246590.26,10256,10554,299,inf,inf,1040.28762541806,579.0,-0.43743411596109855,-0.6228353189130098,0.0,0.0,AM_transcriptome,gene-AM_12,355,375,2385.295680476765,205.73229577610596
10,ND6_CYTB,Apis_mellifera,0.09106538716761747,3966.82477121492,83153.53774178834,3082.6211068565167,64618.647239646096,CYTB,ND6,True,True,96.0,False,NC_001566.1,gene,59.0,295075.95999999996,10946,11244,299,inf,inf,1660.0936454849498,1170.0,-0.18832103469624867,-0.3852999832419609,0.0,0.0,AM_transcriptome,gene-AM_13,154,248,1564.6390907261834,134.95047797671643
11,CYTB_ND1,Apis_mellifera,0.13719347807623172,83153.53774178834,6124.15885540152,64618.647239646096,4759.086281399081,ND1,CYTB,True,False,93.4,True,NC_001566.1,gene,146.0,164733.34999999998,12157,12455,299,inf,inf,338.9464882943144,324.0,-0.7193178764122039,-0.7253251845578786,0.0,0.0,AM_transcriptome,gene-AM_14,77,335,579.1499917911842,49.951818713769654
