,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND1_ND2,Equus_caballus,0.32943146006360247,18752.408329464983,3697.922658066879,19923.53276036611,3928.8651318205157,ND2,ND1,True,True,99.4,False,NC_001640.1,gene,211.0,930787.7699999999,3727,4025,299,238.7544612213459,191.2751091485044,1530.324414715719,1226.0,-1.5041840388850893,-1.6628692140422687,0,0,ssRNA_10_mammals,gene-EC_0gene-EC_1,519,400,2271.6680512820026,404.8604471781149
1,ND2_COX1,Equus_caballus,0.03658017840536176,3697.922658066879,198483.85005438392,3928.8651318205157,210879.55314777087,COX1,ND2,True,True,99.5,False,NC_001640.1,gene,387.0,664202.3799999999,4976,5274,299,655.4303496788717,811.4370658086225,4201.056856187291,5201.0,-0.11157265189278326,0.4098319586159274,0,0,ssRNA_10_mammals,gene-EC_2gene-EC_3,532,400,2328.5691778073706,415.0014603058903
2,COX1_COX2,Equus_caballus,0.6603706798896635,198483.85005438392,97842.67411878974,210879.55314777087,103953.13972043556,COX2,COX1,True,True,99.5,False,NC_001640.1,gene,145.0,1471543.33,6904,7202,299,643.5455101619515,737.6416933557331,4124.879598662207,4728.0,-0.15129408359143176,0.16319355492603385,0,0,ssRNA_10_mammals,gene-EC_4,179390,344,456506.8464841584,81359.40719998436
3,COX2_ATP8,Equus_caballus,0.08762381168122502,97842.67411878974,4483.086593391111,103953.13972043556,4763.06408444841,ATP8,COX2,True,True,99.5,False,NC_001640.1,gene,72.0,988346.23,7733,7964,232,623.8801039799772,880.7859940439489,3998.831896551724,5645.5,-0.21701967352231688,0.6416094859735546,0,0,ssRNA_10_mammals,gene-EC_5,709,232,2675.2585349128626,476.7890124398436
4,ATP8_ATP6,Equus_caballus,0.12689860146890286,4483.086593391111,66173.11515347705,4763.06408444841,70305.75510369091,ATP6,ATP8,True,True,99.6,False,NC_001640.1,gene,1.0,1206821.24,7965,8263,299,958.2597339804637,958.8717951278204,6142.076923076923,6146.0,0.9005417050368338,0.9025873317384421,0,0,ssRNA_10_mammals,gene-EC_6,20192,200,88380.5805230948,15751.333621234096
5,ATP6_COX3,Equus_caballus,0.6352527387068537,66173.11515347705,142163.22445265113,70305.75510369091,151041.59476152385,COX3,ATP6,True,True,99.5,False,NC_001640.1,gene,1.0,1538125.46,8645,8943,299,935.8279277359014,971.1970264677324,5998.297658862876,6225.0,0.8255702711901964,0.9437806380629696,0,0,ssRNA_10_mammals,gene-EC_7,1105,200,4836.595754656288,861.9861158609191
6,COX3_ND3,Equus_caballus,0.31521896969826946,142163.22445265113,26598.438808943007,151041.59476152385,28259.563127787787,ND3,COX3,True,True,99.5,False,NC_001640.1,gene,70.0,1150930.9300000002,9429,9727,299,715.0481318207356,917.995711443556,4583.183946488294,5884.0,0.08768150362202248,0.7659715563330464,0,0,ssRNA_10_mammals,gene-EC_8,1475,269,4800.066435511461,855.4758000268166
7,ND3_ND4L,Equus_caballus,0.45641906928133136,26598.438808943007,7864.851426910276,28259.563127787787,8356.026719685324,ND4L,ND3,True,True,99.4,False,NC_001640.1,gene,71.0,1043062.54,9845,10143,299,596.3270537188442,772.1211379901697,3822.2274247491637,4949.0,-0.30910729510768736,0.27843052578325683,0,0,ssRNA_10_mammals,gene-EC_9,732,270,2373.3119439640705,422.9755902867054
8,ND4L_ND4,Equus_caballus,0.6143816802652589,7864.851426910276,17737.641875020967,8356.026719685324,18845.392164021017,ND4,ND4L,True,True,99.6,False,NC_001640.1,gene,1.0,1313786.8,10205,10503,299,906.0717375821757,916.7475867509066,5807.571906354515,5876.0,0.7261193300882597,0.7618000822748664,0,0,ssRNA_10_mammals,gene-EC_10,3739,200,16365.639390642405,2916.71139113482
9,ND4_ND5,Equus_caballus,0.4335347290295296,17737.641875020967,4909.0675078586,18845.392164021017,5215.648336858718,ND5,ND4,True,True,98.9,False,NC_001640.1,gene,207.0,1236365.71,11583,11881,299,249.9609721009566,136.8256694316789,1602.1538461538462,877.0,-1.4667297126528436,-1.8448497698303716,0,0,ssRNA_10_mammals,gene-EC_11gene-EC_12,521,400,2280.422070747444,406.4206030439265
10,ND5_ND6,Equus_caballus,0.5808194506978839,4909.0675078586,2009.1044051832469,5215.648336858718,2134.5768891331686,ND6,ND5,True,False,84.4,True,NC_001640.1,gene,1.0,680096.13,13587,13885,299,284.7487953697397,275.05547914258824,1825.1304347826087,1763.0,-1.3504620807720473,-1.382859017886935,0,0,ssRNA_10_mammals,gene-EC_13,948,200,4149.405226619149,739.5138803947069
11,ND6_CYTB,Equus_caballus,0.32448932695462873,2009.1044051832469,10374.072718322986,2134.5768891331686,11021.953768848272,CYTB,ND6,False,True,99.2,True,NC_001640.1,gene,74.0,534580.45,14115,14413,299,603.5413396722597,795.2114448041818,3868.4682274247493,5097.0,-0.2849957565088592,0.35560279585958715,0,0,ssRNA_10_mammals,gene-EC_14,1307,273,4191.026901586704,746.9317643281262
