,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,RNR1_RNR2,Homo_sapiens,0.2867606397334852,131138.5377818976,783481.6688390494,92089.57309774516,550185.2745475455,RNR2,RNR1,True,True,99.6,False,NC_012920.1,gene,70.0,511766.73,1602,1900,299,4410.4981847031995,6220.9025011252725,5252.127090301004,7408,1.6410413180606274,2.5594608073144864,0,0,HS_lung_cancer,gene-HS_0,21,165,1498.5043908853845,106.87786547191462
1,RNR2_ND1,Homo_sapiens,0.006740240937890385,783481.6688390494,2649.356258955618,550185.2745475455,1860.460631922196,ND1,RNR2,True,True,99.5,False,NC_012920.1,gene,78.0,1119343.47,3230,3528,299,209.00341916640758,200.70136308975967,248.88628762541805,239,-0.49038017804646133,-0.494591817420334,0,0,HS_lung_cancer,gene-HS_1,141,173,9596.120191012518,684.4243160484706
2,ND1_ND2,Homo_sapiens,0.759031361651449,2649.356258955618,1620.4635851321632,1860.460631922196,1137.9400922057705,ND2,ND1,True,True,99.4,False,NC_012920.1,gene,208.0,76856.07,4263,4561,299,63.47028595269413,59.62258066683238,75.58193979933111,71,-0.5642092474224165,-0.5661611912458954,0,0,HS_lung_cancer,gene-HS_2gene-HS_3,1,192,122.64544865877406,8.747444346659679
3,ND2_COX1,Homo_sapiens,0.18833584528065306,1620.4635851321632,15587.769746312431,1137.9400922057705,10946.218295275305,COX1,ND2,True,True,99.5,False,NC_012920.1,gene,393.0,33842.75,5512,5810,299,515.0673105766823,643.2520674759662,613.3545150501673,766,-0.33511373271252354,-0.2700855078603883,0,0,HS_lung_cancer,gene-HS_4gene-HS_5,5,192,613.2272432938702,43.73722173329839
4,COX1_COX2,Homo_sapiens,0.7136079440351527,15587.769746312431,8647.09655907836,10946.218295275305,6072.2610159408805,COX2,COX1,True,True,99.5,False,NC_012920.1,gene,141.0,395691.91000000003,7446,7744,299,256.6531767429999,164.5919128267485,305.628762541806,196,-0.4662074197186132,-0.5129101690542575,0,0,HS_lung_cancer,gene-HS_6gene-HS_7,3,192,367.9363459763221,26.242333039979034
5,COX2_ATP8,Homo_sapiens,0.20935320877079755,8647.09655907836,1010.9740346678227,6072.2610159408805,709.9375121926697,ATP8,COX2,True,True,99.5,False,NC_012920.1,gene,95.0,176413.58,8272,8526,255,193.436662015414,172.14970474226254,230.34901960784313,205,-0.4982772058110711,-0.5090760954564595,0,0,HS_lung_cancer,gene-HS_8,8,190,495.745813525992,35.35809083281386
6,ATP8_ATP6,Homo_sapiens,0.43049264179977886,1010.9740346678227,3685.849727249225,709.9375121926697,2588.3186866803408,ATP6,ATP8,True,True,99.6,False,NC_012920.1,gene,1.0,53846.79,8527,8825,299,307.57769662858107,324.98505236710037,366.27090301003346,387,-0.4403733719760376,-0.4315426071454346,0,0,HS_lung_cancer,gene-HS_9,9,96,1103.8090379289663,78.72699911993709
7,ATP6_COX3,Homo_sapiens,0.28275257019518596,3685.849727249225,22385.35255893942,2588.3186866803408,15719.693048764584,COX3,ATP6,True,True,99.5,False,NC_012920.1,gene,1.0,122315.84,9207,9505,299,964.3079667810806,919.5313497208656,1148.3210702341137,1095,-0.10721360549744792,-0.12992881745199722,0,0,HS_lung_cancer,gene-HS_10,0,96,0.0,0.0
8,COX3_ND3,Homo_sapiens,0.13584867979553383,22385.35255893942,1631.3163845282404,15719.693048764584,1145.561266577582,ND3,COX3,True,True,99.5,False,NC_012920.1,gene,69.0,518273.81000000006,9991,10289,299,136.4474933598718,127.64270790645806,162.48494983277592,152,-0.527187854495927,-0.5316545288657141,0,0,HS_lung_cancer,gene-HS_11,23,164,1651.2265282839826,117.77047022819859
9,ND3_ND4L,Homo_sapiens,0.8061555448209232,1631.3163845282404,2415.834056868564,1145.561266577582,1696.474055109756,ND4L,ND3,True,True,99.4,False,NC_012920.1,gene,66.0,66364.51999999999,10405,10703,299,220.425767631809,231.77228540909488,262.4882943143813,276,-0.4845856119661034,-0.4788295148516092,0,0,HS_lung_cancer,gene-HS_12,9,161,658.1718487029863,46.94280692865815
10,ND4L_ND4,Homo_sapiens,0.8391578581987642,2415.834056868564,3341.924232028603,1696.474055109756,2346.803472556384,ND4,ND4L,True,True,99.6,False,NC_012920.1,gene,1.0,79278.06,10760,11058,299,259.34376189909887,262.0034530711507,308.83277591973246,312,-0.4648424838186911,-0.4634932204604174,0,0,HS_lung_cancer,gene-HS_13,1,96,122.64544865877406,8.747444346659679
