,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND1_ND2,Eptatretus_burgeri,0.9270613735683013,80131.86979001253,69237.10214551985,59182.41995691067,51135.94961048063,ND2,ND1,True,True,99.4,False,NC_002807.1,gene,225.0,765398.2100000001,959,1257,299,507.3812334812248,316.11062978686414,2953.3377926421404,1840.0,-0.6297564560174745,-1.001899322228354,0.0,0.0,Hagfish_Lamprey,gene-EB_0gene-EB_1,3414,344,26263.827877177882,3410.015451505164
1,ND2_COX1,Eptatretus_burgeri,0.6816543670148021,69237.10214551985,133907.20528034712,51135.94961048063,98898.88353941165,COX1,ND2,True,True,99.5,False,NC_002807.1,,343.0,889462.22,2228,2526,299,22.46031067029322,17.523524042532685,130.73578595317727,102.0,-1.5732357916546889,-1.5828409787040405,0.0,0.0,Hagfish_Lamprey,gene-EB_2gene-EB_3,835,344,6423.636870955926,834.0254546007066
2,COX1_COX2,Eptatretus_burgeri,0.8617820263472427,133907.20528034712,101385.52138537844,98898.88353941165,74879.57687626143,COX2,COX1,True,True,99.5,False,NC_002807.1,gene,131.0,1550865.63,4125,4423,299,965.9278104137271,1128.033910424212,5622.421404682274,6566.0,0.2624080174294206,0.5778073915254395,0.0,0.0,Hagfish_Lamprey,gene-EB_4,44855,302,196529.10289739948,25516.740388514594
3,COX2_ATP8,Eptatretus_burgeri,0.1623373990175475,101385.52138537844,8956.30233261598,74879.57687626143,6614.79193358349,ATP8,COX2,True,True,99.5,False,NC_002807.1,gene,58.0,995629.89,4946,5160,215,499.6433747109442,453.0346362760656,2908.297674418605,2637.0,-0.6448115083124346,-0.7354951218767304,0.0,0.0,Hagfish_Lamprey,gene-EB_5,457,215,2812.552862301181,365.17330084074035
4,ATP8_ATP6,Eptatretus_burgeri,0.27373014728425993,8956.30233261598,56482.61567823178,6614.79193358349,41715.96008047397,ATP6,ATP8,True,True,99.6,False,NC_002807.1,gene,1.0,787613.5599999998,5161,5459,299,765.3823452499406,620.5389102120397,4455.096989966555,3612.0,-0.12778034800755328,-0.4095928692508419,0.0,0.0,Hagfish_Lamprey,gene-EB_6,4097,172,31518.132048271167,4092.218308382149
5,ATP6_COX3,Eptatretus_burgeri,0.3980520040396287,56482.61567823178,227312.54226604808,41715.96008047397,167884.59289813065,COX3,ATP6,True,True,99.5,False,NC_002807.1,gene,2.0,1571784.7999999998,5849,6147,299,1272.014327129374,1304.6435448920904,7404.0735785953175,7594.0,0.8579407937105209,0.9214253563453506,0.0,0.0,Hagfish_Lamprey,gene-EB_7,9159,173,70052.70497654409,9095.429939111236
6,COX3_ND3,Eptatretus_burgeri,0.4808725839389394,227312.54226604808,71954.70794979736,167884.59289813065,53143.072224835705,ND3,COX3,True,True,99.5,False,NC_002807.1,gene,84.0,1328684.96,6637,6935,299,811.4549983862282,1208.4359619134796,4723.274247491639,7034.0,-0.038139761001955465,0.7342404727858659,0.0,0.0,Hagfish_Lamprey,gene-EB_8,728,255,3777.584193653245,490.47003087134925
7,ND3_ND4L,Eptatretus_burgeri,0.6484909332742805,71954.70794979736,34525.832538356284,53143.072224835705,25499.49634273539,ND4L,ND3,True,True,99.4,False,NC_002807.1,gene,66.0,941794.93,7070,7368,299,854.3157524013345,961.3886327648323,4972.755852842809,5596.0,0.04525164122642313,0.25357643250276074,0.0,0.0,Hagfish_Lamprey,gene-EB_9,521,237,2908.7897485035114,377.6684051526239
8,ND4L_ND4,Eptatretus_burgeri,0.8924257353903449,34525.832538356284,27819.120105562906,25499.49634273539,20546.167875947463,ND4,ND4L,True,True,99.6,False,NC_002807.1,gene,1.0,1522981.96,7419,7717,299,965.01135619221,1144.011241168874,5617.086956521739,6659.0,0.26062493161194933,0.6088934525451396,0.0,0.0,Hagfish_Lamprey,gene-EB_10,10758,172,82761.06042843575,10745.444120472337
9,ND4_ND5,Eptatretus_burgeri,0.9745110143211829,27819.120105562906,26436.206853698746,20546.167875947463,19524.799560815478,ND5,ND4,True,True,98.9,False,NC_002807.1,gene,194.0,853861.4500000001,8797,9095,299,70.51181542971891,65.62731553183811,410.4314381270903,382.0,-1.4797450807899255,-1.4892485369242978,0.0,0.0,Hagfish_Lamprey,gene-EB_11gene-EB_12,243,344,1869.393724122503,242.71638978200195
10,ND5_ND6,Eptatretus_burgeri,0.8333260779221,26436.206853698746,18882.72306052209,19524.799560815478,13946.07724774626,ND6,ND5,True,False,84.4,True,NC_002807.1,gene,1.0,499542.83,10788,11086,299,1116.6578119089618,1240.7342219134414,6499.782608695652,7222.0,0.5556736510238018,0.7970811122665501,0.0,0.0,Hagfish_Lamprey,gene-EB_13,2002,172,15401.342533717085,1999.6634252821727
11,ND6_CYTB,Eptatretus_burgeri,0.5159606901418864,18882.72306052209,54311.70210132287,13946.07724774626,40112.60402082544,CYTB,ND6,False,True,99.2,True,NC_002807.1,gene,69.0,1327184.66,11293,11591,299,1012.6031973922536,1254.4781623389574,5894.107023411371,7302.0,0.3532213047626217,0.823821809917905,0.0,0.0,Hagfish_Lamprey,gene-EB_14,4501,240,24815.368281744966,3221.951867460769
