,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND1_ND2,Oryctolagus_cuniculus,0.7184929144647981,15598.357235471283,8745.413332066184,13586.876057130508,7617.651347345223,ND2,ND1,True,True,99.4,False,NC_001913.1,gene,217.0,408244.76000000007,3704,4002,299,270.5269173223048,192.00851681341905,426.90635451505017,303,-1.3813292035395128,-1.443608600653005,0,0,ssRNA_10_mammals,gene-OC_0gene-OC_1,375,400,6925.531571977672,1188.171514934524
1,ND2_COX1,Oryctolagus_cuniculus,0.06266049667304985,8745.413332066184,270391.00582841487,7617.651347345223,235522.81997999304,COX1,ND2,True,True,99.5,False,NC_001913.1,gene,390.0,172957.76,4965,5263,299,872.4511628127294,886.5343730098127,1376.7759197324415,1399,-0.903893610427878,-0.8927230588780191,0,0,ssRNA_10_mammals,gene-OC_2gene-OC_3,1098,400,20277.956442750623,3478.966195728286
2,COX1_COX2,Oryctolagus_cuniculus,0.6940726428194843,270391.00582841487,143707.07450001378,235522.81997999304,125175.3745788291,COX2,COX1,True,True,99.5,False,NC_001913.1,gene,143.0,1157932.07,6897,7195,299,2068.116768229854,2143.7782586791973,3263.6020066889632,3383,0.04448705667816217,0.10450040360516692,0,0,ssRNA_10_mammals,gene-OC_4,33735,342,364339.66094450955,62507.54940556126
3,COX2_ATP8,Oryctolagus_cuniculus,0.11832589963213125,143707.07450001378,9036.776809752271,125175.3745788291,7871.442140768846,ATP8,COX2,True,True,99.5,False,NC_001913.1,gene,73.0,830695.3799999999,7724,7956,233,1934.5268064616346,3009.4008130261623,3052.7896995708156,4749,-0.06147412217185141,0.7910967996495379,0,0,ssRNA_10_mammals,gene-OC_5,519,233,8227.412614263601,1411.5273619479667
4,ATP8_ATP6,Oryctolagus_cuniculus,0.2717732291571706,9036.776809752271,57465.555578005966,7871.442140768846,50055.10320131613,ATP6,ATP8,True,True,99.6,False,NC_001913.1,gene,1.0,971227.9700000001,7957,8255,299,3249.065471975266,3288.8587533387617,5127.2040133779265,5190,0.9811945394407537,1.0127578616228672,0,0,ssRNA_10_mammals,gene-OC_6,4651,200,85895.05957671508,14736.495242561256
5,ATP6_COX3,Oryctolagus_cuniculus,0.5804829228455879,57465.555578005966,140526.67921954434,50055.10320131613,122405.10615657778,COX3,ATP6,True,True,99.5,False,NC_001913.1,gene,1.0,1337365.96,8637,8935,299,3204.478176847164,3316.7411782225586,5056.842809364549,5234,0.9458286909071322,1.034873704540841,0,0,ssRNA_10_mammals,gene-OC_7,518,200,9566.467611425156,1641.260919296222
6,COX3_ND3,Oryctolagus_cuniculus,0.3328059740809429,140526.67921954434,28051.99492976786,122405.10615657778,24434.558877731302,ND3,COX3,True,True,99.5,False,NC_001913.1,gene,71.0,936163.1699999999,9421,9719,299,1839.9814792539855,2335.153084017985,2903.591973244147,3685,-0.13646579215274832,0.2562955072694422,0,0,ssRNA_10_mammals,gene-OC_8,1118,270,15294.309723399578,2623.952106067748
7,ND3_ND4L,Oryctolagus_cuniculus,0.6319418744158263,28051.99492976786,12957.951073497748,24434.558877731302,11286.962628962749,ND4L,ND3,True,True,99.4,False,NC_001913.1,gene,69.0,512587.78,9838,10136,299,1417.0591800759262,1798.4164050048953,2236.1973244147157,2838,-0.4719202289211133,-0.16943446890155506,0,0,ssRNA_10_mammals,gene-OC_9,528,268,7276.97645771982,1248.4667858416487
8,ND4L_ND4,Oryctolagus_cuniculus,0.6326700872266667,12957.951073497748,28004.791863502538,11286.962628962749,24393.442867809124,ND4,ND4L,True,True,99.6,False,NC_001913.1,gene,1.0,742922.9500000001,10196,10494,299,2198.7462255221703,2350.3616794091463,3469.742474916388,3709,0.14810001609532877,0.26835869431560977,0,0,ssRNA_10_mammals,gene-OC_10,2052,200,37896.50876186181,6501.674529721714
9,ND4_ND5,Oryctolagus_cuniculus,0.957396302452148,28004.791863502538,25716.083919632143,24393.442867809124,22399.87452629027,ND5,ND4,True,True,98.9,False,NC_001913.1,gene,199.0,865809.8099999999,11574,11872,299,759.4400240107607,393.5224057463143,1198.438127090301,621,-0.9935320333463273,-1.283771372291285,0,0,ssRNA_10_mammals,gene-OC_11,1508,398,13994.91003087749,2401.0219692077208
10,ND5_ND6,Oryctolagus_cuniculus,0.27616222761500775,25716.083919632143,4119.767610704155,22399.87452629027,3588.504293486059,ND6,ND5,True,False,84.4,True,NC_001913.1,gene,1.0,567729.58,13579,13877,299,631.2287672955522,664.7423568887016,996.113712374582,1049,-1.0952269191264146,-1.0686445366346295,0,0,ssRNA_10_mammals,gene-OC_12,957,200,17673.956571687017,3032.213706112905
11,ND6_CYTB,Oryctolagus_cuniculus,0.26433864228059045,4119.767610704155,27050.6097140844,3588.504293486059,23562.306972896466,CYTB,ND6,False,True,99.2,True,NC_001913.1,gene,72.0,283194.17,14104,14402,299,1489.1113843001922,1552.5441128477778,2349.8996655518395,2450,-0.41476970355760195,-0.3644559928145975,0,0,ssRNA_10_mammals,gene-OC_13,353,271,4811.242597605152,825.435758468658
