,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND1_ND2,Hippocampus_kuda,0.9026886555978424,50556.47994832878,41589.619162444935,48708.68235044478,40069.55292239381,ND2,ND1,True,True,99.4,False,NC_010272.1,gene,214.0,921738.54,3828,4126,299,578.2113663100612,203.5748848325725,1684.2909698996655,593,-1.0332141959227148,-1.4152360073823804,0,0,popphyl,gene-HK_0gene-HK_1,3,192,142.61025959351068,10.728018804414656
1,ND2_COX1,Hippocampus_kuda,0.2831411895155663,41589.619162444935,252183.38669093658,40069.55292239381,242966.292133918,COX1,ND2,True,True,99.5,False,NC_010272.1,,385.0,903920.4199999999,5081,5379,299,246.31129322726673,257.1291547042105,717.4882943143813,749,-1.3716571223634058,-1.3606260048885568,0,0,popphyl,gene-HK_2gene-HK_3,35,192,1663.786361924291,125.16021938483765
2,COX1_COX2,Hippocampus_kuda,0.8373875172427504,252183.38669093658,181638.52805895312,242966.292133918,174999.78983640386,COX2,COX1,True,True,99.5,False,NC_010272.1,gene,158.0,1697332.33,7020,7318,299,1585.039447311208,1841.786268341908,4617.113712374582,5365,-0.006538187714391616,0.2552699663389457,0,0,popphyl,gene-HK_4gene-HK_5,820,192,38980.13762222624,2932.325139873339
3,COX2_ATP8,Hippocampus_kuda,0.21001560544857367,181638.52805895312,21311.31732723764,174999.78983640386,20532.40627557304,ATP8,COX2,True,True,99.5,False,NC_010272.1,gene,76.0,1076839.99,7869,8101,233,1466.1387503584376,1687.6460941600785,4270.7639484978545,4916,-0.1277828125159518,0.09809117710992736,0,0,popphyl,gene-HK_6,77,171,2054.922103148597,154.5838499068872
4,ATP8_ATP6,Hippocampus_kuda,0.46010978083523113,21311.31732723764,71324.4761938281,20532.40627557304,68717.6254811996,ATP6,ATP8,True,True,99.6,False,NC_010272.1,gene,1.0,1355231.9500000002,8102,8400,299,2531.631030273045,2599.441868384889,7374.471571906354,7572,0.9587138609099327,1.0278614759791316,0,0,popphyl,gene-HK_7,228,96,10838.379729106811,815.3294291355138
5,ATP6_COX3,Hippocampus_kuda,0.6022153605169072,71324.4761938281,165549.17688804367,68717.6254811996,159498.491165896,COX3,ATP6,True,True,99.5,False,NC_010272.1,gene,1.0,1708388.56,8785,9083,299,2419.1066708962803,2604.5913174110087,7046.695652173913,7587,0.8439712724868295,1.0331124377573837,0,0,popphyl,gene-HK_8,25,96,1188.4188299459222,89.40015670345547
6,COX3_ND3,Hippocampus_kuda,0.19378949286905212,165549.17688804367,17761.87820155179,159498.491165896,17112.69621917724,ND3,COX3,True,True,99.5,False,NC_010272.1,gene,70.0,1265020.42,9570,9868,299,1604.199760655217,2035.405551723984,4672.9264214046825,5929,0.012999839076126481,0.4527061292012315,0,0,popphyl,gene-HK_9,593,165,16401.044157857323,1233.7871808034695
7,ND3_ND4L,Hippocampus_kuda,0.9172125580407972,17761.87820155179,15045.813342068865,17112.69621917724,14495.901287667522,ND4L,ND3,True,True,99.4,False,NC_010272.1,gene,69.0,828013.12,9989,10287,299,1366.370993493718,1687.6460941600785,3980.1471571906354,4916,-0.22951732340078668,0.09809117710992736,0,0,popphyl,gene-HK_10,145,164,4034.8268567920095,303.5244344663658
8,ND4L_ND4,Hippocampus_kuda,0.6183945804747497,15045.813342068865,33615.070233327264,14495.901287667522,32386.467172091056,ND4,ND4L,True,True,99.6,False,NC_010272.1,gene,1.0,1460932.83,10347,10645,299,2412.168405463764,2475.8550917580324,7026.484949832776,7212,0.8368962307864997,0.9018383933010768,0,0,popphyl,gene-HK_11,146,96,6940.365966884186,522.09691514818
9,ND4_ND5,Hippocampus_kuda,0.5749076437131782,33615.070233327264,13560.918164945659,32386.467172091056,13065.277803197805,ND5,ND4,True,True,98.9,False,NC_010272.1,gene,212.0,1468331.2800000003,11729,12027,299,337.72348567152955,154.14017418182982,983.7658862876254,449,-1.2784428918396333,-1.4656452404536022,0,0,popphyl,gene-HK_12gene-HK_13,2,192,95.07350639567379,7.1520125362764375
10,ND5_ND6,Hippocampus_kuda,0.8007518403313375,13560.918164945659,20309.54577138293,13065.277803197805,19567.24864292716,ND6,ND5,True,False,84.4,True,NC_010272.1,gene,1.0,1099312.83,13772,14070,299,2098.1346816107207,2054.630161421495,6111.725752508361,5985,0.5166718586894843,0.4723097198400401,0,0,popphyl,gene-HK_14,48,96,2281.764153496171,171.6483008706345
11,ND6_CYTB,Hippocampus_kuda,0.31139796937875963,20309.54577138293,110131.54741814926,19567.24864292716,106106.33029507245,CYTB,ND6,False,True,99.2,True,NC_010272.1,gene,73.0,1376623.87,14295,14593,299,1839.0295621854514,2507.095082516488,5356.969899665552,7303,0.25245891634349754,0.9336942280891406,0,0,popphyl,gene-HK_15,453,168,12305.228113497205,925.6747654094933
