,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND1_ND2,Lethenteron_camtschaticum,0.7941444935515032,55642.83208039619,36644.89523492083,59017.940208823136,38867.65204201567,ND2,ND1,True,True,99.4,False,NC_020465.1,gene,240.0,835950.9099999999,3702,4000,299,2138.6222073525587,1605.825363660557,1888.4782608695652,1418,-0.777152858041187,-0.987144559687672,0,0,Hagfish_Lamprey,gene-LC_0gene-LC_1,551,464,9986.830828612809,2689.587615439931
1,ND2_COX1,Lethenteron_camtschaticum,0.3358405200987511,36644.89523492083,181583.0614401444,38867.65204201567,192597.2827465973,COX1,ND2,True,True,99.5,False,NC_020465.1,,356.0,836319.9099999999,4984,5282,299,2405.647457926394,2439.3144099611,2124.2709030100336,2154,-0.6719099546447972,-0.6586407684048254,0,0,Hagfish_Lamprey,gene-LC_2gene-LC_3,914,464,16566.17672840673,4461.493794032845
2,COX1_COX2,Lethenteron_camtschaticum,0.945145111749752,181583.0614401444,202660.710617204,192597.2827465973,214953.43164061665,COX2,COX1,True,True,99.5,False,NC_020465.1,gene,134.0,1459418.3399999999,6894,7192,299,5933.500137949664,5470.904324290656,5239.488294314381,4831,0.7185258112706066,0.5362025050519418,0,0,Hagfish_Lamprey,gene-LC_4,7424,365,85528.16965724183,23033.884305149008
3,COX2_ATP8,Lethenteron_camtschaticum,0.6808923839942174,202660.710617204,104608.70115505824,214953.43164061665,110953.91516326132,ATP8,COX2,True,True,99.5,False,NC_020465.1,gene,88.0,1324549.3199999998,7712,7956,245,5160.051552258945,7180.915818738782,4556.50612244898,6341,0.41368582100379003,1.210170881189304,0,0,Hagfish_Lamprey,gene-LC_5,866,245,14863.322015172836,4002.892158918979
4,ATP8_ATP6,Lethenteron_camtschaticum,0.9989195686860955,104608.70115505824,104382.90008473572,110953.91516326132,110714.41775507534,ATP6,ATP8,True,True,99.6,False,NC_020465.1,gene,1.0,1385279.78,7957,8255,299,6450.980393270828,7316.810771939958,5696.441471571907,6461,0.9224807720964753,1.2637312819419422,0,0,Hagfish_Lamprey,gene-LC_6,25953,232,470396.04445551406,126683.96984303545
5,ATP6_COX3,Lethenteron_camtschaticum,0.9612047176829229,104382.90008473572,112808.9179836583,110714.41775507534,119651.52972375766,COX3,ATP6,True,True,99.5,False,NC_020465.1,gene,1.0,1724559.6,8636,8934,299,7186.930344538206,7442.513603651045,6346.311036789298,6572,1.2125413916796943,1.313274652638132,0,0,Hagfish_Lamprey,gene-LC_7,1458,232,26426.133118180536,7116.912419802939
6,COX3_ND3,Lethenteron_camtschaticum,0.5398411140291768,112808.9179836583,41707.031023705335,119651.52972375766,44236.84006033517,ND3,COX3,True,True,99.5,False,NC_020465.1,gene,78.0,1467055.71,9423,9721,299,5909.680646291852,6868.3574263760775,5218.454849498327,6065,0.7091378134909709,1.0869819594582364,0,0,Hagfish_Lamprey,gene-LC_8,848,309,11539.884234595349,3107.8457474270986
7,ND3_ND4L,Lethenteron_camtschaticum,0.9283387307186836,41707.031023705335,36129.18872075765,44236.84006033517,38320.664495188284,ND4L,ND3,True,True,99.4,False,NC_020465.1,gene,78.0,1312279.02,9852,10150,299,5819.629408629895,6542.209538693257,5138.936454849499,5777,0.6736458377859894,0.9584369976519049,0,0,Hagfish_Lamprey,gene-LC_9,793,309,10791.424761832679,2906.2755633368984
8,ND4L_ND4,Lethenteron_camtschaticum,0.870445316811017,36129.18872075765,27841.487968850597,38320.664495188284,29530.25952913706,ND4,ND4L,True,True,99.6,False,NC_020465.1,gene,1.0,1530844.43,10213,10511,299,4689.296244237315,4524.169483655801,4140.8127090301,3995,0.22814660589589653,0.16306504647523,0,0,Hagfish_Lamprey,gene-LC_10,2610,232,47306.04076711331,12740.1518626102
9,ND4_ND5,Lethenteron_camtschaticum,0.5057714728510267,27841.487968850597,9423.880029407177,29530.25952913706,9995.501079223912,ND5,ND4,True,True,98.9,False,NC_020465.1,gene,212.0,1183324.6,11591,11889,299,2529.9299828523526,2506.129428618345,2234.016722408027,2213,-0.6229263707457718,-0.6323069047014449,0,0,Hagfish_Lamprey,gene-LC_11,1197,443,11361.992635712993,3059.9371516517504
10,ND5_ND6,Lethenteron_camtschaticum,0.8484280395788295,9423.880029407177,6943.104151000502,9995.501079223912,7364.24963156659,ND6,ND5,True,False,84.4,True,NC_020465.1,gene,1.0,494494.26,13583,13881,299,1188.5846800066809,912.7611023345621,1049.561872909699,806,-1.1515920075169062,-1.2603026035261262,0,0,Hagfish_Lamprey,gene-LC_12,238,232,4313.730920526042,1161.7456487744168
11,ND6_CYTB,Lethenteron_camtschaticum,0.20650166415027083,6943.104151000502,60301.914716721745,7364.24963156659,63959.62721823588,CYTB,ND6,False,True,99.2,True,NC_020465.1,,901.0,253459.12000000002,14103,14401,299,1673.9243396515594,1713.4088682781546,1478.1337792642141,1513,-0.9603046487196549,-0.9447425757585004,0,0,Hagfish_Lamprey,gene-LC_13gene-LC_14,189,464,3425.6098486530327,922.5627210855663
