,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND2_COX1,Culex_pipiens,0.07274566251900394,8172.831421171016,216523.21610017703,4034.015120762196,106873.35670249569,COX1,ND2,True,True,95.7,False,NC_015079.1,gene,212.0,39984.82000000001,1235,1533,299,744.7979277305342,57.33357405302014,610.5585284280936,47.0,-0.3684830234359409,-0.6592919889871965,0.0,0.0,popphyl,gene-CP_0gene-CP_1,19,192,2837.7990420071915,241.4312737161752
1,COX1_COX2,Culex_pipiens,0.3118684672638261,216523.21610017703,40000.88987304623,106873.35670249569,19743.976876093624,COX2,COX1,True,True,97.9,False,NC_015079.1,gene,72.0,392319.55000000005,2984,3282,299,143.87043018613122,142.72400349368843,117.93979933110369,117.0,-0.6226854457104334,-0.6231704034522076,0.0,0.0,popphyl,gene-CP_2,150,167,12878.76022845999,1095.6855787938616
2,COX2_ATP8,Culex_pipiens,0.29296540869743737,40000.88987304623,6865.049548278935,19743.976876093624,3388.509104788424,ATP8,COX2,True,True,97.7,False,NC_015079.1,gene,158.0,138443.25,3741,4039,299,212.57035571653816,106.12810516197344,174.25752508361205,87.0,-0.5936242235975009,-0.6386510829672031,0.0,0.0,popphyl,gene-CP_3gene-CP_4,56,192,8364.039281705403,711.5869120055692
3,ATP8_ATP6,Culex_pipiens,0.22617220971245244,6865.049548278935,53841.34366428172,3388.509104788424,26575.464887387338,ATP6,ATP8,True,True,99.5,False,NC_015079.1,gene,1.0,62410.399999999994,4044,4342,299,619.5885498263723,585.5343733074398,507.9163879598662,480.0,-0.421448692813333,-0.4358541813207653,0.0,0.0,popphyl,gene-CP_5,302,96,45106.06898348271,3837.48656117289
4,ATP6_COX3,Culex_pipiens,0.5038091546323156,53841.34366428172,159895.7159712289,26575.464887387338,78922.67718898025,COX3,ATP6,True,True,97.8,False,NC_015079.1,gene,1.0,252875.81000000003,4724,5022,299,3389.1269693917484,3460.752118902513,2778.2842809364547,2837.0,0.7501125649301863,0.7804112059073606,0.0,0.0,popphyl,gene-CP_6,117,96,17474.86778499165,1486.708369725921
5,COX3_ND3,Culex_pipiens,0.00927419492330328,159895.7159712289,744.9062214076184,78922.67718898025,367.67710060971854,ND3,COX3,True,True,96.7,False,NC_015079.1,gene,64.0,387996.01,5513,5811,299,150.0921408835521,151.26304643775524,123.04013377926421,124.0,-0.6200535576100588,-0.6195582448987088,0.0,0.0,popphyl,gene-CP_7,30,159,2705.349632896627,230.1628825894024
6,ND3_ND5,Culex_pipiens,0.21509555830469862,744.9062214076184,6181.375541718372,367.67710060971854,3051.055517651763,ND5,ND3,True,False,92.2,True,NC_015079.1,,398.0,38777.04,5932,6230,299,157.79482271747338,157.3623628263744,129.35451505016724,129.0,-0.6167951938503824,-0.6169781316462096,0.0,0.0,popphyl,gene-CP_8gene-CP_9,10,192,1493.5784431616796,127.0690914295659
7,ND5_ND4,Culex_pipiens,0.488443943840549,6181.375541718372,19129.105301243057,3051.055517651763,9441.905265777545,ND4,ND5,False,False,97.0,False,NC_015079.1,gene,63.0,38742.81,8076,8374,299,463.61740231004427,540.3994320316579,380.056856187291,443.0,-0.48742710729028627,-0.4549470193892594,0.0,0.0,popphyl,gene-CP_10,13,158,1179.7379095353012,100.36849753423941
8,ND4_ND4L,Culex_pipiens,0.08097437022662335,19129.105301243057,807.163401434008,9441.905265777545,398.4065250478511,ND4L,ND4,False,False,98.4,False,NC_015079.1,gene,1.0,48993.759999999995,9474,9771,298,121.68340870341827,119.5466012169356,99.75167785234899,98.0,-0.6320709283635119,-0.6329748338117047,0.0,0.0,popphyl,gene-CP_11,15,96,2240.367664742519,190.60363714434882
9,ND4L_ND6,Culex_pipiens,0.4921144199918659,807.163401434008,263.4263198758196,398.4065250478511,130.0241865790907,ND6,ND4L,False,True,95.6,True,NC_015079.1,gene,141.0,29697.03,9772,10070,299,101.75862833775216,101.24865205107812,83.41806020066889,83.0,-0.6404994450363848,-0.6407151735692023,0.0,0.0,popphyl,gene-CP_12gene-CP_13,3,192,448.07353294850384,38.12072742886977
10,ND6_CYTB,Culex_pipiens,0.00538341259547781,263.4263198758196,97602.4961610042,130.0241865790907,48175.46393012606,CYTB,ND6,True,True,96.0,False,NC_015079.1,gene,1.0,94117.40000000001,10427,10725,299,2961.424137094422,3199.701377469613,2427.6688963210704,2623.0,0.5691870848549342,0.6699823587003946,0.0,0.0,popphyl,gene-CP_14,8,96,1194.8627545293436,101.65527314365272
11,CYTB_ND1,Culex_pipiens,0.43922886061067656,97602.4961610042,27467.08476319552,48175.46393012606,13557.43555054408,ND1,CYTB,True,False,93.4,True,NC_015079.1,gene,84.0,273239.78,11563,11861,299,268.43111825364423,198.83771426898477,220.05016722408027,163.0,-0.5699941830267861,-0.599433361529215,0.0,0.0,popphyl,gene-CP_15,45,179,3604.613896345506,306.6695390925836
