,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND1_ND2,Gallus_gallus,0.5540263067240018,73872.34233085606,28304.26388870921,73826.46495193796,28286.685923824803,ND2,ND1,True,True,99.4,False,NC_040902.1,gene,217.0,719032.3900000001,5030,5328,299,1059.431543121063,944.0986160895897,1104.2073578595318,984.0,-1.174228110380793,-1.2309489822966495,0.007666626543341256,0.23453815261044175,GG_generic,gene-GG_0gene-GG_1,77,200,8514.998936288874,738.7763560863655
1,ND2_COX1,Gallus_gallus,0.2997453401010046,28304.26388870921,160551.14169772348,28286.685923824803,160451.43366991502,COX1,ND2,True,True,99.5,False,NC_040902.1,gene,366.0,421345.42000000004,6285,6583,299,949.518384431812,958.4903632860772,989.6488294314381,999.0,-1.2282835337221159,-1.2238711037550376,0.004474480374042371,0.0440251572327044,GG_generic,gene-GG_2gene-GG_3,44,200,4865.7136778793565,422.15791776363756
2,COX1_COX2,Gallus_gallus,0.8307864527207736,160551.14169772348,114079.85632881815,160451.43366991502,114009.00863899832,COX2,COX1,True,True,99.5,False,NC_040902.1,gene,148.0,1298069.33,8192,8490,299,3473.4939121593725,3860.826047911086,3620.2976588628762,4024.0,0.01301065963450366,0.20350106880336666,0.014734850334822911,0.4078722190530519,GG_generic,gene-GG_4gene-GG_5,660,200,72985.70516819034,6332.368766454563
3,COX2_ATP8,Gallus_gallus,0.5986591260400832,114079.85632881815,48735.42787316286,114009.00863899832,48705.16142132546,ATP8,COX2,True,True,99.5,False,NC_040902.1,gene,70.0,1005600.8400000001,9024,9247,224,3965.431777087461,4815.958336851316,4133.026785714285,5019.5,0.25494629194123775,0.6732362746816778,0.01376803857292762,0.4779454439930354,GG_generic,gene-GG_6,149,169,9749.749031791607,845.9054565193919
4,ATP8_ATP6,Gallus_gallus,0.5985972023662688,48735.42787316286,114096.69924173366,48705.16142132546,114025.84109185971,ATP6,ATP8,True,True,99.6,False,NC_040902.1,gene,1.0,1243009.48,9248,9546,299,6073.570817035629,6209.5591903778695,6330.264214046822,6472.0,1.2917316015959992,1.3586108467944322,0.013451529411948802,0.10417637012886198,GG_generic,gene-GG_7,885,100,97867.19556643703,8491.13084592771
5,ATP6_COX3,Gallus_gallus,0.8981778638902715,114096.69924173366,139965.89532622288,114025.84109185971,139878.97147606613,COX3,ATP6,True,True,99.5,False,NC_040902.1,gene,1.0,1423953.08,9931,10229,299,5709.993888529309,6320.8553686973755,5951.321070234114,6588.0,1.112924031857137,1.4133464408495644,0.017849693162280803,0.3486450760079313,GG_generic,gene-GG_8,42,100,4644.5448743393845,402.96892150165405
6,COX3_ND3,Gallus_gallus,0.24766367351603502,139965.89532622288,19781.85767169873,139878.97147606613,19769.57242729638,ND3,COX3,True,True,99.5,False,NC_040902.1,gene,69.0,965992.43,10716,11014,299,1738.2984409781257,1774.9821542334766,1811.7658862876253,1850.0,-0.8403605553610785,-0.8223194611609211,0.010151640369659412,0.16998827667057445,GG_generic,gene-GG_9,37,168,2435.489800886582,211.30739931350902
7,ND3_ND4L,Gallus_gallus,0.9029536574093526,19781.85767169873,16281.99287628153,19769.57242729638,16271.881173671889,ND4L,ND3,True,True,99.4,False,NC_040902.1,gene,69.0,314189.49999999994,11137,11435,299,1582.8900332918165,1922.7374254507492,1649.7892976588628,2004.0,-0.9167905967543469,-0.7496532414670387,0.01119249061342503,0.1466208476517755,GG_generic,gene-GG_10,43,168,2830.4340929222444,245.57346406705108
8,ND4L_ND4,Gallus_gallus,0.6032582791955521,16281.99287628153,37698.17925825975,16271.881173671889,37674.76733439509,ND4,ND4L,True,True,99.6,False,NC_040902.1,gene,1.0,559916.64,11495,11793,299,3019.703030323722,2997.3212161218266,3147.327759197324,3124.0,-0.2101642406102398,-0.22117164369334866,0.013888355258600877,0.09206842923794713,GG_generic,gene-GG_11,86,100,9510.258552218742,825.1268392652916
9,ND4_ND5,Gallus_gallus,0.9951523389549526,37698.17925825975,38065.45567998105,37674.76733439509,38041.81566426179,ND5,ND4,True,True,98.9,False,NC_040902.1,gene,208.0,660592.4,12873,13171,299,662.6043839681447,408.72562038024915,690.6086956521739,426.0,-1.3693881834525816,-1.494246064044613,0.006921008673538243,0.2286995515695067,GG_generic,gene-GG_12gene-GG_13,27,200,2985.778847789605,259.05144953677757
10,ND5_CYTB,Gallus_gallus,0.7029685920844992,38065.45567998105,70233.70905825081,38041.81566426179,70190.09140133589,CYTB,ND5,True,True,15.2,False,NC_040902.1,gene,4.0,396641.12,14899,15197,299,4034.557059051564,4360.6994005357565,4205.0735785953175,4545.0,0.28894218856287873,0.4493393834820208,0.017600529921113633,0.5177025963808025,GG_generic,gene-GG_14,29,103,3113.541409057841,270.1363551444283
11,CYTB_ND6,Gallus_gallus,0.4382166823467242,70233.70905825081,19706.69210288269,70190.09140133589,19694.453538999376,ND6,CYTB,True,False,99.2,True,NC_040902.1,gene,148.0,634809.02,16046,16344,299,564.5255092612001,317.5778881358274,588.3846153846154,331.0,-1.417623491730035,-1.5390726281414884,0.007001744422668127,0.2011605415860735,GG_generic,gene-GG_15gene-GG_16,66,200,7298.570516819035,633.2368766454564
