,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND1_ND2,Poecile_palustris,0.8037848661489584,68007.74760917973,45697.1298575325,65123.245263441204,43758.91718469023,ND2,ND1,True,True,99.4,False,NC_026911.1,gene,223.0,993354.6500000001,3789,4087,299,1363.7960823196884,754.0747378247149,1421.5351170568563,786.0,-1.1750186012415689,-1.4471200822993326,0.008326594389416513,0.5151105096977898,songbirds,gene-PP_0gene-PP_1,585,400,18781.35694697037,2806.1941579354852
1,ND2_COX1,Poecile_palustris,0.41323797161798403,45697.1298575325,175469.0407081144,43758.91718469023,168026.6407269286,COX1,ND2,True,True,99.5,False,NC_026911.1,gene,354.0,731079.6499999999,5051,5349,299,789.4403405560591,839.4597908354016,822.8628762541806,875.0,-1.4313374088394273,-1.4090151355163931,0.0033480014655961187,0.08401084010840107,songbirds,gene-PP_2gene-PP_3,173,400,5554.1448749160245,829.8659646544254
2,COX1_COX2,Poecile_palustris,0.6642752759603661,175469.0407081144,87263.29859821088,168026.6407269286,83562.08515779625,COX2,COX1,True,True,99.5,False,NC_026911.1,gene,160.0,1361889.3699999999,6955,7253,299,3714.1872375332487,3492.152729875271,3871.4347826086955,3640.0,-0.1261051587764588,-0.2251929124284313,0.010541298729825576,0.4093550261475886,songbirds,gene-PP_4,17628,359,315289.6319417124,47108.6261610711
3,COX2_ATP8,Poecile_palustris,0.16295503176463377,87263.29859821088,7740.688900292759,83562.08515779625,7412.372846968376,ATP8,COX2,True,True,99.5,False,NC_026911.1,gene,73.0,1192041.08,7796,8025,230,2969.4518809342785,3162.6048005587445,3095.169565217391,3296.5,-0.4584595947106476,-0.3722608811918001,0.009611556217380577,0.5876116071428571,songbirds,gene-PP_5,197,230,5499.706159127702,821.7320685444677
4,ATP8_ATP6,Poecile_palustris,0.15370648140838405,7740.688900292759,92979.70791532962,7412.372846968376,89036.03686289131,ATP6,ATP8,True,True,99.6,False,NC_026911.1,gene,1.0,972977.2899999999,8026,8324,299,6050.8871364544275,6120.861103462699,6307.063545150501,6380.0,0.916698261219644,0.9479256739227496,0.009975052755966805,0.06488038277511962,songbirds,gene-PP_6,3191,200,102446.6837910811,15306.949671747236
5,ATP6_COX3,Poecile_palustris,0.785945927780485,92979.70791532962,143626.1567601316,89036.03686289131,137534.35103727767,COX3,ATP6,True,True,99.5,False,NC_026911.1,gene,4.0,1496034.44,8711,9009,299,6120.655750661497,6817.372884201559,6379.785953177257,7106.0,0.9478340307453371,1.2587592847588651,0.01245492818819748,0.4920886075949367,songbirds,gene-PP_7,192,203,6073.042034134664,907.3963678558597
6,COX3_ND3,Poecile_palustris,0.5608013942713905,143626.1567601316,55965.694133052566,137534.35103727767,53591.947292686906,ND3,COX3,True,True,99.5,False,NC_026911.1,gene,75.0,1023972.22,9498,9796,299,3874.949603133731,4959.048752946504,4039.0033444816054,5169.0,-0.054361438184762315,0.4294415103930853,0.01126316573198499,0.16594427244582044,songbirds,gene-PP_8,157,274,3679.172800142675,549.7192373770929
7,ND3_ND4L,Poecile_palustris,0.5098200938192692,55965.694133052566,19146.97367427321,53591.947292686906,18334.867812531942,ND4L,ND3,True,True,99.4,False,NC_026911.1,gene,73.0,967064.1299999999,9918,10216,299,2390.0916272326954,2831.138106006023,2491.2809364548493,2951.0,-0.717011775180526,-0.5201851408941114,0.010494606853066227,0.501453488372093,songbirds,gene-PP_9,215,272,5075.40440371874,758.3355253345012
8,ND4L_ND4,Poecile_palustris,0.6341675507400129,19146.97367427321,41237.61601950889,18334.867812531942,39488.55059207393,ND4,ND4L,True,True,99.6,False,NC_026911.1,gene,1.0,772032.2300000001,10280,10578,299,3839.863151866519,3720.4857929825,4002.43143812709,3878.0,-0.07001953420037368,-0.1232942906942776,0.010265120602638332,0.06691042047531992,songbirds,gene-PP_10,1033,200,33164.344831145965,4955.211222474113
9,ND4_ND5,Poecile_palustris,0.7062836612477029,41237.61601950889,22513.014291428997,39488.55059207393,21558.140106998475,ND5,ND4,True,True,98.9,False,NC_026911.1,gene,210.0,775844.1699999999,11658,11956,299,404.70865887380796,385.6718124752359,421.8428093645485,402.0,-1.6030323336452739,-1.6115279425762865,0.001019356980414034,0.10414333706606944,songbirds,gene-PP_11gene-PP_12,69,400,2215.2369732324028,330.9870032436726
10,ND5_CYTB,Poecile_palustris,0.4995552515462207,22513.014291428997,67619.21521370318,21558.140106998475,64751.192205180574,CYTB,ND5,True,True,15.2,False,NC_026911.1,gene,7.0,560267.38,13686,13984,299,4732.13711626007,5098.159232570656,4932.48160535117,5314.0,0.3281772312775795,0.4915226034664142,0.012278441366855014,0.2919369786839666,songbirds,gene-PP_13,211,206,6576.825683861502,982.6686039737573
11,CYTB_ND6,Poecile_palustris,0.25603941848300626,67619.21521370318,9927.509099164301,64751.192205180574,9506.440554908988,ND6,CYTB,True,False,99.2,True,NC_026911.1,gene,161.0,960000.93,14836,15134,299,293.7379302888395,284.93663757498774,306.17391304347825,297.0,-1.6525554475638715,-1.6564832168707662,5.5957130781394665e-05,0.010263929618768328,songbirds,gene-PP_14,264,360,4708.716271605107,703.5472532715745
