,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND1_ND2,Sus_scrofa,0.5450747225286792,61135.16783033322,22903.74300168826,58048.9349168103,21747.51348595594,ND2,ND1,True,True,99.4,False,NC_000845.1,gene,210.0,1714918.3499999999,4878,5176,299,4818.8688159197445,4736.7713639574185,5342.010033444816,5251,0.041061104035515016,0.002582146154555625,0.0003669261700966325,0.01567398119122257,SS_cDNA,gene-SS_0gene-SS_1,247,400,4199.496493907555,1114.056871926759
1,ND2_COX1,Sus_scrofa,0.17719396041939595,22903.74300168826,235612.32546337644,21747.51348595594,223718.11564138328,COX1,ND2,True,True,99.5,False,NC_000845.1,,382.0,1896023.1099999999,6130,6428,299,6375.389681942641,6379.441456085862,7067.508361204013,7072,0.770600199499873,0.7724992602243372,0.0002298186070144134,0.004878728742681907,SS_cDNA,gene-SS_2gene-SS_3,1705,400,28988.427215029886,7690.149662490383
2,COX1_COX2,Sus_scrofa,0.3947700866827347,235612.32546337644,57943.53654579222,223718.11564138328,55018.42394759283,COX2,COX1,True,True,99.5,False,NC_000845.1,gene,147.0,2267372.74,8057,8355,299,6749.091176952868,6777.254476749587,7481.779264214047,7513,0.9457535537494977,0.9589536519348116,0.0006732149700811451,0.005873140172278779,SS_cDNA,gene-SS_4,5003,346,49168.240759681496,13043.519997775798
3,COX2_ATP8,Sus_scrofa,0.682611530016196,57943.53654579222,30023.737900604872,55018.42394759283,28508.075943922428,ATP8,COX2,True,True,99.5,False,NC_000845.1,gene,68.0,2260160.9299999997,8892,9119,228,6881.597902714949,6912.565027995754,7628.671052631579,7663,1.0078592658961074,1.0223735130608231,0.0009339981948177839,0.00788125574674898,SS_cDNA,gene-SS_5,1080,228,16107.167460118471,4272.964776194687
4,ATP8_ATP6,Sus_scrofa,0.3330264691676609,30023.737900604872,150284.68007976614,28508.075943922428,142697.9907400453,ATP6,ATP8,True,True,99.6,False,NC_000845.1,gene,1.0,1993435.3900000001,9120,9418,299,6868.770870540026,6873.776003305185,7614.451505016722,7620,1.001847254329381,1.0041931528713666,0.0017486740972771956,0.008644766591302035,SS_cDNA,gene-SS_6,23272,200,395670.77897253697,104964.90495335843
5,ATP6_COX3,Sus_scrofa,0.7362878347590163,150284.68007976614,257937.95510462107,142697.9907400453,244916.70015526106,COX3,ATP6,True,True,99.5,False,NC_000845.1,gene,1.0,2222561.41,9800,10098,299,6714.565113442026,6741.171663083944,7443.505016722408,7473,0.9295712373453486,0.9420416889678752,0.005459187913695673,0.030891197375615086,SS_cDNA,gene-SS_7,3710,200,63077.457459097284,16733.404837442413
6,COX3_ND3,Sus_scrofa,0.11645256925588254,257937.95510462107,15947.322106284804,244916.70015526106,15142.267468935008,ND3,COX3,True,True,99.5,False,NC_000845.1,gene,69.0,1815334.85,10585,10883,299,4726.7067931891415,4963.191019709335,5239.842809364549,5502,-0.002135103716489457,0.1087047137720818,0.002882419240641439,0.029800142755174883,SS_cDNA,gene-SS_8,531,268,6737.36370253463,1787.3110127291955
7,ND3_ND4L,Sus_scrofa,0.9634616655750314,15947.322106284804,14823.024877807708,15142.267468935008,14074.727148703234,ND4L,ND3,True,True,99.4,False,NC_000845.1,gene,70.0,1455699.5,11000,11298,299,4822.268927207477,5014.609029182878,5345.779264214047,5559,0.042654731315091635,0.13280426099996626,0.0033367447001282392,0.06716176945431063,SS_cDNA,gene-SS_9,807,269,10201.206058075031,2706.211024923302
8,ND4L_ND4,Sus_scrofa,0.5011101969279705,14823.024877807708,44337.714491215214,14074.727148703234,42099.45264243891,ND4,ND4L,True,True,99.6,False,NC_000845.1,gene,1.0,1797550.8299999998,11359,11657,299,6390.489555052717,6445.292591025663,7084.247491638796,7145,0.7776774883501677,0.8033635926389963,0.005964614548044068,0.06149769906568121,SS_cDNA,gene-SS_10,4685,200,79654.41730346924,21130.997752942774
9,ND4_ND5,Sus_scrofa,0.7201303952953695,44337.714491215214,24947.022529236976,42099.45264243891,23687.643930035225,ND5,ND4,True,True,98.9,False,NC_000845.1,gene,198.0,1727670.42,12738,13036,299,4192.282912525914,3863.567273248833,4647.401337792642,4283,-0.25261880939902476,-0.4066873576453064,0.0012837861973297986,0.01404399323181049,SS_cDNA,gene-SS_11,792,397,6783.673549954177,1799.5962483117169
10,ND5_ND6,Sus_scrofa,0.9684916232233345,24947.022529236976,26570.248102817182,23687.643930035225,25228.925634496463,ND6,ND5,True,False,84.4,True,NC_000845.1,gene,1.0,1509449.55,14739,15037,299,4824.19072923967,4697.08026892521,5347.909698996656,5207,0.04355547716876554,-0.016021013109074462,0.006277149885619712,0.051440329218107005,SS_cDNA,gene-SS_12,2429,200,41297.882525107096,10955.644299231166
11,ND6_CYTB,Sus_scrofa,0.767123385051247,26570.248102817182,42702.17565738974,25228.925634496463,40546.47927722074,CYTB,ND6,False,True,99.2,True,NC_000845.1,gene,75.0,1269323.93,15268,15566,299,4671.9701302848125,5701.084559171755,5179.163879598662,6320,-0.027790099043339903,0.4545543564459321,0.009748988907957353,0.1297337278106509,SS_cDNA,gene-SS_13,2023,274,25105.88790205084,6660.176281532651
