,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,RNR1_RNR2,Homo_sapiens,0.8327959411585436,59357.290857925946,83192.13313506586,64440.76281308044,90316.86658514572,RNR2,RNR1,True,True,99.6,False,NC_012920.1,gene,70.0,193127.28,1602,1900,299,5019.5115637226045,6095.713691219309,1507.7357859531774,1831,0.14773995745370455,0.5034326397370303,0,0,knee_hs,gene-HS_0,211,255,11723.830114722325,2754.72652648242
1,RNR2_ND1,Homo_sapiens,0.6366460879217734,83192.13313506586,38848.27383197331,90316.86658514572,42175.314329890985,ND1,RNR2,True,True,99.5,False,NC_012920.1,gene,78.0,302585.28,3230,3528,299,2421.7999518439183,2899.7086974615063,727.448160535117,871,-0.7108227487703637,-0.552870409453974,0,0,knee_hs,gene-HS_1,370,263,19933.025270287268,4683.625822601342
2,ND1_ND2,Homo_sapiens,0.9066115520204582,38848.27383197331,46851.657401853896,42175.314329890985,50864.122981270215,ND2,ND1,True,True,99.4,False,NC_012920.1,gene,208.0,185793.2,4263,4561,299,1295.448693592318,732.4178110694965,389.12040133779266,220,-1.0830900859225427,-1.269175914686624,0,0,knee_hs,gene-HS_2gene-HS_3,242,372,18434.427874930305,4331.503183744334
3,ND2_COX1,Homo_sapiens,0.7350962066664851,46851.657401853896,80619.16064063561,50864.122981270215,87523.53980352057,COX1,ND2,True,True,99.5,False,NC_012920.1,gene,393.0,186345.2,5512,5810,299,2635.5350126722888,2739.9084477736164,791.6488294314381,823,-0.6401817463586063,-0.6056855619135243,0,0,knee_hs,gene-HS_4gene-HS_5,370,372,28184.869064976087,6622.546190022329
4,COX1_COX2,Homo_sapiens,0.9681352719587963,80619.16064063561,85926.07942178151,87523.53980352057,93284.95326261275,COX2,COX1,True,True,99.5,False,NC_012920.1,gene,141.0,501694.03,7446,7744,299,3353.834462774375,3439.0345401581358,1007.4080267558528,1033,-0.402778519249458,-0.3746192699029921,0,0,knee_hs,gene-HS_6,2392,326,103961.08825598276,24427.54328051081
5,COX2_ATP8,Homo_sapiens,0.5939223435371872,85926.07942178151,36294.87903927634,93284.95326261275,39403.241921832814,ATP8,COX2,True,True,99.5,False,NC_012920.1,gene,95.0,293490.65,8272,8526,255,3920.7983484696424,4214.731585518101,1177.7098039215687,1266,-0.21539280414238235,-0.11824571733892535,0,0,knee_hs,gene-HS_7,539,255,29948.551809646127,7036.955439687318
6,ATP8_ATP6,Homo_sapiens,0.5218417735207643,36294.87903927634,102808.1245183036,39403.241921832814,111612.80900098564,ATP6,ATP8,True,True,99.6,False,NC_012920.1,gene,1.0,366880.3900000001,8527,8825,299,7910.134628258713,8426.133999167707,2376.0066889632108,2531,1.1031120432592525,1.273653613105471,0,0,knee_hs,gene-HS_8,1874,186,142752.553048014,33542.30151378876
7,ATP6_COX3,Homo_sapiens,0.9728357175172022,102808.1245183036,108549.5028119978,111612.80900098564,117845.88991651592,COX3,ATP6,True,True,99.5,False,NC_012920.1,gene,1.0,551790.15,9207,9505,299,7580.680225526343,8196.421140241366,2277.046822742475,2462,0.9942249511379012,1.1977318314448675,0,0,knee_hs,gene-HS_9,433,186,32983.914338201736,7750.1689196747775
8,COX3_ND3,Homo_sapiens,0.6811074410314902,108549.5028119978,56057.54129308545,117845.88991651592,60858.41638221973,ND3,COX3,True,True,99.5,False,NC_012920.1,gene,69.0,446880.13,9991,10289,299,4513.59991760578,5669.579692051601,1355.772575250836,1703,-0.019467545493938428,0.36259223317822975,0,0,knee_hs,gene-HS_10,249,254,13889.700211484385,3263.6369891965746
9,ND3_ND4L,Homo_sapiens,0.536441422402627,56057.54129308545,20546.896890880373,60858.41638221973,22306.57245222372,ND4L,ND3,True,True,99.4,False,NC_012920.1,gene,66.0,259709.54000000004,10405,10703,299,2408.8061606381084,2806.4918851435705,723.5451505016722,843,-0.7151172918946864,-0.5836792483887117,0,0,knee_hs,gene-HS_11,161,251,9088.23181888418,2135.4449036977358
10,ND4L_ND4,Homo_sapiens,0.46635093851123877,20546.896890880373,67570.84961338749,22306.57245222372,73357.74645505408,ND4,ND4L,True,True,99.6,False,NC_012920.1,gene,1.0,221628.33000000002,10760,11058,299,3158.3040708590315,3032.875572201415,948.6755852842809,911,-0.4674027453045139,-0.5088577824043489,0,0,knee_hs,gene-HS_12,786,186,59873.80293262487,14068.435960425813
11,ND4_ND5,Homo_sapiens,0.49870166143622985,67570.84961338749,22445.701897659565,73357.74645505408,24367.994752695995,ND5,ND4,True,True,98.9,False,NC_012920.1,gene,200.0,300502.47,12138,12436,299,1452.109055430992,1391.5938410320432,436.17725752508363,418,-1.0313126893850673,-1.0513134107909792,0,0,knee_hs,gene-HS_13gene-HS_14,397,372,30241.602753501364,7105.813074159094
12,ND5_ND6,Homo_sapiens,0.5368944403109235,22445.701897659565,61167.389288983846,24367.994752695995,66405.88153696767,ND6,ND5,True,False,84.4,True,NC_012920.1,gene,1.0,228010.46999999997,14149,14447,299,5199.0418888318245,5306.699958385351,1561.6622073578596,1594,0.20707604428883516,0.2426578244680012,0,0,knee_hs,gene-HS_15,1097,186,83564.32801156423,19634.95451474188
13,ND6_CYTB,Homo_sapiens,0.8708541445407191,61167.389288983846,47175.37084824212,66405.88153696767,51215.55986655594,CYTB,ND6,False,True,99.2,True,NC_012920.1,gene,74.0,422950.89,14674,14972,299,2613.3665137084777,2886.3920099875154,784.989966555184,867,-0.6475085975672855,-0.5572716721589366,0,0,knee_hs,gene-HS_16,1757,259,96116.78576825956,22584.38213494393
