,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,CYTB_COX2,Mytilus_trossulus,0.6039867767942833,34400.785780626116,79511.59476257561,8023.688620772205,18545.398415731102,COX2,CYTB,True,True,31.2,False,NC_007687.1,gene,2.0,1064325.6199999999,5684,5982,299,847.1100180709946,921.589378139122,6314.792642140468,6870,1.2005955167818665,1.4095128855440775,0,0,popphyl,gene-MT_0,50,97,1150.2760057481646,69.14789973882576
1,COX2_ND1,Mytilus_trossulus,0.3664235235491661,79511.59476257561,17835.050354799383,18545.398415731102,4159.872727770536,ND1,COX2,True,True,3.5,False,NC_007687.1,,448.0,1158098.34,6415,6713,299,135.91730598829406,130.6591054304956,1013.1973244147157,974,-0.7943264314635265,-0.8090758791488235,0,0,popphyl,gene-MT_1gene-MT_2,5,192,116.22580474747082,6.986819036110518
2,ND1_ND4,Mytilus_trossulus,0.45587916257643957,17835.050354799383,5265.538566153228,4159.872727770536,1228.1417681823627,ND4,ND1,True,True,4.5,False,NC_007687.1,gene,67.0,470993.83999999997,7779,8077,299,140.59136174009814,133.34204394036206,1048.0401337792641,994,-0.7812155316354183,-0.8015501370704894,0,0,popphyl,gene-MT_3,31,162,427.022215961078,25.670090680820866
3,ND4_COX3,Mytilus_trossulus,0.08190142204458883,5265.538566153228,123316.80920520936,1228.1417681823627,28762.58946756437,COX3,ND4,True,True,19.3,False,NC_007687.1,gene,3.0,447920.72000000003,9154,9452,299,808.0113487868265,913.6747095350161,6023.33110367893,6811,1.0909222985710687,1.3873119464129922,0,0,popphyl,gene-MT_4,9,98,204.9369291873771,12.319615606529567
4,COX3_ND2,Mytilus_trossulus,0.2901633659344295,123316.80920520936,20927.157438542272,28762.58946756437,4881.080219374101,ND2,COX3,True,True,26.5,False,NC_007687.1,gene,291.0,1565325.69,9950,10248,299,411.87099128579916,196.25695199673004,3070.2976588628762,1463,-0.020266104147939924,-0.6250714853335539,0,0,popphyl,gene-MT_5gene-MT_6,396,192,9205.083735999688,553.356067659953
5,ND2_ND3,Mytilus_trossulus,0.5458434765531857,20927.157438542272,55751.07849345089,4881.080219374101,13003.461518475176,ND3,ND2,True,True,50.1,False,NC_007687.1,,407.0,455675.50999999995,11189,11487,299,116.82626928731804,115.90294362623018,870.8829431438127,864,-0.8478774978376525,-0.8504674605796613,0,0,popphyl,gene-MT_7gene-MT_8,38,192,883.3161160807783,53.099824674439944
6,ND3_COX1,Mytilus_trossulus,0.8065848509852984,55751.07849345089,82488.75684525438,13003.461518475176,19239.79597040665,COX1,ND3,True,True,6.5,False,NC_007687.1,gene,283.0,1118587.26,11947,12245,299,420.26257688589027,231.00100569950038,3132.8528428093646,1722,0.0032726048542607035,-0.5276131254191271,0,0,popphyl,gene-MT_10gene-MT_9,483,192,11227.412738605679,674.9267188882761
7,COX1_ATP6,Mytilus_trossulus,0.709572319084206,82488.75684525438,45358.40276730686,19239.79597040665,10579.45892461002,ATP6,COX1,True,True,2.9,False,NC_007687.1,gene,9.0,1305187.51,13886,14184,299,391.345165729547,153.46408276436034,2917.28762541806,1144,-0.07784180650308771,-0.7451070714829835,0,0,popphyl,gene-MT_11,13,104,278.94193139393,16.768365686665245
8,ATP6_ND4L,Mytilus_trossulus,0.13266246778468238,45358.40276730686,3222.4263380727907,10579.45892461002,751.6033414164847,ND4L,ATP6,True,True,2.4,False,NC_007687.1,gene,66.0,1173734.77,14612,14910,299,135.5920333428671,142.32988794841458,1010.7725752508361,1061,-0.7952388333041268,-0.7763389011080701,0,0,popphyl,gene-MT_12,28,161,388.0931219393808,23.32990008579512
9,ND4L_ND5,Mytilus_trossulus,0.6589973494088948,3222.4263380727907,6557.3590919087765,751.6033414164847,1529.4478406274352,ND5,ND4L,True,True,4.3,False,NC_007687.1,gene,10.0,281837.66,14960,15258,299,144.71851079566022,167.9519507176391,1078.8060200668897,1252,-0.7696387253848173,-0.7044680642599792,0,0,popphyl,gene-MT_13,0,105,0.0,0.0
10,ND5_ND6,Mytilus_trossulus,0.7141355569959533,6557.3590919087765,11807.106947263488,1529.4478406274352,2753.906560772584,ND6,ND5,True,True,27.3,False,NC_007687.1,gene,1.0,409979.08,16675,16973,299,339.2625097437831,353.0747078984234,2529.0367892976587,2632,-0.22393558922007387,-0.18519186085492426,0,0,popphyl,gene-MT_14,53,96,1231.9935303231907,74.0602817827715
