,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,COX1_COX2,Rhopilema_esculentum,,0.0,0.0,0.0,0.0,COX2,COX1,False,True,31.0,True,,gene,83.0,514.3000000000001,1544,1842,299,,,0.0,0.0,,,,,RE_random,gene-RE_0,0,370,0.0,0.0
1,COX2_ATP8,Rhopilema_esculentum,0.0,0.0,24119.21935500804,0.0,19148.284313725493,ATP8,COX2,True,True,38.5,False,NC_035741.1,gene,80.0,64.8,2371,2654,284,4387.775157232701,3906.25,3.1443661971830985,3.0,-0.46675487589139425,-0.5004408015479287,0.0,0.0,RE_random,gene-RE_1,0,284,0.0,0.0
2,ATP8_ATP6,Rhopilema_esculentum,0.5585215605749487,24119.21935500804,9345.33855350739,19148.284313725493,7419.278252611586,ATP6,ATP8,True,True,58.7,False,NC_035741.1,gene,3.0,1000.04,2655,2953,299,2945.4894822006627,2604.1666666666665,1.5585284280936456,1.0,-0.5676524661727179,-0.5915302943946812,0.0,0.0,RE_random,gene-RE_2,3,290,77867.06244457321,13469.827586206897
3,ATP6_COX3,Rhopilema_esculentum,0.3815070986530761,9345.33855350739,39646.35039016589,7419.278252611586,31475.296861747236,COX3,ATP6,True,True,39.0,False,NC_035741.1,gene,1.0,894.5499999999998,3359,3657,299,2186.1064659977665,1302.0833333333333,1.6789297658862876,1.0,-0.6207764191882896,-0.6826197872414336,0.0,0.0,RE_random,gene-RE_3,4,288,104543.74124502882,18084.49074074074
4,COX3_ND2,Rhopilema_esculentum,0.7821582228466064,39646.35039016589,25462.8470998989,31475.296861747236,20214.992389649924,ND2,COX3,True,True,13.6,False,,gene,306.0,408.71,4146,4444,299,,,0.0,0.0,,,,,RE_random,gene-RE_4gene-RE_5,0,576,0.0,0.0
5,ND2_ND5,Rhopilema_esculentum,0.4249833666001329,25462.8470998989,6870.5855254241915,20214.992389649924,5454.568122880511,ND5,ND2,True,True,38.5,False,NC_035741.1,gene,148.0,242.64999999999998,5547,5845,299,1302.0833333333333,1302.0833333333333,0.09698996655518395,0.0,-0.6826197872414332,-0.6826197872414336,0.0,0.0,RE_random,gene-RE_6,1,435,17303.791654349596,2993.295019157088
6,ND5_rrns,Rhopilema_esculentum,0.046006403279831964,6870.5855254241915,291808.9475662709,5454.568122880511,231667.5598428009,rrns,ND5,True,True,14.1,False,NC_035741.1,gene,1.0,412.85,7363,7661,299,28180.157696759255,28645.83333333333,20.846153846153847,22.0,1.1976824175292033,1.2302595625403672,0.0,0.0,RE_random,gene-RE_7,0,288,0.0,0.0
7,rrns_ND6,Rhopilema_esculentum,0.12006949359758035,291808.9475662709,18637.57859250621,231667.5598428009,14796.401515151514,ND6,rrns,True,True,14.1,False,NC_035741.1,gene,25.0,2053.0,8297,8595,299,2829.1339441535774,3906.25,1.3879598662207357,1.0,-0.5757923191907905,-0.5004408015479287,0.0,0.0,RE_random,gene-RE_8,0,312,0.0,0.0
8,ND6_ND3,Rhopilema_esculentum,0.865979381443299,18637.57859250621,24406.35291875813,14796.401515151514,19376.24007936508,ND3,ND6,True,True,39.0,False,NC_035741.1,gene,4.0,184.16,8850,9148,299,2578.0379041248652,2604.1666666666665,1.979933110367893,2.0,-0.5933581771942832,-0.5915302943946812,0.0,0.0,RE_random,gene-RE_9,0,291,0.0,0.0
9,ND3_ND4L,Rhopilema_esculentum,0.0,24406.35291875813,0.0,19376.24007936508,0.0,ND4L,ND3,True,True,78.4,False,NC_035741.1,gene,41.0,595.9,9190,9482,293,2288.713487972499,2604.1666666666665,1.1638225255972696,1.0,-0.6135983674039464,-0.5915302943946812,0.0,0.0,RE_random,gene-RE_10,3,293,77069.78876766631,13331.911262798636
10,ND4L_ND1,Rhopilema_esculentum,0.0,0.0,22209.7811560699,0.0,17632.378472222223,ND1,ND4L,True,True,14.1,False,NC_035741.1,gene,11.0,318.89,9483,9781,299,2020.7656926406894,2604.1666666666665,0.7993311036789298,0.0,-0.6323431191117332,-0.5915302943946812,0.0,0.0,RE_random,gene-RE_11,0,298,0.0,0.0
11,ND1_ND4,Rhopilema_esculentum,0.7648076667110342,22209.7811560699,35869.608271550416,17632.378472222223,28476.935646053287,ND4,ND1,True,True,14.1,False,NC_035741.1,gene,115.0,518.1800000000001,10452,10750,299,11953.90886287625,11718.75,9.180602006688963,9.0,0.06254710072898896,0.04609615553258578,0.0,0.0,RE_random,gene-RE_12,11,402,205966.77379617622,35629.145936981746
12,ND4_CYTB,Rhopilema_esculentum,0.8928391071608929,35869.608271550416,28926.04790371335,28476.935646053287,22964.432686654905,CYTB,ND4,True,True,14.1,False,NC_035741.1,gene,9.0,1594.6799999999998,11893,12191,299,3015.350877192982,3906.25,1.6187290969899666,2.0,-0.5627651913904409,-0.5004408015479287,0.0,0.0,RE_random,gene-RE_13,0,296,0.0,0.0
13,CYTB_rrnl,Rhopilema_esculentum,0.1344130138055536,28926.04790371335,401479.4178283291,22964.432686654905,318735.1101846337,rrnl,CYTB,True,False,14.6,True,,,974.0,78.59,13036,13334,299,,,0.0,0.0,,,,,RE_random,gene-RE_14gene-RE_15,0,576,0.0,0.0
