,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,COX1_ND1,Liposcelis_entomophila,0.8751366917951442,229167.0187050347,294561.49331735715,214370.8489338314,275543.12894795137,ND1,COX1,True,True,0.6,False,NC_025503.1,gene,8.0,183957.57,1532,1830,299,6259.858103178239,6407.961623827594,699.4515050167224,716.0,-0.3798670114262114,-0.36845687458240256,0.0,0.0,LE_transcriptome,gene-LE_0,35,177,6244.096975416257,1769.708178155208
1,ND1_ND2,Liposcelis_entomophila,0.09024367769131791,294561.49331735715,13919.216893111172,275543.12894795137,13020.52258100443,ND2,ND1,True,True,2.0,False,NC_025503.1,gene,83.0,285722.73,2413,2711,299,6375.814659159559,5862.031932412116,712.4080267558528,655.0,-0.3709335291843127,-0.4105161886273158,0.0,0.0,LE_transcriptome,gene-LE_1,591,252,74056.26443394201,20989.100157855082
2,ND2_ND5,Liposcelis_entomophila,0.5834131059089722,13919.216893111172,33797.287080260096,13020.52258100443,31615.16506169304,ND5,ND2,True,False,1.8,True,NC_025503.1,gene,51.0,204465.82,3360,3658,299,5594.70926811956,5414.548578792869,625.1304347826087,605.0,-0.43111116278900885,-0.4449910362051136,0.0,0.0,LE_transcriptome,gene-LE_2,190,220,27271.296270551782,7729.257926150602
3,ND5_ND6,Liposcelis_entomophila,0.8067865230719938,33797.287080260096,22851.9005693348,31615.16506169304,21376.46748856616,ND6,ND5,False,False,1.3,False,NC_025503.1,gene,22.0,190427.81,4947,5245,299,7298.528327522139,7795.160020047253,815.5083612040133,871.0,-0.2998461628779062,-0.2615848470912296,0.0,0.0,LE_transcriptome,gene-LE_3,29,191,4794.4577075260495,1358.849974341164
4,ND6_ND3,Liposcelis_entomophila,0.6615954636624799,22851.9005693348,11296.071809581266,21376.46748856616,10566.740873625793,ND3,ND6,False,False,1.3,False,NC_025503.1,gene,53.0,190785.40999999997,5422,5720,299,5974.965356706797,5745.6862604711105,667.61872909699,642.0,-0.4018156133824308,-0.4194796489975432,0.0,0.0,LE_transcriptome,gene-LE_4,61,222,8676.642862750234,2459.1427541237804
5,ND3_CYTB,Liposcelis_entomophila,0.12175086119577072,11296.071809581266,174264.37020515936,10566.740873625793,163012.99022387975,CYTB,ND3,False,False,0.5,False,NC_025503.1,gene,17.0,202366.41999999995,5796,6094,299,8315.82710608116,8779.623398009595,929.1772575250836,981.0,-0.2214718053777986,-0.18574018242007456,0.0,0.0,LE_transcriptome,gene-LE_5,66,186,11204.844987221612,3175.688316007548
6,COX3_ATP6,Liposcelis_entomophila,0.4847041720451668,95553.05326492462,30564.964751254847,89383.66987697553,28591.537640905677,ATP6,COX3,False,False,97.8,False,NC_025503.1,gene,1.0,269625.37,7670,7968,299,6858.019129180033,6497.458294551443,766.2876254180602,726.0,-0.33378371015566244,-0.3615619050668431,0.0,0.0,LE_transcriptome,gene-LE_7,0,170,0.0,0.0
7,ATP6_COX2,Liposcelis_entomophila,0.7831749811678371,30564.964751254847,47489.02187042624,28591.537640905677,44422.892922928724,COX2,ATP6,False,False,0.3,False,NC_025503.1,,311.0,247198.22999999998,8313,8611,299,10749.058997881535,10354.764802749338,1201.056856187291,1157.0,-0.03401165090995027,-0.06438871894622654,0.0,0.0,LE_transcriptome,gene-LE_8gene-LE_9,0,340,0.0,0.0
8,CYTB_COX3,Liposcelis_entomophila,0.7082793396811089,174264.37020515936,95553.05326492462,163012.99022387975,89383.66987697553,COX3,CYTB,False,False,0.4,False,NC_025503.1,gene,-3670.0,249368.0,10550,10848,299,13273.553548222715,15402.377031574426,1483.1337792642141,1721.0,0.16047952765587176,0.3244875617313319,0.0,0.0,LE_transcriptome,gene-LE_6,13443,3840,110545.18622300724,31330.82668074748
9,COX2_ND4,Liposcelis_entomophila,0.4625571746444608,47489.02187042624,14287.612794923647,44422.892922928724,13365.132999473644,ND4,COX2,False,True,0.2,True,NC_025503.1,,-1594.0,352814.81999999995,10893,11191,299,6074.33958640686,6228.968282379897,678.7224080267558,696.0,-0.39415966060930135,-0.3822468136135217,0.0,0.0,LE_transcriptome,gene-LE_10,3053,1764,54651.625650670765,15489.418124711521
