,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,COX1_COX2,Bemisia_tabaci,0.45726695486780844,189927.70349111292,56294.679688393895,156598.20477106638,46415.797249805626,COX2,COX1,True,True,97.9,False,NC_006279.1,gene,66.0,563196.06,1539,1837,299,1054.5031370103625,1093.4037402453027,865.0869565217391,897.0,-0.4377934900937636,-0.4227914830456688,0.0,0.0,BT_transc2,gene-BT_0,53,211,3447.2165460566052,306.1833189779573
1,COX2_ATP8,Bemisia_tabaci,0.033967947353774064,56294.679688393895,972.6264194824048,46415.797249805626,801.9448895773212,ATP8,COX2,True,True,97.7,False,NC_006279.1,gene,94.0,285544.98,2269,2567,299,429.55773014629506,442.4811122731827,352.39799331103677,363.0,-0.6788035161292512,-0.6738196173299987,0.0,0.0,BT_transc2,gene-BT_1,267,239,15331.636421819769,1361.7628200253555
2,ATP8_ATP6,Bemisia_tabaci,0.3246693087652479,972.6264194824048,188.4893227064519,801.9448895773212,155.4122385085635,ATP6,ATP8,True,True,99.5,False,NC_006279.1,gene,1.0,101978.68,2579,2877,299,396.0507024804003,397.3797316833542,324.9096989966555,326.0,-0.6917254922273747,-0.6912129524770404,0.0,0.0,BT_transc2,gene-BT_2,2,146,187.9975940082564,16.698030577500383
3,ATP6_ND5,Bemisia_tabaci,0.09544441702095108,188.4893227064519,3761.2298665275566,155.4122385085635,3101.189736952164,ND5,ATP6,True,False,0.9,True,NC_006279.1,gene,235.0,106256.94,3231,3529,299,501.8675184064213,515.6184862026344,411.7190635451505,423.0,-0.650917265970792,-0.6456142089834448,0.0,0.0,BT_transc2,gene-BT_3gene-BT_4,4,292,375.99518801651266,33.396061155000766
4,ND5_ND4,Bemisia_tabaci,0.28546636837023043,3761.2298665275566,22590.244655679533,3101.189736952164,18625.991329296103,ND4,ND5,False,False,97.0,False,NC_006279.1,gene,65.0,224673.37,5120,5418,299,1361.7575662712886,1305.5021246407127,1117.1505016722408,1071.0,-0.31930090308959674,-0.3409957988406624,0.0,0.0,BT_transc2,gene-BT_5,2,210,130.70308916764486,11.609106972928839
5,ND4_ND4L,Bemisia_tabaci,0.0,22590.244655679533,0.0,18625.991329296103,0.0,ND4L,ND4,False,False,98.4,False,NC_006279.1,gene,1.0,311360.99,6476,6761,286,1193.690593890989,1207.9856260681104,979.2727272727273,991.0,-0.38411588523713885,-0.378603009969401,0.0,0.0,BT_transc2,gene-BT_6,2,146,187.9975940082564,16.698030577500383
6,ND4L_ND6,Bemisia_tabaci,0.0,0.0,13.229460023384835,0.0,10.90788574637609,ND6,ND4L,False,True,95.6,True,NC_006279.1,gene,162.0,298791.29000000004,6762,7060,299,1332.5270773596746,1335.9760304446506,1093.1705685618729,1096.0,-0.33057363318127897,-0.3292435453629316,0.0,0.0,BT_transc2,gene-BT_7gene-BT_8,2,292,187.9975940082564,16.698030577500383
7,ND6_CYTB,Bemisia_tabaci,0.0007993062106675941,13.229460023384835,33089.128176703736,10.90788574637609,27282.476303695083,CYTB,ND6,True,True,96.0,False,NC_006279.1,gene,1.0,341893.49,7370,7668,299,2216.1521191497013,1874.7546850582785,1818.0735785953177,1538.0,0.010196123646042462,-0.12146370387665098,0.0,0.0,BT_transc2,gene-BT_9,18,146,1691.978346074307,150.28227519750348
8,CYTB_ND1,Bemisia_tabaci,0.03894147189491981,33089.128176703736,657.0631811614468,27282.476303695083,541.7583254033458,ND1,CYTB,True,False,93.4,True,NC_006279.1,gene,74.0,375779.69999999995,8505,8803,299,1312.310341723333,1309.1589933371852,1076.5852842809365,1074.0,-0.33837021177607035,-0.3395855284233347,0.0,0.0,BT_transc2,gene-BT_10,6,219,375.99518801651277,33.396061155000766
9,ND1_ND3,Bemisia_tabaci,0.23551401869158872,657.0631811614468,87.70122968892193,541.7583254033458,72.31096292459912,ND3,ND1,False,False,2.2,False,NC_006279.1,,2613.0,342089.88,9497,9795,299,6390.889682561215,8397.389483333209,5242.919732441472,6889.0,1.6201825285353002,2.3939886304968505,0.0,0.0,BT_transc2,gene-BT_11gene-BT_12,5,292,469.9939850206408,41.74507644375096
10,ND3_COX3,Bemisia_tabaci,0.004316656408452801,87.70122968892193,40546.16970670879,72.31096292459912,33430.91750019866,COX3,ND3,False,False,96.7,False,NC_006279.1,gene,103.0,145577.33000000002,12464,12762,299,575.9058599857307,577.7852540426684,472.4581939799331,474.0,-0.6223643996953259,-0.6216396118888741,0.0,0.0,BT_transc2,gene-BT_13,8,248,442.70401169686164,39.321168779275105
11,COX3_ND2,Bemisia_tabaci,0.015227572322082938,40546.16970670879,311.0783498311225,33430.91750019866,256.4887071831465,ND2,COX3,False,True,0.4,True,NC_006279.1,,807.0,116921.70999999999,13356,13654,299,135.5895161382182,127.99040437654043,111.23411371237458,105.0,-0.7921722778379063,-0.7951028732201807,0.0,0.0,BT_transc2,gene-BT_14gene-BT_15,896,292,84222.92211569882,7480.717698720173
