,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,COX1_ND3,Tetranychus_urticae,0.005265183588638256,578584.7778646862,1527.1980275200876,436692.90275348414,1152.6686584781085,ND3,COX1,True,True,1.0,False,NC_010526.1,gene,44.0,71718.63,1541,1839,299,233.8953606929239,165.9842868208476,4.2274247491638794,3.0,-0.31525416209345175,-0.3187801304440242,0.0,0.0,TU_transcriptome,gene-TU_0,0,243,0.0,0.0
1,ND3_ND4L,Tetranychus_urticae,0.0,1527.1980275200876,0.0,1152.6686584781085,0.0,ND4L,ND3,True,False,0.4,True,NC_010526.1,gene,1278.0,1218.46,1920,2218,299,340.85067594649155,331.96857364169523,6.160535117056856,6.0,-0.3097010021298788,-0.3101621642029788,0.0,0.0,TU_transcriptome,gene-TU_1gene-TU_2,0,400,0.0,0.0
2,ND4L_COX3,Tetranychus_urticae,0.0,0.0,24776.701925510133,0.0,18700.47449993455,COX3,ND4L,False,False,0.5,False,NC_010526.1,gene,104.0,4204.5199999999995,3443,3741,299,717.969936304225,663.9371472833905,12.976588628762542,12.0,-0.29012082910953185,-0.292926231720888,0.0,0.0,TU_transcriptome,gene-TU_3,11,303,17653.567149965696,2008.610731605417
3,COX3_ATP6,Tetranychus_urticae,0.5729539525571801,24776.701925510133,9947.758395736659,18700.47449993455,7508.174525014108,ATP6,COX3,False,False,97.8,False,NC_010526.1,gene,1.0,4310.4400000000005,4333,4631,299,1549.9268521866466,1493.8585813876284,28.013377926421406,27.0,-0.24692531492922085,-0.2498364005156609,0.0,0.0,TU_transcriptome,gene-TU_4,11,200,26745.154232198027,3043.0452583822057
4,ATP6_ATP8,Tetranychus_urticae,0.0,9947.758395736659,0.0,7508.174525014108,0.0,ATP8,ATP6,False,False,99.5,False,NC_010526.1,gene,1.0,3586.04,4952,5081,130,603.5018428511843,497.9528604625429,10.907692307692308,9.0,-0.2960640553266024,-0.3015441979619334,0.0,0.0,TU_transcriptome,gene-TU_5,0,130,0.0,0.0
5,ATP8_COX2,Tetranychus_urticae,0.0,0.0,6194.831435574439,0.0,4675.613713263313,COX2,ATP8,False,False,97.7,False,NC_010526.1,gene,68.0,2650.37,5082,5380,299,1002.937385249716,940.5776253181366,18.127090301003346,17.0,-0.2753252125975938,-0.278562954652479,0.0,0.0,TU_transcriptome,gene-TU_6,24,267,43710.16013433794,4973.311964669591
6,COX2_ND1,Tetranychus_urticae,0.3393458870168484,6194.831435574439,30315.594490211824,4675.613713263313,22881.011501004697,ND1,COX2,False,False,0.4,False,NC_010526.1,gene,814.0,4201.82,5789,6087,299,574.1909052453611,497.9528604625429,10.377926421404682,9.0,-0.2975858901678289,-0.3015441979619334,0.0,0.0,TU_transcriptome,gene-TU_7gene-TU_8,1,400,2431.377657472548,276.640478034746
7,ND1_CYTB,Tetranychus_urticae,0.8011994296121405,30315.594490211824,45359.93240048394,22881.011501004697,34235.8826337836,CYTB,ND1,False,True,93.4,True,NC_010526.1,gene,163.0,2446.74,7458,7756,299,584.7384017323045,553.280956069492,10.568561872909699,10.0,-0.2970382602060223,-0.2986715425482516,0.0,0.0,TU_transcriptome,gene-TU_9,11,362,14776.328305081784,1681.240474244313
8,CYTB_ND6,Tetranychus_urticae,0.0,45359.93240048394,0.0,34235.8826337836,0.0,ND6,CYTB,True,True,96.0,False,NC_010526.1,gene,88.0,2478.35,8683,8981,299,331.9685736416968,331.96857364169523,6.0,6.0,-0.31016216420297843,-0.3101621642029788,0.0,0.0,TU_transcriptome,gene-TU_10,0,287,0.0,0.0
9,ND6_ND4,Tetranychus_urticae,0.0,0.0,2223.303887550908,0.0,1678.061825167437,ND4,ND6,True,True,0.9,False,NC_010526.1,gene,1.0,1806.0,9170,9468,299,331.9685736416968,331.96857364169523,6.0,6.0,-0.31016216420297843,-0.3101621642029788,0.0,0.0,TU_transcriptome,gene-TU_11,0,200,0.0,0.0
10,ND4_ND5,Tetranychus_urticae,0.030987267574292043,2223.303887550908,141274.59454576625,1678.061825167437,106628.47544174502,ND5,ND4,True,True,97.0,False,NC_010526.1,gene,57.0,1882.0,10324,10622,299,343.8113767147564,331.96857364169523,6.214046822742475,6.0,-0.30954728143884574,-0.3101621642029788,0.0,0.0,TU_transcriptome,gene-TU_12,0,256,0.0,0.0
11,ND5_ND2,Tetranychus_urticae,0.0034959258845852492,141274.59454576625,247.37515856343373,106628.47544174502,186.70898405044727,ND2,ND5,True,True,1.8,False,,gene,64.0,904.9,11947,12245,299,,,0.0,0.0,,,,,TU_transcriptome,gene-TU_13,0,263,0.0,0.0
