,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND1_ND2,Felis_catus,0.7068690490990934,24160.00827852606,13206.676451576664,20947.552346279488,11450.639548649044,ND2,ND1,True,True,99.4,False,NC_001700.1,gene,211.0,862096.68,4571,4869,299,341.603897045704,204.5877741833229,1841.6989966555184,1103,-1.534343240812575,-1.972707830472288,0,0,ssRNA_10_mammals,gene-FC_0gene-FC_1,1216,400,8259.84399658146,1127.7367788165034
1,ND2_COX1,Felis_catus,0.13434191376463678,13206.676451576664,183406.22091587327,11450.639548649044,159019.45764991027,COX1,ND2,True,True,99.5,False,NC_001700.1,gene,394.0,836207.2999999999,5823,6121,299,502.2712765250746,424.19967321601035,2707.9096989966556,2287,-1.0203096482264227,-1.2700892043377001,0,0,ssRNA_10_mammals,gene-FC_2gene-FC_3,2917,400,19814.115902983645,2705.269887999786
2,COX1_COX2,Felis_catus,0.5445896300866124,183406.22091587327,68627.46622459679,159019.45764991027,59502.357141575114,COX2,COX1,True,True,99.5,False,NC_001700.1,gene,144.0,1190674.42,7759,8057,299,676.5577004300185,577.5941330977946,3647.545150501672,3114,-0.4627037613988809,-0.779324336252139,0,0,ssRNA_10_mammals,gene-FC_4,40706,343,161225.06987726563,22012.4545987919
3,COX2_ATP8,Felis_catus,0.17981423514112904,68627.46622459679,6779.635126860992,59502.357141575114,5878.175208856339,ATP8,COX2,True,True,99.5,False,NC_001700.1,gene,72.0,1024764.19,8587,8818,232,671.0088199671783,896.4394493454212,3617.6293103448274,4833,-0.4804566554112664,0.24077821300914182,0,0,ssRNA_10_mammals,gene-FC_5,1766,232,10341.201010919674,1411.909561727218
4,ATP8_ATP6,Felis_catus,0.14874093113400944,6779.635126860992,84380.68066748905,5878.175208856339,73160.93210398334,ATP6,ATP8,True,True,99.6,False,NC_001700.1,gene,1.0,1092638.02,8819,9117,299,1037.7849568778422,1045.0113506335822,5595.040133779265,5634,0.6929940845086386,0.7161139558586392,0,0,ssRNA_10_mammals,gene-FC_6,10641,200,72280.42760495338,9868.62422975856
5,ATP6_COX3,Felis_catus,0.7301312134508469,84380.68066748905,146757.72052118892,73160.93210398334,127243.95610289133,COX3,ATP6,True,True,99.5,False,NC_001700.1,gene,1.0,1452717.19,9499,9797,299,1060.0460213404328,1079.140226834608,5715.056856187291,5818,0.7642153552953815,0.8253046882984738,0,0,ssRNA_10_mammals,gene-FC_7,3301,200,22422.48769137779,3061.397291836577
6,COX3_ND3,Felis_catus,0.33336615929605484,146757.72052118892,29355.012746247998,127243.95610289133,25451.798651670244,ND3,COX3,True,True,99.5,False,NC_001700.1,gene,70.0,1150496.88,10283,10581,299,766.6683305755179,895.3265512084313,4133.361204013378,4827,-0.17440696404033237,0.2372176456469733,0,0,ssRNA_10_mammals,gene-FC_8,7319,269,36963.044298437,5046.6551825462175
7,ND3_ND4L,Felis_catus,0.7927417783086208,29355.012746247998,19275.863761880268,25451.798651670244,16712.83223568384,ND4L,ND3,True,True,99.4,False,NC_001700.1,gene,70.0,976699.5900000001,10699,10997,299,832.4763423181638,937.2457143683866,4488.153846153846,5053,0.036136886283481814,0.3713323496219876,0,0,ssRNA_10_mammals,gene-FC_9,2687,269,13570.118872783201,1852.7616444188666
8,ND4L_ND4,Felis_catus,0.7073132576518839,19275.863761880268,35228.596753596765,16712.83223568384,30544.396594344227,ND4,ND4L,True,True,99.6,False,NC_001700.1,gene,1.0,1443758.2000000002,11058,11356,299,1015.4817089853118,1024.4227350992678,5474.7959866220735,5523,0.6216378535320254,0.6502434596585216,0,0,ssRNA_10_mammals,gene-FC_10,11649,200,79127.40354948801,10803.458664830136
9,ND4_ND5,Felis_catus,0.6524348797594982,35228.596753596765,17056.218613707293,30544.396594344227,14788.324081734016,ND5,ND4,True,True,98.9,False,NC_001700.1,gene,199.0,1252851.78,12436,12734,299,407.18610336925053,253.5552922108816,2195.274247491639,1367,-1.3245218244463026,-1.8160428665368729,0,0,ssRNA_10_mammals,gene-FC_11,3124,398,10663.412723700936,1455.9019179048025
10,ND5_ND6,Felis_catus,0.7465001543037804,17056.218613707293,10157.536014613252,14788.324081734016,8806.930648465453,ND6,ND5,True,False,84.4,True,NC_001700.1,gene,1.0,1222061.49,14438,14736,299,908.1000660014976,914.8022686057557,4895.866220735786,4932,0.278084781964929,0.2995275744849224,0,0,ssRNA_10_mammals,gene-FC_12,4472,200,30376.66311900681,4147.400390515956
11,ND6_CYTB,Felis_catus,0.5844977354133254,10157.536014613252,24598.923759967016,8806.930648465453,21328.10705955121,CYTB,ND6,False,True,99.2,True,NC_001700.1,gene,73.0,1038389.9700000001,14966,15264,299,727.6896006203184,948.560178761118,3923.2140468227426,5114,-0.2991141488979117,0.4075314511373675,0,0,ssRNA_10_mammals,gene-FC_13,1305,272,6517.932720309357,889.9093558651417
