,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND2_COX1,Drosophila_albomicans,0.15615238671579934,8417.161849061973,99389.85956241844,7096.426769378642,83794.61778819565,COX1,ND2,True,True,95.7,False,NC_027937.1,gene,210.0,17378.14,1333,1631,299,1078.1715414900764,21.27062186790093,506.8829431438127,10.0,-0.46547416574975176,-0.7486985772950069,0.0,0.0,D.albo,gene-DA_0gene-DA_1,15,388,1817.0646905719154,164.46357114356385
1,COX1_COX2,Drosophila_albomicans,0.790792674850646,99389.85956241844,64998.591442279874,83794.61778819565,54799.676251241865,COX2,COX1,True,True,97.9,False,NC_027937.1,gene,72.0,274042.41000000003,3079,3377,299,1064.0219538996903,1331.5409289305985,500.2307692307692,626.0,-0.469265920061337,-0.3975771715006824,0.0,0.0,D.albo,gene-DA_2,36,265,3192.5483770954106,288.95939141299374
2,COX2_ATP8,Drosophila_albomicans,0.2189211368089632,64998.591442279874,7989.295602571531,54799.676251241865,6735.696924835294,ATP8,COX2,True,True,97.7,False,NC_027937.1,gene,142.0,143171.94,3838,4133,296,474.49296011401964,43.60477482919691,223.07432432432432,20.5,-0.627245726166056,-0.7427135533326036,0.0,0.0,D.albo,gene-DA_3,29,296,2302.433772332792,208.39460613821862
3,ATP8_ATP6,Drosophila_albomicans,0.34842495619218394,7989.295602571531,37870.19557672737,6735.696924835294,31927.991224529214,ATP6,ATP8,True,True,99.5,False,NC_027937.1,gene,1.0,92731.61,4134,4432,299,1795.0839794029803,1839.9087915734306,843.9264214046823,865.0,-0.2733586139627954,-0.2613466260707415,0.0,0.0,D.albo,gene-DA_4,540,194,65414.32886058895,5920.688561168299
4,ATP6_COX3,Drosophila_albomicans,0.6092143372441898,37870.19557672737,86454.50678676266,31927.991224529214,72888.94847179181,COX3,ATP6,True,True,97.8,False,NC_027937.1,gene,17.0,167894.21,4810,5108,299,5727.225203697863,6751.295380871756,2692.551839464883,3174.0,0.7803620931417807,1.0547886433758418,0.0,0.0,D.albo,gene-DA_5,110,210,12309.892221207834,1114.1754311757632
5,COX3_ND3,Drosophila_albomicans,0.2887223803831409,86454.50678676266,14586.383125791808,72888.94847179181,12297.63684463516,ND3,COX3,True,True,96.7,False,NC_027937.1,gene,73.0,327070.86,5616,5914,299,927.2852907147662,1038.0063471535657,435.9464882943144,488.0,-0.5059081069004361,-0.4762374864351252,0.0,0.0,D.albo,gene-DA_6,19,266,1678.6216665283412,151.93301334214948
6,ND3_ND5,Drosophila_albomicans,0.9066062139943389,14586.383125791808,17591.607496017208,12297.63684463516,14831.312096612548,ND5,ND3,True,False,92.2,True,NC_027937.1,gene,421.0,69754.2,6046,6344,299,39.31863781400926,38.28711936222168,18.48494983277592,18.0,-0.7438621365265337,-0.7441385590379377,0.0,0.0,D.albo,gene-DA_7gene-DA_8,31,388,3755.267027181959,339.89138036336544
7,ND5_ND4,Drosophila_albomicans,0.9730847504211528,17591.607496017208,16669.462252887155,14831.312096612548,14053.860467910346,ND4,ND5,False,False,97.0,False,NC_027937.1,gene,81.0,8044.639999999999,8187,8485,299,869.7977003085767,129.75079339419568,408.9197324414716,61.0,-0.5213134194152258,-0.7196284609061909,0.0,0.0,D.albo,gene-DA_9,8,274,686.1519220845772,62.10400545372535
8,ND4_ND4L,Drosophila_albomicans,0.25976537547697187,16669.462252887155,2488.255928310396,14053.860467910346,2097.824218586793,ND4L,ND4,False,False,98.4,False,NC_027937.1,gene,1.0,33575.020000000004,9605,9896,292,286.505078317264,298.85223724400805,134.69520547945206,140.5,-0.6776220256005965,-0.6743132794765663,0.0,0.0,D.albo,gene-DA_10,208,194,25196.630375930567,2280.561519857419
9,ND4L_ND6,Drosophila_albomicans,0.5243782410059787,2488.255928310396,884.2288065402478,2097.824218586793,745.4846521321467,ND6,ND4L,False,True,95.6,True,NC_027937.1,gene,134.0,34995.68,9897,10195,299,60.866702575839646,53.17655466975233,28.615384615384617,25.0,-0.7380877655814425,-0.7401485430630022,0.0,0.0,D.albo,gene-DA_11,5,327,359.33797142808515,32.52388664816656
10,ND6_CYTB,Drosophila_albomicans,0.039354279656581115,884.2288065402478,44052.62757890644,745.4846521321467,37140.33913310793,CYTB,ND6,True,True,96.0,False,NC_027937.1,gene,1.0,58555.45,10554,10852,299,3542.846160590148,3796.8060034203163,1665.6053511705686,1785.0,0.19500025118488987,0.2630554734922107,0.0,0.0,D.albo,gene-DA_12,57,194,6904.845824173279,624.9615703455428
11,CYTB_ND1,Drosophila_albomicans,0.7918845255458788,44052.62757890644,28875.215016291382,37140.33913310793,24344.411155169848,ND1,CYTB,True,False,93.4,True,NC_027937.1,gene,1.0,183271.53,11682,11980,299,690.0147050424919,102.09898496592446,324.39799331103677,48.0,-0.5694910036094779,-0.7270384905739283,0.0,0.0,D.albo,gene-DA_13,45,194,5451.194071715746,493.3907134306917
