,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND1_ND2,Xenopus_tropicalis,0.6433871671759057,7519.512486027922,3566.203798071157,1692.7963896038605,802.8255721609041,ND2,ND1,True,True,99.4,False,NC_006839.1,gene,209.0,17375.5,3761,4059,299,120.71317844036886,117.93148180906893,38.896321070234116,38.0,-0.4422373803888239,-0.4426963884805895,0.0006641502589849385,0.05,XT_developement,gene-XT_0gene-XT_1,9,400,1669.6691908760797,139.6557021423185
1,ND2_COX1,Xenopus_tropicalis,0.058727511473845584,3566.203798071157,117882.96741904654,802.8255721609041,26537.872237534128,COX1,ND2,True,True,99.5,False,NC_006839.1,,390.0,15379.489999999998,5006,5304,299,268.6932115465033,266.89756409420863,86.57859531772576,86.0,-0.4178191775369816,-0.4181154775365168,0.005646064791149599,0.16,XT_developement,gene-XT_2gene-XT_3,52,400,9646.977547284016,806.89961237784
2,COX1_COX2,Xenopus_tropicalis,0.2159169259031598,117882.96741904654,14266.671945390182,26537.872237534128,3211.720281825929,COX2,COX1,True,True,99.5,False,NC_006839.1,gene,159.0,81966.11,6953,7251,299,530.8473601164435,552.4158884740598,171.05016722408027,178.0,-0.37456109032164964,-0.3710020648937109,0.010121438734248638,0.3703703703703704,XT_developement,gene-XT_4,492,358,50991.759274427764,4265.090344756095
3,COX2_ATP8,Xenopus_tropicalis,0.2425952045133991,14266.671945390182,1969.3961272930271,3211.720281825929,443.35143537243965,ATP8,COX2,True,True,99.5,False,NC_006839.1,gene,75.0,26258.629999999997,7800,8031,232,193.53818952059987,198.6214430468529,62.36206896551724,64.0,-0.43022051665444905,-0.42938172838588345,0.004172918752420886,0.1724137931034483,XT_developement,gene-XT_5,3,232,479.78999737818384,40.13094889147083
4,ATP8_ATP6,Xenopus_tropicalis,0.09591349529560445,1969.3961272930271,39096.69412879378,443.35143537243965,8801.467221398108,ATP6,ATP8,True,True,99.6,False,NC_006839.1,gene,1.0,18080.8,8032,8330,299,650.4499357973001,540.0020482836313,209.58862876254182,174.0,-0.3548254550925152,-0.37305047413905024,0.012058178602235303,0.14893617021276595,XT_developement,gene-XT_6,58,200,10760.090341201403,900.0034138060524
5,ATP6_COX3,Xenopus_tropicalis,0.8500293305032757,39096.69412879378,52892.353133012715,8801.467221398108,11907.15283571695,COX3,ATP6,True,True,99.5,False,NC_006839.1,gene,1.0,61381.67,8715,9013,299,2369.413900360186,2575.871839513874,763.4749163879599,830.0,-0.07117900698286,-0.037111357903390235,0.022101462628970402,0.3591331269349845,XT_developement,gene-XT_7,47,200,8719.383552352861,729.3131111876631
6,COX3_ND3,Xenopus_tropicalis,0.2672811059907835,52892.353133012715,8158.926813071111,11907.15283571695,1836.7416608286785,ND3,COX3,True,True,99.5,False,NC_006839.1,gene,70.0,101634.99,9500,9798,299,228.97099883014087,204.8283631420671,73.77926421404682,66.0,-0.42437374457871585,-0.4283575237632137,0.00845033783592435,0.2872340425531915,XT_developement,gene-XT_8,15,269,2068.9828883222795,173.05539298924222
7,ND3_ND4L,Xenopus_tropicalis,0.5089587120228513,8158.926813071111,2785.0046244547857,1836.7416608286785,626.9616257792076,ND4L,ND3,True,True,99.4,False,NC_006839.1,gene,69.0,23431.71,9913,10211,299,171.48952142663612,161.379922475568,55.25752508361204,52.0,-0.4338587699973534,-0.4355269561219016,0.0048399075359985295,0.05555555555555555,XT_developement,gene-XT_9,21,268,2907.384163217054,243.18157089458438
8,ND4L_ND4,Xenopus_tropicalis,0.6501380009907765,2785.0046244547857,5782.4214303538365,626.9616257792076,1301.7415874578307,ND4,ND4L,True,True,99.6,False,NC_006839.1,gene,1.0,21409.079999999998,10271,10569,299,321.08875107934733,322.759844951136,103.46153846153847,104.0,-0.4091733833309008,-0.4088976359324896,0.008887706444977472,0.11666666666666667,XT_developement,gene-XT_10,84,200,15583.579114843413,1303.4532199949726
9,ND4_ND5,Xenopus_tropicalis,0.4726755185781283,5782.4214303538365,18684.347856738244,1301.7415874578307,4206.229679485059,ND5,ND4,True,True,98.9,False,NC_006839.1,gene,210.0,19898.1,11650,11948,299,112.87668233353497,93.10380142821232,36.37123745819398,30.0,-0.4435304815428631,-0.4467932069712682,0.001318982790902945,0.05882352941176471,XT_developement,gene-XT_11gene-XT_12,7,400,1298.6315929036175,108.62110166624771
10,ND5_ND6,Xenopus_tropicalis,0.44669769898373013,18684.347856738244,64971.099212931025,4206.229679485059,14626.326158857246,ND6,ND5,True,False,84.4,True,NC_006839.1,gene,1.0,29492.59,13668,13966,299,1385.5859268736172,1402.763941518399,446.46488294314383,452.0,-0.2335205778262875,-0.2306860315879626,0.014721830424537572,0.13333333333333333,XT_developement,gene-XT_13,171,200,31723.714626645517,2653.458340704051
11,ND6_CYTB,Xenopus_tropicalis,0.19788578353780772,64971.099212931025,7134.318545193742,14626.326158857246,1606.0813381224018,CYTB,ND6,False,True,99.2,True,NC_006839.1,gene,71.0,71856.48000000001,14188,14486,299,126.20391544767382,96.2072614758194,40.66555183946488,31.0,-0.44133135322261613,-0.4462811046599334,0.01020364943494594,0.16666666666666666,XT_developement,gene-XT_14,189,270,25972.63185807235,2172.422033324954
