,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,COX1_ND2,Trichogramma_japonicum,0.0019640135575396123,211396.08139656275,207.79644245189343,174301.92837525727,171.3339262942086,ND2,COX1,True,True,95.7,False,NC_039534.1,gene,193.0,453352.87999999995,1538,1836,299,97.24559086371342,78.6164285041817,100.19397993311037,81.0,-0.7551533295671731,-0.7625741914794499,0.0,0.0,TJ_transcriptome,gene-TJ_0,29,392,794.2446535586004,71.80260854816294
1,ND2_ND3,Trichogramma_japonicum,0.12638034303986168,207.79644245189343,3080.6333473984478,171.3339262942086,2540.067580824155,ND3,ND2,True,True,1.3,False,NC_039534.1,gene,728.0,35085.12,2742,3040,299,200.502892598633,229.0552731726776,206.5819397993311,236.0,-0.7140211432229538,-0.7026474019125545,0.0,0.0,TJ_transcriptome,gene-TJ_1gene-TJ_2,17,400,912.5597191921574,82.49872126982032
2,ND3_ND1,Trichogramma_japonicum,0.33934456911741884,3080.6333473984478,15075.740013228391,2540.067580824155,12430.365495093145,ND1,ND3,True,True,2.2,False,NC_039534.1,gene,2543.0,75391.54000000001,3833,4131,299,145.86189416719947,142.67425913721866,150.28428093645485,147.0,-0.7357871945505944,-0.737056977857417,0.0,0.0,TJ_transcriptome,gene-TJ_3gene-TJ_4,86,400,4616.47857944268,417.34647230614985
3,ND1_CYTB,Trichogramma_japonicum,0.2965414378873755,15075.740013228391,86601.38221718352,12430.365495093145,71405.23996800651,CYTB,ND1,True,False,93.4,True,NC_039534.1,gene,90.0,93326.33,7312,7610,299,2833.875709000875,1715.0028292208526,2919.7959866220735,1767.0,0.3349737421569903,-0.11072537077115524,0.0,0.0,TJ_transcriptome,gene-TJ_5,34,289,1263.058434868038,114.18508134231188
4,CYTB_ND6,Trichogramma_japonicum,0.005157967422118492,86601.38221718352,223.9210428153108,71405.23996800651,184.62910621928788,ND6,CYTB,False,False,96.0,False,NC_039534.1,gene,33.0,240641.93000000002,8542,8840,299,175.32966484150288,178.58546721937577,180.64548494983276,184.0,-0.7240488107834497,-0.7227518732511259,0.0,0.0,TJ_transcriptome,gene-TJ_6,18,232,832.9652609259042,75.30309243695567
5,ND6_ND4L,Trichogramma_japonicum,0.5993276055285767,223.9210428153108,95.81259896865922,184.62910621928788,79.00014348683204,ND4L,ND6,False,True,95.6,True,NC_039534.1,gene,182.0,61009.2,9148,9446,299,165.58173409299758,165.96801573105031,170.6020066889632,171.0,-0.7279318650302794,-0.7277779910857687,0.0,0.0,TJ_transcriptome,gene-TJ_7,23,381,648.1047874454108,58.59103255228864
6,ND4L_ND4,Trichogramma_japonicum,0.031915110149195125,95.81259896865922,5908.402866418094,79.00014348683204,4871.641926524929,ND4,ND4L,True,True,98.4,False,NC_039534.1,gene,1.0,55751.87,9580,9878,299,194.53338056183625,197.99693104756875,200.4314381270903,204.0,-0.716399077541942,-0.7150193842747523,0.0,0.0,TJ_transcriptome,gene-TJ_8,29,200,1556.7195209748568,140.73311275439934
7,ND4_ND5,Trichogramma_japonicum,0.3829317873749959,5908.402866418094,1399.1464630278426,4871.641926524929,1153.6350388997273,ND5,ND4,True,True,97.0,False,NC_039534.1,gene,89.0,59640.26,10925,11223,299,206.69313700003164,217.4083948757618,212.9598662207358,224.0,-0.7115552809356708,-0.7072868952983786,0.0,0.0,TJ_transcriptome,gene-TJ_9,5,288,186.38883153434588,16.85022901752866
8,ND5_COX2,Trichogramma_japonicum,0.054108279360807976,1399.1464630278426,50317.39228321366,1153.6350388997273,41488.08458433912,COX2,ND5,True,True,0.4,False,NC_039534.1,gene,97.0,57904.44,12700,12998,299,600.8789413439481,866.7218599288182,619.0969899665552,893.0,-0.554532739322639,-0.4486351390386816,0.0,0.0,TJ_transcriptome,gene-TJ_10,23,296,834.2159595158834,75.41616014331747
9,COX2_ATP8,Trichogramma_japonicum,0.026137686629223555,50317.39228321366,666.2978580569833,41488.08458433912,549.3810517413118,ATP8,COX2,True,True,97.7,False,NC_039534.1,gene,252.0,510430.45999999996,13478,13776,299,531.5787170516251,187.3206259420626,547.695652173913,193.0,-0.5821382421916357,-0.7192722532117577,0.0,0.0,TJ_transcriptome,gene-TJ_11gene-TJ_12,1316,351,70869.3095832155,6406.843623413513
10,ATP8_ATP6,Trichogramma_japonicum,0.01314870175238092,666.2978580569833,100681.78510934707,549.3810517413118,83014.9224190293,ATP6,ATP8,True,True,99.5,False,NC_039534.1,gene,1.0,85574.95,13881,14179,299,728.3940807357383,470.7279978336807,750.4782608695652,485.0,-0.5037375278746656,-0.6063779141567032,0.0,0.0,TJ_transcriptome,gene-TJ_13,259,200,13903.115721809929,1256.8922828754978
11,ATP6_COX3,Trichogramma_japonicum,0.9000657285695853,100681.78510934707,82386.94494924993,83014.9224190293,67930.31962906536,COX3,ATP6,True,True,97.8,False,NC_039534.1,gene,35.0,363017.47000000003,14557,14855,299,5128.313979557477,6330.0783543737425,5283.799331103679,6522.0,1.2489552322227073,1.7276738833616685,0.0,0.0,TJ_transcriptome,gene-TJ_14,129,234,5918.562281336767,535.0595798796793
