,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,COX1_COX2,Limulus_polyphemus,0.48848438138435646,261044.08579786995,84362.97792397659,276842.56584343186,89468.65507135367,COX2,COX1,True,True,97.9,False,NC_003057.1,gene,3.0,1451026.62,1538,1836,299,933.4933739473888,1033.0912070953,6678.451505016722,7391.0,0.699337843398707,0.9950290328936452,0,0,LP_transcriptome,gene-LP_0,2704,192,10414.11476798878,1968.5249402325546
1,COX2_ATP8,Limulus_polyphemus,0.6432842749771818,84362.97792397659,40000.551396150826,89468.65507135367,42421.398859950066,ATP8,COX2,True,True,97.7,False,NC_003057.1,gene,136.0,1157688.54,2225,2508,284,586.9080248403742,806.4429332074594,4198.890845070423,5769.5,-0.32962263596008157,0.3221439350487678,0,0,LP_transcriptome,gene-LP_1,1972,284,5134.586462823704,970.5636758409694
2,ATP8_ATP6,Limulus_polyphemus,0.5749943466074909,40000.551396150826,99133.1692470417,42421.398859950066,105132.74357723893,ATP6,ATP8,True,True,99.5,False,NC_003057.1,gene,1.0,1459771.5,2509,2807,299,961.2510131097687,969.3529321074153,6877.036789297659,6935.0,0.781746155729222,0.8057995511685364,0,0,LP_transcriptome,gene-LP_2,103270,190,401918.0188440491,75972.43372574869
3,ATP6_COX3,Limulus_polyphemus,0.819804603845186,99133.1692470417,142712.67739024374,105132.74357723893,151349.69890753753,COX3,ATP6,True,True,97.8,False,NC_003057.1,gene,1.0,1828849.5000000002,3183,3481,299,965.3138933826064,1001.6414003578567,6906.103678929766,7166.0,0.7938082444582669,0.901659222831914,0,0,LP_transcriptome,gene-LP_3,4848,190,18868.001891700882,3566.518434225135
4,COX3_ND3,Limulus_polyphemus,0.3892235338332882,142712.67739024374,34484.69342790342,151349.69890753753,36571.7192240745,ND3,COX3,True,True,96.7,False,NC_003057.1,gene,65.0,1327250.3,3967,4265,299,775.2733815296833,947.5477327694547,5546.505016722408,6779.0,0.22960616067833334,0.7410631495257359,0,0,LP_transcriptome,gene-LP_4,5520,254,16070.23627245904,3037.6716218842757
5,ND3_ND5,Limulus_polyphemus,0.2544946110223951,34484.69342790342,5027.8668261810935,36571.7192240745,5332.155097958569,ND5,ND3,True,False,92.2,True,NC_003057.1,gene,394.0,1164335.2599999998,4375,4673,299,26.499179411549115,26.138283821786107,189.5819397993311,187.0,-1.9933933513555038,-1.9944647968161895,0,0,LP_transcriptome,gene-LP_5gene-LP_6,1395,380,5429.220841361948,1026.2568514323561
6,ND5_ND4,Limulus_polyphemus,0.7176990382346754,5027.8668261810935,8983.206223458597,5332.155097958569,9526.873029135128,ND4,ND5,False,False,97.0,False,NC_003057.1,gene,71.0,391017.12,6482,6780,299,518.6630602495039,487.1225621332865,3710.648829431438,3485.0,-0.5322318104683869,-0.6258708697780115,0,0,LP_transcriptome,gene-LP_7,2425,260,6896.921705700352,1303.6885698854649
7,ND4_ND4L,Limulus_polyphemus,0.6966817871301704,8983.206223458597,4801.924889960141,9526.873029135128,5092.53907615191,ND4L,ND4,False,False,98.4,False,NC_003057.1,gene,1.0,708704.5,7883,8181,299,484.99692450808976,528.7760839455445,3469.792642140468,3783.0,-0.6321815725108351,-0.5022077435629184,0,0,LP_transcriptome,gene-LP_8,3741,190,14559.652449845915,2752.133965023975
8,ND4L_ND6,Limulus_polyphemus,0.3001831537760531,4801.924889960141,27191.37539725412,5092.53907615191,28837.007016571988,ND6,ND4L,False,True,95.6,True,NC_003057.1,gene,139.0,787560.08,8184,8482,299,715.7578654308259,877.9388271905805,5120.715719063545,6281.0,0.05291342357288445,0.5344046365891039,0,0,LP_transcriptome,gene-LP_9,12275,328,27673.529826178867,5230.980727670933
9,ND6_CYTB,Limulus_polyphemus,0.882215024512058,27191.37539725412,34452.04404528672,28837.007016571988,36537.09388931857,CYTB,ND6,True,True,96.0,False,NC_003057.1,gene,1.0,1659076.9400000004,8783,9081,299,919.1758231343431,991.8570160395413,6576.020066889632,7096.0,0.6568311592996998,0.8726108374793753,0,0,LP_transcriptome,gene-LP_10,1914,190,7449.124509223491,1408.068540244824
10,CYTB_ND1,Limulus_polyphemus,0.9350071782347826,34452.04404528672,39241.60205126918,36537.09388931857,41616.517633317264,ND1,CYTB,True,False,93.4,True,NC_003057.1,gene,83.0,1127892.02,9915,10213,299,608.2652075161817,830.6942286249989,4351.685618729097,5943.0,-0.2662163293159236,0.3941424330297029,0,0,LP_transcriptome,gene-LP_11,1541,272,4189.388493944668,791.8979114771231
11,ND1_ND2,Limulus_polyphemus,0.7297347065611501,39241.60205126918,68308.72191836602,41616.517633317264,72442.78983592369,ND2,ND1,False,True,2.0,True,NC_003057.1,gene,2848.0,1254598.82,10930,11228,299,571.665158923274,750.0429464583115,4089.839464882943,5366.0,-0.3748764433159686,0.15470074233806286,0,0,LP_transcriptome,gene-LP_12gene-LP_13,11676,380,45441.994655012255,8589.659496289743
