,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND1_ND2,Struthio_camelus,0.8970820118021704,27944.165811758765,34355.97050603683,30597.624354401407,37618.26661622028,ND2,ND1,True,True,99.4,False,NC_002785.1,gene,219.0,2038228.98,3743,4041,299,1489.8299354272533,1496.3513781189554,7137.755852842809,7169.0,0.4780891912013762,0.499420683798537,0,0,SC_ostrich,gene-SC_0gene-SC_1,17586,372,74431.59528879804,19734.636536641447
1,ND2_COX1,Struthio_camelus,0.48682250064816146,34355.97050603683,106787.75419976402,37618.26661622028,116927.86289149498,COX1,ND2,True,True,99.5,False,NC_002785.1,,357.0,2139142.4,5003,5301,299,1505.8536129636836,1529.3299689604667,7214.52508361204,7327.0,0.5305022805907179,0.6072929138643767,0,0,SC_ostrich,gene-SC_2gene-SC_3,3379,372,14301.396592792476,3791.8421959121706
2,COX1_COX2,Struthio_camelus,0.6463518502098748,106787.75419976402,223644.5147419565,116927.86289149498,244880.84192934734,COX2,COX1,True,True,99.5,False,NC_002785.1,gene,138.0,2203147.23,6911,7209,299,1525.526841173656,1529.5386942189573,7308.779264214047,7328.0,0.5948529682778503,0.6079756494977048,0,0,SC_ostrich,gene-SC_4,51265,323,124945.79424481036,33127.864942784814
3,COX2_ATP8,Struthio_camelus,0.37482666728027614,223644.5147419565,51580.915357475315,244880.84192934734,56478.81860549522,ATP8,COX2,True,True,99.5,False,NC_002785.1,gene,69.0,2126876.65,7737,7962,226,1499.4600914821376,1522.337672801032,7183.8938053097345,7293.5,0.5095892153993441,0.5844212701478854,0,0,SC_ostrich,gene-SC_5,6623,226,23070.102208508066,6116.75834948274
4,ATP8_ATP6,Struthio_camelus,0.7588045144124986,51580.915357475315,84372.19081878835,56478.81860549522,92383.81342358203,ATP6,ATP8,True,True,99.6,False,NC_002785.1,gene,1.0,1860848.17,7963,8261,299,1491.052967711117,1497.603729669899,7143.615384615385,7175.0,0.482089702337131,0.5035170975985056,0,0,SC_ostrich,gene-SC_6,74798,186,316577.6449682427,83936.73056224876
5,ATP6_COX3,Struthio_camelus,0.9109860687021101,84372.19081878835,100860.478960661,92383.81342358203,110437.75893087137,COX3,ATP6,True,True,99.5,False,NC_002785.1,gene,1.0,2109382.7299999995,8646,8944,299,1472.0743268998021,1476.3137533038598,7052.688963210702,7073.0,0.42001099443314804,0.4338780629990395,0,0,SC_ostrich,gene-SC_7,5537,186,23434.990510296528,6213.504065926513
6,COX3_ND3,Struthio_camelus,0.7051656142551821,100860.478960661,54928.52397448082,110437.75893087137,60144.301827956995,ND3,COX3,True,True,99.5,False,NC_002785.1,gene,69.0,1830621.87,9431,9729,299,1301.0089688943394,1457.945930556689,6233.117056856187,6985.0,-0.13953995010971917,0.3737973272661668,0,0,SC_ostrich,gene-SC_8,3399,254,10534.663082908684,2793.1384000373055
7,ND3_ND4L,Struthio_camelus,0.5043528648133802,54928.52397448082,18522.656698060764,60144.301827956995,20281.48900599191,ND4L,ND3,True,True,99.4,False,NC_002785.1,gene,70.0,1695044.36,9852,10150,299,1304.3688172860293,1474.0177754604636,6249.214046822743,7062.0,-0.12854996147022688,0.4263679710324305,0,0,SC_ostrich,gene-SC_9,2232,255,6890.602740445292,1826.9599096116492
8,ND4L_ND4,Struthio_camelus,0.6111359094338495,18522.656698060764,42094.487253503066,20281.48900599191,46091.59983698081,ND4,ND4L,True,True,99.6,False,NC_002785.1,gene,1.0,1951403.12,10211,10509,299,1456.928831220165,1463.9989630529155,6980.127090301004,7014.0,0.3704704181766718,0.3935966606326817,0,0,SC_ostrich,gene-SC_10,17567,186,74351.1790309516,19713.315139268754
9,ND4_ND5,Struthio_camelus,0.799851128210065,42094.487253503066,28054.288857450887,46091.59983698081,30718.204213809215,ND5,ND4,True,True,98.9,False,NC_002785.1,gene,207.0,1733784.9,11589,11887,299,963.9134879653307,785.2244224415554,4618.096989966555,3762.0,-1.2421716983152018,-1.826659618950296,0,0,SC_ostrich,gene-SC_11gene-SC_12,5039,372,21327.238067795595,5654.659019000128
10,ND5_CYTB,Struthio_camelus,0.7983033875707712,28054.288857450887,42230.4908246692,30718.204213809215,46240.517725939484,CYTB,ND5,True,True,15.2,False,NC_002785.1,gene,9.0,1752188.6800000002,13614,13912,299,1359.247504479937,1410.7740221378185,6512.13712374582,6759.0,0.050956991969422355,0.21949907413401645,0,0,SC_ostrich,gene-SC_13,4697,194,19059.96211000084,5053.518242939413
11,CYTB_ND6,Struthio_camelus,0.6241177501783793,42230.4908246692,19156.289664931952,46240.517725939484,20975.289051034983,ND6,CYTB,True,False,99.2,True,NC_002785.1,gene,207.0,1263233.9900000002,14763,15061,299,439.9335082861936,453.97743721700766,2107.7157190635453,2175.0,-2.956098445200164,-2.910161069041989,0,0,SC_ostrich,gene-SC_14gene-SC_15,4506,372,19071.350413472304,5056.537713755621
