,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND2_COX1,Nilaparvata_lugens,0.04892014857594862,7961.466078994117,317526.7554718419,3957.378004365817,157831.91003191096,COX1,ND2,True,True,95.7,False,NC_021748.1,,1045.0,20226.57,1158,1456,299,878.3903477159471,290.33443951085087,886.4548494983278,293.0,-0.19241983080984196,-0.4479713129482593,0.0,0.0,NL_LS_SF_transc,gene-NL_0gene-NL_1,160,192,23923.71436758808,1651.5042065463645
1,COX1_COX2,Nilaparvata_lugens,0.5520833460420652,317526.7554718419,121071.3566554971,157831.91003191096,60180.514371761,COX2,COX1,True,True,97.9,False,NC_021748.1,gene,66.0,429594.36,3737,4035,299,809.6137588227236,577.6961714499182,817.0468227424749,583.0,-0.22230807609885683,-0.3230925123406154,0.0,0.0,NL_LS_SF_transc,gene-NL_2,191,161,17028.929605749032,1175.5427457777228
2,COX2_ATP8,Nilaparvata_lugens,0.016494654537746678,121071.3566554971,1006.8186642488383,60180.514371761,500.45582016556494,ATP8,COX2,True,True,97.7,False,NC_021748.1,gene,146.0,160973.87,4466,4708,243,105.61879124384552,104.04476501242095,106.58847736625515,105.0,-0.5282432004170412,-0.528927225066318,0.0,0.0,NL_LS_SF_transc,gene-NL_3gene-NL_4,71,192,10616.14825061721,732.8549916549491
3,ATP8_ATP6,Nilaparvata_lugens,0.011015482158804657,1006.8186642488383,181793.83404146734,500.45582016556494,90363.62310996967,ATP6,ATP8,True,True,99.5,False,NC_021748.1,gene,1.0,22858.56,4709,5007,299,2519.407778722016,360.68851870972605,2542.5384615384614,364.0,0.5207171870437658,-0.4173975376270775,0.0,0.0,NL_LS_SF_transc,gene-NL_5,36,96,5382.835732707317,371.588446472932
4,ATP6_COX3,Nilaparvata_lugens,0.7560161277353645,181793.83404146734,110483.00024018149,90363.62310996967,54917.397206580565,COX3,ATP6,True,True,97.8,False,NC_021748.1,gene,1.0,47123.81,5361,5659,299,1197.7293988970878,519.232922538177,1208.7257525083612,524.0,-0.053644645159375816,-0.34849888901596365,0.0,0.0,NL_LS_SF_transc,gene-NL_6,10,96,1495.232147974255,103.21901290914778
5,COX3_ND3,Nilaparvata_lugens,0.01459483058536215,110483.00024018149,812.1670558273964,54917.397206580565,403.7010282668891,ND3,COX3,True,True,96.7,False,NC_021748.1,gene,62.0,64213.37,6140,6438,299,73.82720911551843,59.45415143566914,74.50501672240803,60.0,-0.5420588696740966,-0.5483049699881938,0.0,0.0,NL_LS_SF_transc,gene-NL_7,4,157,365.71283109688784,25.245924176504932
6,ND3_ND5,Nilaparvata_lugens,0.4180896084593654,812.1670558273964,3072.9668455875767,403.7010282668891,1527.4688458397775,ND5,ND3,True,False,92.2,True,NC_021748.1,,377.0,19299.62,6553,6851,299,61.05152607290383,60.44505395959694,61.61204013377927,61.0,-0.5476107988211663,-0.5478743534343743,0.0,0.0,NL_LS_SF_transc,gene-NL_8gene-NL_9,6,192,897.1392887845531,61.931407745488656
7,ND5_ND4,Nilaparvata_lugens,0.5629066548869572,3072.9668455875767,7845.244260673688,1527.4688458397775,3899.608032995572,ND4,ND5,False,False,97.0,False,NC_021748.1,gene,61.0,30337.5,8605,8903,299,103.68021893338386,105.03566753634878,104.63210702341136,106.0,-0.5290856458720709,-0.5284966085124985,0.0,0.0,NL_LS_SF_transc,gene-NL_10,85,156,7821.214312480718,539.9148367555422
8,ND4_ND4L,Nilaparvata_lugens,0.2828143900087805,7845.244260673688,1292.083952452676,3899.608032995572,642.2516358791416,ND4L,ND4,False,False,98.4,False,NC_021748.1,gene,1.0,28750.18,9974,10244,271,93.1960277855063,65.39956657923604,94.05166051660517,66.0,-0.5336417612847021,-0.545721270665277,0.0,0.0,NL_LS_SF_transc,gene-NL_11,72,96,10765.671465414634,743.176892945864
9,ND4L_ND6,Nilaparvata_lugens,0.1723237597911227,1292.083952452676,121.82505837410945,642.2516358791416,60.55515424003335,ND6,ND4L,False,True,95.6,True,NC_021748.1,gene,33.0,26970.7,10245,10543,299,58.579240845980415,58.463248911741296,59.11705685618729,59.0,-0.5486851799220007,-0.5487355865420132,0.0,0.0,NL_LS_SF_transc,gene-NL_12,0,128,0.0,0.0
10,ND6_CYTB,Nilaparvata_lugens,0.0030774751323586758,121.82505837410945,79050.25798668622,60.55515424003335,39293.234322927565,CYTB,ND6,True,True,96.0,False,NC_021748.1,gene,181.0,17554.53,10818,11116,299,550.0370662168028,66.39046910316385,555.0869565217391,67.0,-0.33511233092983644,-0.5452906541114575,0.0,0.0,NL_LS_SF_transc,gene-NL_13gene-NL_14,32,192,4784.742873517615,330.30084130927287
11,CYTB_ND1,Nilaparvata_lugens,0.03168564492529835,79050.25798668622,1272.5398254407867,39293.234322927565,632.5369052523984,ND1,CYTB,True,False,93.4,True,NC_021748.1,gene,72.0,129031.43,12103,12401,299,90.31131999851823,82.24490948600895,91.14046822742475,83.0,-0.534895368875775,-0.5384007892503461,0.0,0.0,NL_LS_SF_transc,gene-NL_15,4,167,343.81385917491843,23.73419218988787
