,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND1_ND2,Pardaliparus_venustulus,0.9482232374485268,45009.321956283515,40577.893047586265,40000.187253097516,36061.936720933416,ND2,ND1,True,True,99.4,False,NC_026701.1,gene,225.0,1753663.44,3791,4089,299,332.3640243995092,322.8298115208463,4924.257525083612,4783.0,-0.7751425766102452,-0.8626994519796539,0.003021020072757812,0.2761951538965292,songbirds,gene-PV_0gene-PV_1,2702,400,7629.146291294501,911.8609144149349
1,ND2_COX1,Pardaliparus_venustulus,0.25373879766698204,40577.893047586265,279261.9849740829,36061.936720933416,248182.62542334446,COX1,ND2,True,True,99.5,False,NC_026701.1,,362.0,1641655.2699999998,5056,5354,299,310.82423386816134,317.43019100617613,4605.127090301004,4703.0,-0.9729519583639393,-0.9122865449533318,0.001658890914277087,0.018468357547402118,songbirds,gene-PV_2gene-PV_3,1189,400,3357.163190358683,401.25929949643137
2,COX1_COX2,Pardaliparus_venustulus,0.6021054307574387,279261.9849740829,120284.57757590814,248182.62542334446,106897.98063097386,COX2,COX1,True,True,99.5,False,NC_026701.1,gene,149.0,1914781.9300000002,6969,7267,299,401.9385410569932,450.66582720566396,5955.063545150501,6677.0,-0.13620915217419863,0.31127497417216965,0.00472817178857483,0.2986324309238069,songbirds,gene-PV_4,133969,348,217393.05484622566,25983.540256101147
3,COX2_ATP8,Pardaliparus_venustulus,0.5006636689481971,120284.57757590814,40165.84983623498,106897.98063097386,35695.750231245176,ATP8,COX2,True,True,99.5,False,NC_026701.1,gene,73.0,1650362.98,7802,8031,230,397.5702435458924,427.1437303386318,5890.343478260869,6328.5,-0.17632515185068426,0.09526120040558543,0.004864714267449392,0.3950384447990715,songbirds,gene-PV_5,932,230,2288.2773930700205,273.50251737351374
4,ATP8_ATP6,Pardaliparus_venustulus,0.535958132049349,40165.84983623498,109718.43191783555,35695.750231245176,97507.75241831793,ATP6,ATP8,True,True,99.6,False,NC_026701.1,gene,1.0,1627241.0799999998,8032,8330,299,480.2569666039323,481.98362619075135,7115.418060200669,7141.0,0.5830234380785458,0.5988801134195013,0.004980863795828464,0.063969226385525,songbirds,gene-PV_6,29797,200,84132.37307242866,10055.7807797268
5,ATP6_COX3,Pardaliparus_venustulus,0.7884264728666438,109718.43191783555,168604.1148097236,97507.75241831793,149839.9858274287,COX3,ATP6,True,True,99.5,False,NC_026701.1,gene,2.0,2046844.38,8717,9015,299,467.5764363869132,468.4845749040757,6927.545150501673,6941.0,0.4665725450725516,0.4749123809853066,0.0056388200366815746,0.03739240863552985,songbirds,gene-PV_7,2140,201,6012.267700494652,718.6062127732769
6,COX3_ND3,Pardaliparus_venustulus,0.24523836418089462,168604.1148097236,23563.426773234318,149839.9858274287,20941.02826453357,ND3,COX3,True,True,99.5,False,NC_026701.1,gene,68.0,1676467.8800000001,9503,9801,299,397.0998761016443,470.9144041356773,5883.374581939799,6977.0,-0.18064474322314444,0.4972265728234617,0.005763799630278657,0.15450957462359305,songbirds,gene-PV_8,597,267,1262.6519781165891,150.91635989036172
7,ND3_ND4L,Pardaliparus_venustulus,0.7862218855994996,23563.426773234318,15263.153626713947,20941.02826453357,13564.501232307939,ND4L,ND3,True,True,99.4,False,NC_026701.1,gene,73.0,1576842.9300000002,9922,10220,299,408.43659607937184,461.19508720927087,6051.337792642141,6833.0,-0.07653465140746397,0.4079698054708415,0.005645677928285569,0.28002125398512223,songbirds,gene-PV_9,1616,272,3355.0040293496954,401.0012293983037
8,ND4L_ND4,Pardaliparus_venustulus,0.5420815379038324,15263.153626713947,41049.97478468639,13564.501232307939,36481.4799857956,ND4,ND4L,True,True,99.6,False,NC_026701.1,gene,1.0,1902071.55,10284,10582,299,460.96348141294715,464.7048405438066,6829.568561872909,6885.0,0.4058428674528237,0.4402014159037321,0.006574862649737073,0.12802213807165744,songbirds,gene-PV_10,13479,200,38058.20239095431,4548.842807327501
9,ND4_ND5,Pardaliparus_venustulus,0.8051041194593387,41049.97478468639,27658.898437158306,36481.4799857956,24580.71058647186,ND5,ND4,True,True,98.9,False,NC_026701.1,gene,208.0,1789057.5899999999,11663,11961,299,273.3287001579495,255.06457406173493,4049.598662207358,3779.0,-1.317289956031447,-1.4850174687993112,0.003948614929687308,0.11303511303511304,songbirds,gene-PV_11gene-PV_12,1546,400,4365.159202939044,521.7383322300109
10,ND5_CYTB,Pardaliparus_venustulus,0.7571525083409755,27658.898437158306,45401.411427660685,24580.71058647186,40348.64067548608,CYTB,ND5,True,True,15.2,False,NC_026701.1,gene,10.0,1590712.9,13689,13987,299,447.69626165923916,461.46506823500437,6633.003344481605,6837.0,0.2840041460756506,0.4104491601195254,0.009598275898315543,0.19918624005918253,songbirds,gene-PV_13,2144,209,5792.940777002118,692.3915301108236
11,CYTB_ND6,Pardaliparus_venustulus,0.6050051906505591,45401.411427660685,19690.460059422112,40348.64067548608,17499.088083164657,ND6,CYTB,True,False,99.2,True,NC_026701.1,gene,157.0,1461679.43,14842,15140,299,213.31706493286367,145.7222586396628,3160.47491638796,2159.0,-1.8684032291445858,-2.489156101516288,0.003541504868821283,0.09768861753161796,songbirds,gene-PV_14,3321,356,5267.9236423683315,629.6397376832806
