,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,COX1_COX2,Linepithema_humile,0.5264106451317236,220642.7213189565,78820.24723469416,197219.3140405524,70452.69836779153,COX2,COX1,True,True,97.9,False,NC_045057.1,gene,68.0,405531.2199999999,1529,1827,299,867.124590733255,433.7044556288642,601.8026755852843,301.0,-0.5586018600133764,-0.6833314750023473,0.0,0.0,LH_queen_transc,gene-LH_0,99,259,5985.515672067911,550.7605421729058
1,COX2_ATP8,Linepithema_humile,0.03522220400838616,78820.24723469416,1412.9958276990176,70452.69836779153,1262.9923444341644,ATP8,COX2,True,True,97.7,False,NC_045057.1,gene,158.0,187895.23,2287,2585,299,174.65472488979805,85.0118368176179,121.21404682274247,59.0,-0.7578807876924433,-0.7836782115085954,0.0,0.0,LH_queen_transc,gene-LH_1,176,312,8833.325122880848,812.8033072523225
2,ATP8_ATP6,Linepithema_humile,0.042707746089461485,1412.9958276990176,64757.474734674404,1262.9923444341644,57882.828265650256,ATP6,ATP8,True,True,99.5,False,NC_045057.1,gene,1.0,55315.61999999999,2599,2897,299,652.0288854810365,592.2011005430671,452.5217391304348,411.0,-0.6205020864424704,-0.6377193220449617,0.0,0.0,LH_queen_transc,gene-LH_2,491,192,40044.82546828725,3684.7468112156075
3,ATP6_COX3,Linepithema_humile,0.4980768556727302,64757.474734674404,195272.57483351673,57882.828265650256,174542.45954448302,COX3,ATP6,True,True,97.8,False,NC_045057.1,gene,6.0,484743.31,3269,3567,299,7893.581082977742,8769.187099525807,5478.311036789298,6086.0,1.463471278797595,1.715453114620154,0.0,0.0,LH_queen_transc,gene-LH_3,602,197,47851.59373211733,4403.090920089992
4,COX3_ND3,Linepithema_humile,0.22441794883912547,195272.57483351673,24680.735356623583,174542.45954448302,22060.631177646366,ND3,COX3,True,True,96.7,False,NC_045057.1,gene,110.0,741699.99,4061,4359,299,1552.8285918926267,1299.6724882964634,1077.695652173913,902.0,-0.36127001238150347,-0.4341232574806319,0.0,0.0,LH_queen_transc,gene-LH_4,91,301,4734.139362897029,435.61445748089585
5,ND3_ND5,Linepithema_humile,0.6768272120104206,24680.735356623583,12624.649972715515,22060.631177646366,11284.418505796953,ND5,ND3,True,False,92.2,True,NC_045057.1,gene,492.0,126252.6,4522,4820,299,137.4328311434524,135.442587472137,95.38127090301003,94.0,-0.7685925015703041,-0.7691652537494272,0.0,0.0,LH_queen_transc,gene-LH_5gene-LH_6,37,384,3017.634505756881,277.66931163946526
6,ND5_ND4,Linepithema_humile,0.8267752843639327,12624.649972715515,17914.84536894338,11284.418505796953,16013.007334595584,ND4,ND5,False,False,97.0,False,NC_045057.1,gene,84.0,38209.740000000005,6670,6968,299,1387.927506689856,351.5743759915045,963.2508361204013,244.0,-0.40872523469980016,-0.7069668633529924,0.0,0.0,LH_queen_transc,gene-LH_7,61,275,3473.467845840253,319.6130690831859
7,ND4_ND4L,Linepithema_humile,0.333277036536621,17914.84536894338,3582.2429434622986,16013.007334595584,3201.952422509149,ND4L,ND4,False,False,98.4,False,NC_045057.1,gene,33.0,56783.46000000001,8086,8384,299,331.9369838350623,406.32776241641096,230.37123745819397,282.0,-0.712618110640963,-0.6912099377858957,0.0,0.0,LH_queen_transc,gene-LH_8,28,224,1957.3845442747333,180.1098237661396
8,ND4L_ND6,Linepithema_humile,0.3381989669885469,3582.2429434622986,729.0348476830029,3201.952422509149,651.640587607943,ND6,ND4L,False,True,95.6,True,NC_045057.1,gene,467.0,45490.92999999999,8407,8705,299,219.26413328051768,134.0017088820079,152.17391304347825,93.0,-0.7450430953869835,-0.7695799096854035,0.0,0.0,LH_queen_transc,gene-LH_10gene-LH_9,17,384,1386.4807188612692,127.57779183434891
9,ND6_CYTB,Linepithema_humile,0.023066737974668516,729.0348476830029,62481.88370383633,651.640587607943,55848.81373094935,CYTB,ND6,True,True,96.0,False,NC_045057.1,gene,24.0,50066.20999999999,9429,9727,299,3585.87454962123,4394.679699893807,2488.672240802676,3050.0,0.22379980561690674,0.4565576929963142,0.0,0.0,LH_queen_transc,gene-LH_11,32,215,2330.653224810845,214.4563482982872
10,CYTB_ND1,Linepithema_humile,0.9172778304065639,62481.88370383633,52934.39843860539,55848.81373094935,47314.88846223778,ND1,CYTB,True,False,93.4,True,NC_045057.1,gene,103.0,241843.37,10575,10873,299,1362.878386584535,391.9189765151199,945.866220735786,272.0,-0.41593386866369403,-0.695356497145658,0.0,0.0,LH_queen_transc,gene-LH_12,230,294,12250.297828113977,1127.2179446588334
11,ND1_ND2,Linepithema_humile,0.029996226889699384,52934.39843860539,806.0046622790172,47314.88846223778,720.4392950645586,ND2,ND1,False,True,2.0,True,NC_045057.1,gene,3060.0,248688.94999999998,11631,11929,299,6430.433931092821,10138.021760148467,4462.8561872909695,7036.0,1.0424068977372611,2.109376253797574,0.0,0.0,LH_queen_transc,gene-LH_13gene-LH_14,20,384,1631.1537868956111,150.09151980511638
