,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND2_COX1,Reticulitermes_flavipes,0.41782699689477476,33707.906588654565,127640.72257684449,15851.751112259235,60025.35223466182,COX1,ND2,True,True,95.7,False,NC_009498.1,gene,220.0,529655.4500000001,1259,1557,299,714.7352557696985,346.82667868237587,2252.438127090301,1093.0,-0.4581695213401915,-0.9202807218910002,0.0,0.0,popphyl,gene-RF_0gene-RF_1,763,192,24076.427854197223,2522.0032387413544
1,COX1_COX2,Reticulitermes_flavipes,0.7048852161976629,127640.72257684449,69470.33533588066,60025.35223466182,32669.678330015908,COX2,COX1,True,True,97.9,False,NC_009498.1,gene,83.0,1183423.38,3024,3322,299,1303.2699059153033,1255.9377806265727,4107.163879598662,3958.0,0.2810588377746432,0.22160736911098974,0.0,0.0,popphyl,gene-RF_2,1667,178,28369.673983263077,2971.7203108829467
2,COX2_ATP8,Reticulitermes_flavipes,0.9687203403547753,69470.33533588066,65256.137131887146,32669.678330015908,30687.875606914757,ATP8,COX2,True,True,97.7,False,NC_009498.1,gene,138.0,882211.1699999999,3792,4083,292,1064.8014584724938,410.6072481381468,3355.6472602739727,1294.0,-0.018469217302822187,-0.8401692013704417,0.0,0.0,popphyl,gene-RF_3gene-RF_4,519,192,16377.019733064692,1715.4910627873696
3,ATP8_ATP6,Reticulitermes_flavipes,0.9423266760598831,65256.137131887146,58139.50054722256,30687.875606914757,27341.148879765467,ATP6,ATP8,True,True,99.5,False,NC_009498.1,gene,1.0,1239649.4400000002,4084,4382,299,2054.911484309238,2156.7986596560927,6475.909698996656,6797.0,1.225157491101456,1.3531327758665397,0.0,0.0,popphyl,gene-RF_5,6139,96,193715.84612964193,20291.714131891447
4,ATP6_COX3,Reticulitermes_flavipes,0.5702349310698767,58139.50054722256,145774.70175582136,27341.148879765467,68553.18305275196,COX3,ATP6,True,True,97.8,False,NC_009498.1,gene,1.0,1524465.03,4761,5059,299,2068.547593677732,2307.2065697159696,6518.882943143813,7271.0,1.2422851126453862,1.5420524809747218,0.0,0.0,popphyl,gene-RF_6,232,96,7320.74870533913,766.8476427103462
5,COX3_ND3,Reticulitermes_flavipes,0.3075021311043713,145774.70175582136,26485.133171995443,68553.18305275196,12455.111625318834,ND3,COX3,True,True,96.7,False,NC_009498.1,gene,72.0,1128704.35,5551,5849,299,788.332465560016,857.7058668604411,2484.3745819397996,2703.0,-0.3657278195384942,-0.27859142816911403,0.0,0.0,popphyl,gene-RF_7,138,167,2503.233503209085,262.21344132321565
6,ND3_ND5,Reticulitermes_flavipes,0.9147095966554636,26485.133171995443,31424.247616913868,12455.111625318834,14777.819287092272,ND5,ND3,True,False,92.2,True,NC_009498.1,,404.0,652648.6199999999,5977,6275,299,323.68806147004005,321.7586936723964,1020.0802675585285,1014.0,-0.9493439589150746,-0.9517673394090308,0.0,0.0,popphyl,gene-RF_8gene-RF_9,331,192,10444.688885634707,1094.0800419703646
7,ND5_ND4,Reticulitermes_flavipes,0.9057613627582706,31424.247616913868,26011.574053806216,14777.819287092272,12232.411907710051,ND4,ND5,False,False,97.0,False,NC_009498.1,gene,81.0,505452.4,8107,8405,299,345.07241852313257,385.2219468622181,1087.4715719063545,1214.0,-0.9224841586107541,-0.8720543836671815,0.0,0.0,popphyl,gene-RF_10,284,176,4888.148822060298,512.0330655087893
8,ND4_ND4L,Reticulitermes_flavipes,0.7369620173913576,26011.574053806216,15177.328278461982,12232.411907710051,7137.412398674747,ND4L,ND4,False,False,98.4,False,NC_009498.1,gene,1.0,401913.27,9521,9809,289,494.7059404360921,509.6099231142688,1559.0311418685121,1606.0,-0.7345371229605592,-0.7158169904131569,0.0,0.0,popphyl,gene-RF_11,1423,96,44902.69572283441,4703.552567141478
9,ND4L_ND6,Reticulitermes_flavipes,0.43373206718325164,15177.328278461982,54807.48228455119,7137.412398674747,25774.20718724438,ND6,ND4L,False,True,95.6,True,NC_009498.1,gene,139.0,428655.25,9810,10108,299,791.39207356915,261.4686031420657,2494.016722408027,824.0,-0.36188480195649175,-1.0274946473637874,0.0,0.0,popphyl,gene-RF_12gene-RF_13,115,192,3628.8194013534485,380.11844358486996
10,ND6_CYTB,Reticulitermes_flavipes,0.9613666730331517,54807.48228455119,50730.210107059436,25774.20718724438,23856.79639804122,CYTB,ND6,True,True,96.0,False,NC_009498.1,gene,1.0,866124.6799999999,10439,10737,299,1279.5826181026473,1298.1408439978045,4032.515050167224,4091.0,0.25130644359139787,0.27461648467931954,0.0,0.0,popphyl,gene-RF_14,244,96,7699.408121132534,806.512175953985
11,CYTB_ND1,Reticulitermes_flavipes,0.611317270602573,50730.210107059436,22332.137444525848,23856.79639804122,10502.090470801877,ND1,CYTB,True,False,93.4,True,NC_009498.1,gene,97.0,691100.2699999999,11571,11869,299,321.56766715777803,396.9626487023351,1013.3979933110368,1251.0,-0.9520072780717987,-0.8573074868549393,0.0,0.0,popphyl,gene-RF_15gene-RF_16,290,192,9150.935881673913,958.5595533879329
