,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND2_COX1,Mesobuthus_martensii,0.15284139292734866,6405.5517766480125,77414.04256181528,2709.356454133119,32743.820231072586,COX1,ND2,True,True,95.7,False,NC_009738.1,gene,184.0,696941.5599999999,1031,1329,299,1498.6805477282549,1024.6736578334853,4708.086956521739,3219.0,-0.5504576657918094,-1.1751732817595053,0.0,0.0,MM_transcriptome,gene-MM_0,1120,461,6190.668327941477,773.3599761000833
1,COX1_COX2,Mesobuthus_martensii,0.6903224741901441,77414.04256181528,146869.66673689766,32743.820231072586,62121.467964813535,COX2,COX1,True,True,97.9,False,NC_009738.1,gene,1.0,1935189.44,2747,3045,299,2321.3612237556376,2338.3823207346327,7292.528428093646,7346.0,0.5337912686134724,0.5562241600130897,0.0,0.0,MM_transcriptome,gene-MM_1,3369,278,30879.95470240512,3857.6321271866136
2,COX2_ATP8,Mesobuthus_martensii,0.23855898107915485,146869.66673689766,19891.144620700947,62121.467964813535,8413.358120788282,ATP8,COX2,True,True,97.7,False,NC_009738.1,gene,64.0,1989954.41,3424,3638,215,2142.193259565102,2292.2258496610525,6729.674418604651,7201.0,0.2976575171909636,0.4953924107867688,0.0,0.0,MM_transcriptome,gene-MM_2,2550,215,30221.92754531397,3775.4290693706516
3,ATP8_ATP6,Mesobuthus_martensii,0.4715001661634247,19891.144620700947,64482.715870396154,8413.358120788282,27274.256537961024,ATP6,ATP8,True,True,99.5,False,NC_009738.1,gene,1.0,1732164.6000000003,3639,3937,299,2310.0305047696797,2323.102937206827,7256.933110367893,7298.0,0.5188579897064086,0.5360867533726524,0.0,0.0,MM_transcriptome,gene-MM_3,7957,278,72933.15511042965,9111.065252604301
4,ATP6_COX3,Mesobuthus_martensii,0.9194070737502278,64482.715870396154,75787.50329895072,27274.256537961024,32055.842863407142,COX3,ATP6,True,True,97.8,False,NC_009738.1,gene,1.0,2143030.22,4302,4600,299,2320.0485509651007,2322.147975736339,7288.4046822742475,7295.0,0.5320612363958259,0.5348281654576251,0.0,0.0,MM_transcriptome,gene-MM_4,3509,278,32163.182264986513,4017.937410002324
5,COX3_ND3,Mesobuthus_martensii,0.19520787311615562,75787.50329895072,8197.241725181766,32055.842863407142,3467.187612966652,ND3,COX3,True,True,96.7,False,NC_009738.1,gene,61.0,2089177.44,5091,5389,299,2188.311775803852,2226.9701491777146,6874.555183946488,6996.0,0.35843924398401245,0.40938890325990135,0.0,0.0,MM_transcriptome,gene-MM_5,1459,338,10999.147629715524,1374.0520566487214
6,ND3_ND5,Mesobuthus_martensii,0.6091492454283072,8197.241725181766,18716.49669509024,3467.187612966652,7916.517247502447,ND5,ND3,True,False,92.2,True,NC_009738.1,,357.0,2016297.95,5495,5793,299,2134.6721116688877,2142.6152192846193,6706.046822742475,6731.0,0.28774504831986936,0.29821363743248736,0.0,0.0,MM_transcriptome,gene-MM_6gene-MM_7,1753,556,16067.842265751311,2007.2511483995652
7,ND5_ND4,Mesobuthus_martensii,0.6049800357654926,18716.49669509024,43158.261441045295,7916.517247502447,18254.651318367763,ND4,ND5,False,False,97.0,False,NC_009738.1,gene,74.0,2178051.57,7509,7807,299,2328.4760593267274,2331.0609494608925,7314.879598662207,7323.0,0.5431682396682407,0.5465749859978802,0.0,0.0,MM_transcriptome,gene-MM_8,2083,351,15121.76877440493,1889.064333358248
8,ND4_ND4L,Mesobuthus_martensii,0.5242895402406244,43158.261441045295,15333.241625325238,18254.651318367763,6485.5017348867395,ND4L,ND4,False,False,98.4,False,NC_009738.1,gene,1.0,2205961.6799999997,8898,9184,287,2338.790480805642,2339.018961714958,7347.282229965157,7348.0,0.5567620930592332,0.5570632186231079,0.0,0.0,MM_transcriptome,gene-MM_9,2824,278,25884.533119498974,3233.586561939745
9,ND4L_ND6,Mesobuthus_martensii,0.7920861757740867,15333.241625325238,10054.731122070849,6485.5017348867395,4252.84996672235,ND6,ND4L,False,True,95.6,True,NC_009738.1,gene,120.0,2209789.6100000003,9185,9483,299,2347.8968030777205,2349.5235378903244,7375.889632107023,7381.0,0.5687637365979271,0.5709076856884086,0.0,0.0,MM_transcriptome,gene-MM_10,1032,397,6623.836898063182,827.4729114554849
10,ND6_CYTB,Mesobuthus_martensii,0.6062152381885302,10054.731122070849,23117.41793876775,4252.84996672235,9777.975056517109,CYTB,ND6,True,True,96.0,False,NC_009738.1,gene,1.0,2224392.2,9737,10035,299,2356.371154588404,2356.844909164065,7402.511705685619,7404.0,0.5799324766242567,0.5805568597036179,0.0,0.0,MM_transcriptome,gene-MM_11,2746,278,25169.592048917915,3144.2736186567067
11,CYTB_ND1,Mesobuthus_martensii,0.6625947688686367,23117.41793876775,46661.031952227146,9777.975056517109,19736.21828132874,ND1,CYTB,True,False,93.4,True,NC_009738.1,gene,76.0,2217606.09,10842,11140,299,2346.689527372556,2351.1151403411372,7372.096989966555,7386.0,0.5671726120765884,0.5730053322134541,0.0,0.0,MM_transcriptome,gene-MM_12,758,353,5471.607545475551,683.5323839752654
