,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND1_ND2,Hippocampus_hippocampus,0.9698080275432405,21399.72240874597,22732.150706300665,21665.662060849907,23014.648774964262,ND2,ND1,True,True,99.4,False,NC_045033.1,gene,216.0,314809.2,3826,4124,299,365.4494481044791,11.67996235714989,438.04013377926424,14.0,-0.8741115985279398,-1.0248995752182677,0.0,0.0,popphyl,gene-HH_0gene-HH_1,126,388,3083.382859094233,541.8539237853041
1,ND2_COX1,Hippocampus_hippocampus,0.1652524193508832,22732.150706300665,252388.1869637108,23014.648774964262,255524.67749168328,COX1,ND2,True,True,99.5,False,NC_045033.1,gene,386.0,334373.85,5080,5378,299,27.118383695446667,25.8627737908319,32.50501672240803,31.0,-1.0183192215962562,-1.0188544030764486,0.0,0.0,popphyl,gene-HH_2gene-HH_3,846,388,20702.713482489846,3638.162059701328
2,COX1_COX2,Hippocampus_hippocampus,0.8360463502676228,252388.1869637108,181285.7604855563,255524.67749168328,183538.6435442273,COX2,COX1,True,True,99.5,False,NC_045033.1,gene,158.0,1622366.6900000004,7020,7318,299,3302.6028296659188,3725.073708905304,3958.6120401337794,4465.0,0.37779800215232334,0.5578687308544277,0.0,0.0,popphyl,gene-HH_4,12279,351,166078.92363321822,29185.6446445754
3,COX2_ATP8,Hippocampus_hippocampus,0.4012866900873425,181285.7604855563,45503.82006214112,183538.6435442273,46069.3073075168,ATP8,COX2,True,True,99.5,False,NC_045033.1,gene,77.0,921298.1399999999,7868,8101,234,3029.199663451654,2102.8103657997353,3630.9017094017095,2520.5,0.26126474556833773,-0.13359228266126674,0.0,0.0,popphyl,gene-HH_5,719,234,14587.191069177117,2563.4593818042645
4,ATP8_ATP6,Hippocampus_hippocampus,0.6182905804019556,45503.82006214112,101688.52445832278,46069.3073075168,102952.232944857,ATP6,ATP8,True,True,99.6,False,NC_045033.1,gene,1.0,1157657.38,8102,8400,299,5854.833648624421,6097.774633457751,7017.802675585284,7309.0,1.4656411789725965,1.5691904703445971,0.0,0.0,popphyl,gene-HH_6,7766,194,190044.0578073477,33397.12358822755
5,ATP6_COX3,Hippocampus_hippocampus,0.8262099543091208,101688.52445832278,144468.09451718937,102952.232944857,146263.43531938212,COX3,ATP6,True,True,99.5,False,NC_045033.1,gene,1.0,1420727.5299999998,8785,9083,299,5833.2092558227205,6412.299334075289,6991.882943143813,7686.0,1.4564241645915017,1.7032510525484628,0.0,0.0,popphyl,gene-HH_7,1017,194,24887.304505546304,4373.535241981384
6,COX3_ND3,Hippocampus_hippocampus,0.10707479795502917,144468.09451718937,8171.951017750044,146263.43531938212,8273.505877629097,ND3,COX3,True,True,99.5,False,NC_045033.1,gene,72.0,978295.8300000001,9568,9866,299,762.2110169858186,973.6082907709945,913.6120401337793,1167.0,-0.7049990079558223,-0.6148946646584343,0.0,0.0,popphyl,gene-HH_8,1552,265,27803.820852918965,4886.065115443835
7,ND3_ND4L,Hippocampus_hippocampus,0.6423593991079983,8171.951017750044,17271.59671922676,8273.505877629097,17486.235130653695,ND4L,ND3,True,True,99.4,False,NC_045033.1,gene,70.0,152407.77000000002,9988,10286,299,1476.9153356694796,1703.6059380928625,1770.2809364548496,2042.0,-0.4003689522615365,-0.303746098535404,0.0,0.0,popphyl,gene-HH_9,314,263,5668.035193571859,996.0641445260904
8,ND4L_ND4,Hippocampus_hippocampus,0.7362830562334153,17271.59671922676,29644.04685834688,17486.235130653695,30012.440772897822,ND4,ND4L,True,True,99.6,False,NC_045033.1,gene,1.0,645390.07,10347,10645,299,1769.5784727255552,1688.5888436336695,2121.076923076923,2024.0,-0.2756264742739117,-0.3101468690385063,0.0,0.0,popphyl,gene-HH_10,3047,194,74564.02834650895,13103.404014077949
9,ND4_ND5,Hippocampus_hippocampus,0.3812948433778969,29644.04685834688,6982.817196633661,30012.440772897822,7069.594395912618,ND5,ND4,True,True,98.9,False,NC_045033.1,gene,213.0,535876.74,11728,12026,299,75.00734545745424,35.87417009696037,89.90635451505017,43.0,-0.997907399941714,-1.014587222741047,0.0,0.0,popphyl,gene-HH_11gene-HH_12,238,388,5824.167622733551,1023.5018560389078
10,ND5_ND6,Hippocampus_hippocampus,0.7172993365670325,6982.817196633661,12486.926718237808,7069.594395912618,12642.104850171814,ND6,ND5,True,False,84.4,True,NC_045033.1,gene,1.0,217693.72000000003,13772,14070,299,1506.47239282411,1552.6007104754244,1805.7090301003345,1861.0,-0.38777078021780503,-0.3681094019277108,0.0,0.0,popphyl,gene-HH_13,1327,194,32473.405190619414,5706.667911611895
11,ND6_CYTB,Hippocampus_hippocampus,0.20405251328669716,12486.926718237808,109902.41823134846,12642.104850171814,111268.20281077275,CYTB,ND6,False,True,99.2,True,NC_045033.1,gene,74.0,309791.43,14294,14592,299,3589.085575747061,4037.929843471819,4302.0,4840.0,0.4999061979652233,0.6912181163357264,0.0,0.0,popphyl,gene-HH_14,803,267,14277.853532947442,2509.0983875846337
