,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND2_COX1,Sogatella_furcifera,0.08779574433951809,15738.380226119669,342784.2416735752,10544.285372857337,229656.08999115,COX1,ND2,True,True,95.7,False,NC_021417.1,gene,222.0,31419.280000000002,1154,1452,299,1090.9669537930158,57.187200972448395,1640.6321070234114,86.0,-0.08871050649704475,-0.668194728438275,0.0,0.0,NL_LS_SF_transc,gene-SF_0gene-SF_1,1254,192,102389.99044217431,8686.137357007061
1,COX1_COX2,Sogatella_furcifera,0.45487014681478766,342784.2416735752,100912.11299453457,229656.08999115,67608.36259543977,COX2,COX1,True,True,97.9,False,NC_021417.1,gene,65.0,1007004.78,2910,3208,299,1539.06161042881,932.2843693415426,2314.4916387959865,1402.0,0.16246851180753,-0.1776598728737776,0.0,0.0,NL_LS_SF_transc,gene-SF_2,523,160,25621.992823568016,2173.6123625429154
2,COX2_ATP8,Sogatella_furcifera,0.0595031373059578,100912.11299453457,3094.3555904603772,67608.36259543977,2073.1338245826028,ATP8,COX2,True,True,97.7,False,NC_021417.1,gene,133.0,365472.57,3639,3865,227,108.68556144246398,93.7604108966887,163.44493392070484,141.0,-0.6393273732141153,-0.6476936516479654,0.0,0.0,NL_LS_SF_transc,gene-SF_3gene-SF_4,180,190,14921.232955102565,1265.8256771409556
3,ATP8_ATP6,Sogatella_furcifera,0.023799517770969336,3094.3555904603772,256940.794721272,2073.1338245826028,172143.32253668152,ATP6,ATP8,True,True,99.5,False,NC_021417.1,gene,1.0,41885.03999999999,3866,4164,299,2318.5413517694574,1347.8890275715455,3486.6989966555184,2027.0,0.5994051128556048,0.05530690883428537,0.0,0.0,NL_LS_SF_transc,gene-SF_5,106,96,8654.975268636743,734.2348962063385
4,ATP6_COX3,Sogatella_furcifera,0.43703047091046576,256940.794721272,71844.62295855435,172143.32253668152,48133.93729826737,COX3,ATP6,True,True,97.8,False,NC_021417.1,gene,1.0,407792.47,4521,4819,299,1912.0394085421867,1320.6253619916577,2875.3879598662206,1986.0,0.37154084907412965,0.04002428795423644,0.0,0.0,NL_LS_SF_transc,gene-SF_6,470,96,38375.83373829498,3255.56982280169
5,COX3_ND3,Sogatella_furcifera,0.004344819787334142,71844.62295855435,156.41576888578973,48133.93729826737,104.79429777719272,ND3,COX3,True,True,96.7,False,NC_021417.1,gene,62.0,283371.04000000004,5303,5601,299,54.060297162568105,53.862363706608384,81.29765886287625,81.0,-0.6699475112882095,-0.6700584626919395,0.0,0.0,NL_LS_SF_transc,gene-SF_7,23,157,1148.3106233114968,97.41561415837009
6,ND3_ND5,Sogatella_furcifera,0.08508294028170427,156.41576888578973,3520.367576116324,104.79429777719272,2358.550232400666,ND5,ND3,True,False,92.2,True,NC_021417.1,,373.0,27698.730000000003,5714,6012,299,54.391668903444526,52.53242880027237,81.79598662207358,79.0,-0.6697617611853361,-0.6708039563934053,0.0,0.0,NL_LS_SF_transc,gene-SF_8gene-SF_9,26,192,2122.9184621184463,180.09535189966795
7,ND5_ND4,Sogatella_furcifera,0.9153420392255734,3520.367576116324,2970.8355559804413,2358.550232400666,1990.378771387225,ND4,ND5,False,False,97.0,False,NC_021417.1,gene,60.0,30297.029999999995,7762,8060,299,113.58044414964269,111.0495646790568,170.80602006688963,167.0,-0.6365835515351507,-0.6380022335289101,0.0,0.0,NL_LS_SF_transc,gene-SF_10,65,155,3287.099554247917,278.8573190704536
8,ND4_ND4L,Sogatella_furcifera,0.28176629618504057,2970.8355559804413,487.1754810331562,1990.378771387225,326.3942810421708,ND4L,ND4,False,False,98.4,False,NC_021417.1,gene,1.0,44055.67,9137,9410,274,75.0539542214368,63.171908050960454,112.86861313868613,95.0,-0.6581795375072682,-0.6648400067816789,0.0,0.0,NL_LS_SF_transc,gene-SF_11,27,96,2204.569172199925,187.0220962035013
9,ND4L_ND6,Sogatella_furcifera,0.8481012658227847,487.1754810331562,661.6861011047347,326.3942810421708,443.31163544533655,ND6,ND4L,False,True,95.6,True,NC_021417.1,gene,49.0,35144.55,9411,9709,299,67.98903013645182,59.84707078512042,102.24414715719064,90.0,-0.6621397737425924,-0.6667037410353434,0.0,0.0,NL_LS_SF_transc,gene-SF_12,2,144,108.86761344197159,9.235659071777842
10,ND6_CYTB,Sogatella_furcifera,0.01230734867098493,661.6861011047347,106865.30753395504,443.31163544533655,71596.84052022694,CYTB,ND6,True,True,96.0,False,NC_021417.1,gene,225.0,31975.91,9970,10268,299,886.1347385031166,69.15661512947247,1332.5986622073578,104.0,-0.2035290029726344,-0.6614852851250828,0.0,0.0,NL_LS_SF_transc,gene-SF_13gene-SF_14,49,192,4000.884793992456,339.4104708878357
11,CYTB_ND1,Sogatella_furcifera,0.03993861400541743,106865.30753395504,2177.509489583228,71596.84052022694,1458.8719506322022,ND1,CYTB,True,False,93.4,True,NC_021417.1,gene,73.0,639334.89,11297,11595,299,70.8935368048043,65.16681041046446,106.61204013377926,98.0,-0.6605116553912286,-0.6637217662294802,0.0,0.0,NL_LS_SF_transc,gene-SF_15,16,168,746.5207778878051,63.33023363504807
