,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND2_COX1,Reticulitermes_grassei,0.3125250256597881,16220.09839003009,87580.21875760943,14599.086198623369,78827.58366758954,COX1,ND2,True,True,95.7,False,NC_030035.1,gene,224.0,354586.24,1262,1560,299,523.0521261370667,189.8273499293537,1746.9297658862877,634.0,-0.5517804761892408,-0.9992429452524336,0.0,0.0,popphyl,gene-RG_0gene-RG_1,1182,192,36555.80261110977,3686.5130063172987
1,COX1_COX2,Reticulitermes_grassei,0.5721513467763883,87580.21875760943,35094.15371160454,78827.58366758954,31586.896872239162,COX2,COX1,True,True,97.9,False,NC_030035.1,gene,83.0,964220.49,3031,3329,299,955.1139789586094,1092.5552048773054,3189.9632107023413,3649.0,0.028402863272387918,0.2129623399132143,0.0,0.0,popphyl,gene-RG_2,192,178,3202.5159876042103,322.9614998975287
2,COX2_ATP8,Reticulitermes_grassei,0.7125170667920147,35094.15371160454,19421.75916991446,31586.896872239162,17480.77782467502,ATP8,COX2,True,True,97.7,False,NC_030035.1,gene,139.0,607229.5499999999,3798,4087,290,595.2851887494141,88.77572437547849,1988.1793103448276,296.5,-0.4547841336232552,-1.1349375667262,0.0,0.0,popphyl,gene-RG_3gene-RG_4,196,192,6061.7066935511975,611.2999570543067
3,ATP8_ATP6,Reticulitermes_grassei,0.8124725527882898,19421.75916991446,28387.263062927148,17480.77782467502,25550.28276853145,ATP6,ATP8,True,True,99.5,False,NC_030035.1,gene,1.0,811361.8299999998,4088,4386,299,1384.346937022914,1402.1474443519926,4623.548494983278,4683.0,0.6047874929045762,0.628690454295065,0.0,0.0,popphyl,gene-RG_5,4814,96,148882.93889160952,15014.275475813427
4,ATP6_COX3,Reticulitermes_grassei,0.5999448522625321,28387.263062927148,66245.64513145821,25550.28276853145,59625.15518105798,COX3,ATP6,True,True,97.8,False,NC_030035.1,gene,1.0,1216232.1500000001,4768,5066,299,1808.0032172454285,1974.623616378687,6038.508361204013,6595.0,1.1736836216375965,1.397425613577559,0.0,0.0,popphyl,gene-RG_6,121,96,3742.176071018852,377.384157161077
5,COX3_ND3,Reticulitermes_grassei,0.30599616125366047,66245.64513145821,11966.27342060812,59625.15518105798,10770.382086654505,ND3,COX3,True,True,96.7,False,NC_030035.1,gene,72.0,915852.7,5558,5856,299,504.31532974674303,559.9008586244344,1684.3511705685619,1870.0,-0.5769407096825712,-0.5022990870551729,0.0,0.0,popphyl,gene-RG_7,166,167,2951.2207585369633,297.61933629528994
6,ND3_ND5,Reticulitermes_grassei,0.9968470277347083,11966.27342060812,12041.970748612022,10770.382086654505,10838.514337764253,ND5,ND3,True,False,92.2,True,NC_030035.1,gene,401.0,344139.87,5984,6282,299,76.82577195583578,76.64952930901347,256.5886287625418,256.0,-1.1509842583189869,-1.151220921303052,0.0,0.0,popphyl,gene-RG_8gene-RG_9,175,192,5412.23811924214,545.8035330842024
7,ND5_ND4,Reticulitermes_grassei,0.5714010955509303,12041.970748612022,4816.464059240409,10838.514337764253,4335.1138989787405,ND4,ND5,False,False,97.0,False,NC_030035.1,gene,82.0,254626.91999999998,8110,8408,299,206.8848342814874,239.23036686680382,690.9698996655518,799.0,-0.9763377334879432,-0.9329033525319254,0.0,0.0,popphyl,gene-RG_10,291,177,4881.235967688408,492.2539951651422
8,ND4_ND4L,Reticulitermes_grassei,0.5541031447009239,4816.464059240409,1845.7871816949612,4335.1138989787405,1661.321992130582,ND4L,ND4,False,False,98.4,False,NC_030035.1,gene,1.0,165992.61,9525,9813,289,163.0138974525129,166.77260869187697,544.446366782007,557.0,-1.0352487122483316,-1.0302014218553373,0.0,0.0,popphyl,gene-RG_11,315,96,9742.028614635854,982.4463595515642
9,ND4L_ND6,Reticulitermes_grassei,0.2887438465979453,1845.7871816949612,10939.158391639348,1661.321992130582,9845.915385944876,ND6,ND4L,False,True,95.6,True,NC_030035.1,gene,140.0,148823.72000000003,9814,10112,299,356.62198895208354,113.77664506806688,1191.0735785953177,380.0,-0.7752669796804978,-1.101365712228246,0.0,0.0,popphyl,gene-RG_12gene-RG_13,62,192,1917.4786479600727,193.37039457840314
10,ND6_CYTB,Reticulitermes_grassei,0.5392134445615738,10939.158391639348,29635.343234646367,9845.915385944876,26673.631688592333,CYTB,ND6,True,True,96.0,False,NC_030035.1,gene,1.0,476285.12,10444,10742,299,1329.1960064902273,1380.8891764576956,4439.351170568561,4612.0,0.5307294596810642,0.6001443265183615,0.0,0.0,popphyl,gene-RG_14,527,96,16298.568507660615,1643.6483539164267
11,CYTB_ND1,Reticulitermes_grassei,0.49688062218656837,29635.343234646367,9796.445979270251,26673.631688592333,8817.403930140921,ND1,CYTB,True,False,93.4,True,NC_030035.1,gene,96.0,626719.4800000001,11576,11874,299,303.0362132886228,328.75462180194063,1012.1036789297659,1098.0,-0.8472232842443951,-0.8126879693596107,0.0,0.0,popphyl,gene-RG_15,133,191,2067.4182889000344,208.49123441792358
