,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND1_ND2,Microtus_arvalis,0.6957279137091726,93899.50650845238,50088.09775821535,97614.20298132817,52069.59997259335,ND2,ND1,True,True,99.4,False,NC_038176.1,gene,209.0,1176720.65,3682,3980,299,562.6016249448229,141.43126892806734,2175.9197324414718,547.0,-1.0317327657711963,-1.6127242269567241,0.0,0.0,popphyl,gene-MA_0gene-MA_1,28,192,991.3793965071076,75.41277288973731
1,ND2_COX1,Microtus_arvalis,0.4262845036483559,50088.09775821535,184910.34731560913,52069.59997259335,192225.46366193093,COX1,ND2,True,True,99.5,False,NC_038176.1,gene,383.0,987902.43,4926,5224,299,202.58155160248052,199.3482785073856,783.5050167224081,771.0,-1.5283693060194536,-1.532829506109738,0.0,0.0,popphyl,gene-MA_2gene-MA_3,31,192,1097.5986175614407,83.49271284220917
2,COX1_COX2,Microtus_arvalis,0.6521764907978613,184910.34731560913,89473.27346730653,192225.46366193093,93012.866652876,COX2,COX1,True,True,99.5,False,NC_038176.1,gene,142.0,1552746.47,6850,7148,299,1089.7168021754417,1021.0458519139634,4214.591973244147,3949.0,-0.30459370515767464,-0.3993231540931269,0.0,0.0,popphyl,gene-MA_4gene-MA_5,809,192,28643.783277651797,2178.8904738499104
3,COX2_ATP8,Microtus_arvalis,0.8087054366687428,89473.27346730653,60738.565352992286,93012.866652876,63141.403694469474,ATP8,COX2,True,True,99.5,False,NC_038176.1,gene,67.0,1112765.12,7676,7902,227,1296.1391181696317,1892.386576388528,5012.951541850221,7319.0,-0.01984051377686109,0.8026643872209008,0.0,0.0,popphyl,gene-MA_6,59,162,1237.9128972258063,94.16621376707937
4,ATP8_ATP6,Microtus_arvalis,0.7302271890328442,60738.565352992286,105616.69028583982,63141.403694469474,109794.92254147268,ATP6,ATP8,True,True,99.6,False,NC_038176.1,gene,1.0,1475335.46,7903,8201,299,1853.3123110568997,1922.8964296490615,7167.876254180602,7437.0,0.7487626484459382,0.844751784809938,0.0,0.0,popphyl,gene-MA_7,651,96,23049.570968790253,1753.3469696863924
5,ATP6_COX3,Microtus_arvalis,0.9331035001165069,105616.69028583982,120760.53426138901,109794.92254147268,125537.86214482148,COX3,ATP6,True,True,99.5,False,NC_038176.1,gene,1.0,2030177.0,8583,8881,299,1827.8387194989175,1885.405508269592,7069.354515050167,7292.0,0.7136226178870737,0.7930342199759516,0.0,0.0,popphyl,gene-MA_8,90,96,3186.576631629989,242.39819857415563
6,COX3_ND3,Microtus_arvalis,0.19730322766774533,120760.53426138901,13217.110914237524,125537.86214482148,13739.984325614898,ND3,COX3,True,True,99.5,False,NC_038176.1,gene,70.0,1478020.17,9367,9665,299,1113.821505980141,1467.834211525847,4307.819397993311,5677.0,-0.27134201285580956,0.21700754958362084,0.0,0.0,popphyl,gene-MA_9,120,165,2472.010962719022,188.0422388938904
7,ND3_ND4L,Microtus_arvalis,0.5254824881219398,13217.110914237524,37087.55655993511,13739.984325614898,38554.75293469317,ND4L,ND3,True,True,99.4,False,NC_038176.1,gene,71.0,812416.68,9785,10083,299,1348.5861880400023,1803.959713548676,5215.7959866220735,6977.0,0.05250859466246466,0.6806822687848778,0.0,0.0,popphyl,gene-MA_10,111,166,2272.835380632474,172.89124524807244
8,ND4L_ND4,Microtus_arvalis,0.7469536167064239,37087.55655993511,62215.94965633287,38554.75293469317,64677.233824255476,ND4,ND4L,True,True,99.6,False,NC_038176.1,gene,1.0,1766775.77,10145,10443,299,1854.5981835073976,1890.059553682216,7172.84949832776,7310.0,0.7505364696639788,0.7994543314725844,0.0,0.0,popphyl,gene-MA_11,119,96,4213.362435155208,320.50428478138355
9,ND4_ND5,Microtus_arvalis,0.5622461064885658,62215.94965633287,24330.08570773422,64677.233824255476,25292.59218858724,ND5,ND4,True,True,98.9,False,NC_038176.1,gene,202.0,1624515.79,11523,11821,299,571.9226869111314,237.61487412229232,2211.969899665552,919.0,-1.0188746494905938,-1.4800419226929795,0.0,0.0,popphyl,gene-MA_12gene-MA_13,31,192,1097.5986175614407,83.49271284220916
10,ND5_ND6,Microtus_arvalis,0.8512723225722719,24330.08570773422,18029.972617342468,25292.59218858724,18743.24447763345,ND6,ND5,True,False,84.4,True,NC_038176.1,gene,1.0,1610888.2400000002,13526,13824,299,1773.525092906296,1787.6705546044927,6859.2909698996655,6914.0,0.6386986522623965,0.6582118785466631,0.0,0.0,popphyl,gene-MA_14,49,96,1734.9139438874383,131.97235255704027
11,ND6_CYTB,Microtus_arvalis,0.38214734070799805,18029.972617342468,76331.39378096159,18743.24447763345,79351.08972816348,CYTB,ND6,False,True,99.2,True,NC_038176.1,gene,75.0,1584263.0999999999,14051,14349,299,1403.8864860959823,1818.1804078650266,5429.675585284281,7032.0,0.12879364301060026,0.7002992761357002,0.0,0.0,popphyl,gene-MA_15,1113,170,22253.551629830137,1692.7949491013974
