,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND1_CYTB,Acropora_digitifera,,-0.0,-0.0,0.0,0.0,CYTB,ND1,True,True,63.8,False,NC_022830.1,gene,110.0,734.05,4462,4760,299,276.3159617313533,208.21187640543013,6.635451505016722,5.0,-0.4386024262943738,-0.4459954747367947,0.0,0.0,AD_transc,gene-AD_1,0,307,0.0,0.0
1,CYTB_ND2,Acropora_digitifera,,-0.0,-0.0,0.0,0.0,ND2,CYTB,True,True,35.2,False,NC_022830.1,gene,524.0,1567.57,5730,6028,299,64.62228137265485,83.28475056217206,1.5518394648829432,2.0,-0.4615828631706114,-0.4595569562354689,0.0,0.0,AD_transc,gene-AD_2gene-AD_3,0,396,0.0,0.0
2,ND2_ND6,Acropora_digitifera,,-0.0,-0.0,0.0,0.0,ND6,ND2,True,True,35.2,False,NC_022830.1,gene,32.0,1874.5500000000002,7352,7650,299,167.96222270565104,166.56950112434413,4.033444816053512,4.0,-0.4503647814849741,-0.4505159685696861,0.0,0.0,AD_transc,gene-AD_4,0,229,0.0,0.0
3,ND6_ATP6,Acropora_digitifera,,-0.0,-0.0,0.0,0.0,ATP6,ND6,True,True,38.0,False,NC_022830.1,gene,68.0,1566.6999999999998,7978,8276,299,382.1628019107027,333.13900224868826,9.177257525083611,8.0,-0.4271122078562545,-0.4324339932381206,0.0,0.0,AD_transc,gene-AD_5,0,265,0.0,0.0
4,ATP6_ND4,Acropora_digitifera,,-0.0,-0.0,0.0,0.0,ND4,ATP6,True,True,34.3,False,NC_022830.1,gene,151.0,2048.9,8745,9043,299,118.5206065692439,83.28475056217206,2.8461538461538463,2.0,-0.4557319229922529,-0.4595569562354689,0.0,0.0,AD_transc,gene-AD_6,0,348,0.0,0.0
5,ND4_COX3,Acropora_digitifera,,-0.0,-0.0,0.0,0.0,COX3,ND4,True,True,23.0,False,NC_022830.1,gene,2448.0,1187.0500000000002,10372,10670,299,14728.448538798291,18322.645123677856,353.68896321070235,440.0,1.1302508330544736,1.5204193425709545,0.0,0.0,AD_transc,gene-AD_7gene-AD_8,0,396,0.0,0.0
6,COX3_COX2,Acropora_digitifera,,-0.0,-0.0,0.0,0.0,COX2,COX3,True,True,39.4,False,NC_022830.1,gene,56.0,999.3900000000001,13609,13907,299,65.04009784704733,83.28475056217206,1.5618729096989967,2.0,-0.46153750704519964,-0.4595569562354689,0.0,0.0,AD_transc,gene-AD_9,0,253,0.0,0.0
7,COX2_ND4L,Acropora_digitifera,,-0.0,-0.0,0.0,0.0,ND4L,COX2,True,True,39.0,False,NC_022830.1,gene,32.0,449.56999999999994,14409,14707,299,21.865728826523448,41.64237528108603,0.5250836120401338,1.0,-0.466224306671273,-0.4640774500683602,0.0,0.0,AD_transc,gene-AD_10,0,229,0.0,0.0
8,ND4L_ND3,Acropora_digitifera,,-0.0,-0.0,0.0,0.0,ND3,ND4L,True,True,78.4,False,NC_022830.1,gene,32.0,484.90999999999997,14741,15039,299,286.90064574928715,249.8542516865162,6.889632107023411,6.0,-0.4374534044505633,-0.44147498090390336,0.0,0.0,AD_transc,gene-AD_11,0,229,0.0,0.0
9,ND3_ATP8,Acropora_digitifera,2.0,-0.0,-96023.859493354,0.0,7986.208958016499,ATP8,ND3,True,True,21.6,False,NC_022830.1,gene,1343.0,1957.58,15130,15428,299,318.7939699612234,333.13900224868826,7.655518394648829,8.0,-0.4339912202106558,-0.4324339932381206,0.0,0.0,AD_transc,gene-AD_12gene-AD_13,13,396,8018.806675491259,2734.0953467379722
10,ND5_ND1,Acropora_digitifera,2.0,-244550.9950409731,-0.0,20339.063203590988,0.0,ND1,ND5,True,True,24.9,False,NC_022830.1,gene,-12863.0,1822.13,16341,16639,299,613.9116730402238,624.6356292162906,14.74247491638796,15.0,-0.40195467696016407,-0.400790536407881,0.0,0.0,AD_transc,gene-AD_0,7197,12995,67640.49856699379,23062.729888262886
11,ATP8_COX1,Acropora_digitifera,1.3151546612110294,-96023.859493354,-184401.08919113415,7986.208958016499,15336.455315755778,COX1,ATP8,True,True,36.2,False,NC_022830.1,gene,1.0,4553.219999999999,16672,16970,299,727.9755705492865,666.2780044973765,17.48160535117057,16.0,-0.38957245472224383,-0.3962700425749896,0.0,0.0,AD_transc,gene-AD_14,13,198,8018.806675491259,2734.0953467379722
