,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND2_COX1,Protaetia_brevitarsis,0.06830478018440922,11345.561775981885,320858.4727103652,5609.740392584538,158646.41788621765,COX1,ND2,True,True,95.7,False,NC_023453.1,gene,194.0,169506.33,1217,1515,299,1303.7379602959588,294.39855065328913,2648.230769230769,598.0,0.11313070377280003,-0.5986345712168102,0.0,0.0,PB_transcriptome,gene-PB_0,1727,431,20418.583605334883,1972.647793411256
1,COX1_COX2,Protaetia_brevitarsis,0.820159227548529,320858.4727103652,223042.84041968719,158646.41788621765,110282.10465768869,COX2,COX1,True,True,97.9,False,NC_023453.1,gene,65.0,992636.3,2942,3240,299,2366.3023201540523,3359.983458542973,4806.57525083612,6825.0,0.862429112775083,1.563152498744694,0.0,0.0,PB_transcriptome,gene-PB_1,843,302,14224.308963361682,1374.2163624926504
2,COX2_ATP8,Protaetia_brevitarsis,0.1976852620916838,223042.84041968719,24464.252241099122,110282.10465768869,12096.192914995037,ATP8,COX2,True,True,97.7,False,NC_023453.1,gene,136.0,815709.0599999999,3695,3981,287,1581.8420114516039,113.23021178972657,3213.1324041811845,230.0,0.3092439284774608,-0.7263907365846973,0.0,0.0,PB_transcriptome,gene-PB_2,247,287,4385.5655007336545,423.69129392610915
3,ATP8_ATP6,Protaetia_brevitarsis,0.7103292397602761,24464.252241099122,44417.19278953312,12096.192914995037,21961.79664229052,ATP6,ATP8,True,True,99.5,False,NC_023453.1,gene,1.0,1099532.8900000001,3982,4280,299,2815.126660595891,2803.186199698709,5718.254180602006,5694.0,1.1789307543880962,1.1705105883341491,0.0,0.0,PB_transcriptome,gene-PB_3,14701,238,314760.6734314961,30409.15863209299
4,ATP6_COX3,Protaetia_brevitarsis,0.4661133753045765,44417.19278953312,146168.16752332725,21961.79664229052,72271.91475009263,COX3,ATP6,True,True,97.8,False,NC_023453.1,gene,1.0,1128727.6199999999,4653,4951,299,3132.8002188667374,3682.4434095093684,6363.531772575251,7480.0,1.4029475770737654,1.790544586559819,0.0,0.0,PB_transcriptome,gene-PB_4,256,238,5481.173552714986,529.538440229631
5,COX3_ND3,Protaetia_brevitarsis,0.05687120907244947,146168.16752332725,4278.028535096667,72271.91475009263,2115.2438237800798,ND3,COX3,True,True,96.7,False,NC_023453.1,gene,64.0,874021.64,5441,5739,299,209.98054587400915,220.55276035564134,426.52508361204013,448.0,-0.6581644021257902,-0.6507090951439382,0.0,0.0,PB_transcriptome,gene-PB_5,82,301,1388.2187377334105,134.11638547967036
6,ND3_ND5,Protaetia_brevitarsis,0.5663252054853373,4278.028535096667,10829.999480115624,2115.2438237800798,5354.823915717154,ND5,ND3,True,False,92.2,True,NC_023453.1,,389.0,97665.69,5859,6157,299,64.97441642643871,65.96890599923199,131.97993311036788,134.0,-0.7604197253752472,-0.7597184318980592,0.0,0.0,PB_transcriptome,gene-PB_6gene-PB_7,71,476,1520.169227510797,146.86417678243672
7,ND5_ND4,Protaetia_brevitarsis,0.9183714882651534,10829.999480115624,12755.226364763335,5354.823915717154,6306.740024671863,ND4,ND5,False,False,97.0,False,NC_023453.1,gene,65.0,44782.43,7964,8262,299,385.93934002181356,325.4137825783012,783.9431438127091,661.0,-0.5340818999397428,-0.5767632711674164,0.0,0.0,PB_transcriptome,gene-PB_8,35,302,590.5703602819204,57.05524636683603
8,ND4_ND4L,Protaetia_brevitarsis,0.22053069324759822,12755.226364763335,1580.7628162381634,6306.740024671863,781.5980553840383,ND4L,ND4,False,False,98.4,False,NC_023453.1,gene,1.0,142004.65,9357,9648,292,188.15671331067978,212.4297234229001,382.19520547945206,431.5,-0.6735541174558032,-0.6564372927759221,0.0,0.0,PB_transcriptome,gene-PB_9,615,238,13167.66302703014,1272.1333622704026
9,ND4L_ND6,Protaetia_brevitarsis,0.7425556443164587,1580.7628162381634,2676.865089057192,781.5980553840383,1323.5588075835014,ND6,ND4L,False,True,95.6,True,NC_023453.1,gene,133.0,109241.85999999999,9649,9947,299,187.0776485932895,128.49167511790708,380.0033444816053,261.0,-0.6743150515756521,-0.7156286683064242,0.0,0.0,PB_transcriptome,gene-PB_10,158,370,2176.0351591669587,210.22765526177201
10,ND6_CYTB,Protaetia_brevitarsis,0.08971458526065779,2676.865089057192,56998.272042320066,1323.5588075835014,28182.43074223207,CYTB,ND6,True,True,96.0,False,NC_023453.1,gene,1.0,209240.97,10284,10582,299,2744.121093001999,3060.6618552031746,5574.023411371238,6217.0,1.1288590967658583,1.3520770950934018,0.0,0.0,PB_transcriptome,gene-PB_11,92,238,1969.796745506948,190.3028769575237
11,CYTB_ND1,Protaetia_brevitarsis,0.5485124224040392,56998.272042320066,21539.46113859212,28182.43074223207,10650.0486771364,ND1,CYTB,True,False,93.4,True,NC_023453.1,gene,85.0,573580.86,11428,11726,299,516.9419366604324,331.81375107076394,1050.0434782608695,674.0,-0.44170157838482615,-0.5722501457603987,0.0,0.0,PB_transcriptome,gene-PB_12,81,322,1281.857333914493,123.84076633767016
