,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND6_ND4L,Caenorhabditis_brenneri,0.03447046237965068,133758.15273597735,2345.782794716584,167663.65247753693,2940.400291393669,ND4L,ND6,True,True,80.6,False,NC_035244.1,gene,2.0,24026.6,549,784,236,799.2064058962741,860.0670852326483,9.292372881355933,10.0,-0.9727021109551816,-0.9661890059079314,0.0,0.0,popphyl,gene-CB_0,8,97,64082.98496715307,7093.336785423902
1,ND4L_ND1,Caenorhabditis_brenneri,0.15321046763297685,2345.782794716584,28275.921204464717,2940.400291393669,35443.40385490708,ND1,ND4L,True,True,0.0,False,NC_035244.1,gene,986.0,6073.91,785,1083,299,4013.8381629887544,4386.342134686505,46.668896321070235,51.0,-0.6286830406708578,-0.588818919457615,0.0,0.0,popphyl,gene-CB_1gene-CB_2,2,192,16187.629015140226,1791.806427568017
2,ND1_ATP6,Caenorhabditis_brenneri,0.7711697855250791,28275.921204464717,45056.62302951879,35443.40385490708,56477.738596943884,ATP6,ND1,True,True,81.1,False,NC_035244.1,gene,1.0,13605.199999999999,2641,2939,299,6844.293052182497,7826.610475617098,79.57859531772576,91.0,-0.32577728566057157,-0.2206529814573062,0.0,0.0,popphyl,gene-CB_3,2,96,16187.629015140226,1791.806427568017
3,ATP6_ND2,Caenorhabditis_brenneri,0.14321160347038342,45056.62302951879,3475.157020088084,56477.738596943884,4356.052375147689,ND2,ATP6,True,True,67.4,False,NC_035244.1,gene,177.0,15057.66,3242,3540,299,2094.6516771451934,2064.161004558356,24.354515050167223,24.0,-0.8340679184583268,-0.8373309276078233,0.0,0.0,popphyl,gene-CB_4gene-CB_5,2,192,16187.629015140226,1791.806427568017
4,ND2_CYTB,Caenorhabditis_brenneri,0.2285137225691859,3475.157020088084,26940.145667354947,4356.052375147689,33769.031109314215,CYTB,ND2,True,True,65.1,False,NC_035244.1,gene,439.0,7803.94,4268,4566,299,3582.654028954059,2150.1677130816197,41.65551839464883,25.0,-0.6748269153416342,-0.8281267791578156,0.0,0.0,popphyl,gene-CB_6gene-CB_7,0,192,0.0,0.0
5,CYTB_COX3,Caenorhabditis_brenneri,0.19815189070755623,26940.145667354947,244973.94580215047,33769.031109314215,307070.8265244689,COX3,CYTB,True,True,80.6,False,NC_035244.1,gene,61.0,27917.87,5820,6118,299,23124.586326429122,21071.64358819988,268.8695652173913,245.0,1.4164849015418932,1.1967858798438824,0.0,0.0,popphyl,gene-CB_8,3,156,14942.426783206365,1653.9751639089386
6,COX3_ND4,Caenorhabditis_brenneri,0.19743521496669758,244973.94580215047,26832.036247614877,307070.8265244689,33633.517723325516,ND4,COX3,True,True,72.0,False,NC_035244.1,gene,60.0,59969.15,6649,6947,299,8904.714634631106,8686.677560849746,103.5351170568562,101.0,-0.1052779032277781,-0.12861149695722898,0.0,0.0,popphyl,gene-CB_9,17,155,85220.0340409963,9432.993838035496
7,ND4_COX1,Caenorhabditis_brenneri,0.4345554414325905,26832.036247614877,96659.85311480213,33633.517723325516,121161.54185501755,COX1,ND4,True,True,69.7,False,NC_035244.1,gene,112.0,32830.42,7939,8237,299,8170.349661855583,7310.570224477508,94.99665551839465,85.0,-0.18386717076245887,-0.2758778721573525,0.0,0.0,popphyl,gene-CB_10gene-CB_11,0,192,0.0,0.0
8,COX1_COX2,Caenorhabditis_brenneri,0.8061599639855942,96659.85311480213,143143.30614139087,121161.54185501755,179427.78847094902,COX2,COX1,True,True,72.6,False,NC_035244.1,gene,229.0,35052.729999999996,9627,9925,299,6914.479128703151,6278.489722198331,80.39464882943143,73.0,-0.31826620799568284,-0.3863276535574451,0.0,0.0,popphyl,gene-CB_12gene-CB_13,5,192,40469.072537850574,4479.516068920042
9,COX2_ND3,Caenorhabditis_brenneri,0.2025730580485432,143143.30614139087,16132.492835986148,179427.78847094902,20221.815396839047,ND3,COX2,True,True,2.9,False,NC_035244.1,gene,1012.0,35150.479999999996,10552,10850,299,5309.116452220374,5676.442762535477,61.72909698996656,66.0,-0.4900667180274329,-0.4507566927074992,0.0,0.0,popphyl,gene-CB_14gene-CB_15,3,192,24281.443522710342,2687.7096413520253
10,ND3_ND5,Caenorhabditis_brenneri,0.6215281916795803,16132.492835986148,35779.851775094714,20221.815396839047,44849.457853672175,ND5,ND3,True,True,79.4,False,NC_035244.1,gene,1.0,16189.39,11900,12198,299,6008.388386735623,6192.483013675067,69.85953177257525,72.0,-0.4152329893251956,-0.3955318020074529,0.0,0.0,popphyl,gene-CB_16,0,96,0.0,0.0
