,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,COX1_COX2,Trialeurodes_vaporariorum,0.6753850665593313,233628.8706817079,119120.99614164155,88574.2317870119,45161.587658933146,COX2,COX1,True,True,97.9,False,NC_006280.1,gene,74.0,1335060.0,1538,1836,299,607.2709271057793,712.042653470776,5625.4481605351175,6596.0,0.5037428161816253,0.854009144297379,0,0,TV_transc2,gene-TV_0,13055,359,35021.457299216156,3925.615778390627
1,COX2_ATP8,Trialeurodes_vaporariorum,0.0503197151616257,119120.99614164155,3074.419248237631,45161.587658933146,1165.5850679295856,ATP8,COX2,True,True,97.7,False,NC_006280.1,gene,141.0,1185606.91,2276,2569,294,359.1504275988662,125.4926598938413,3326.986394557823,1162.5,-0.32575822677883925,-1.1069083630727243,0,0,TV_transc2,gene-TV_1,1347,294,4412.371304698294,494.5903383132303
2,ATP8_ATP6,Trialeurodes_vaporariorum,0.036809030260774644,3074.419248237631,163972.59212135346,1165.5850679295856,62165.888740098526,ATP6,ATP8,True,True,99.5,False,NC_006280.1,gene,1.0,1192553.13,2570,2868,299,688.5133777116038,715.2811737261011,6378.036789297659,6626.0,0.7753475310041398,0.8648359640675277,0,0,TV_transc2,gene-TV_2,60593,286,204036.66124898536,22870.822591014447
3,ATP6_COX3,Trialeurodes_vaporariorum,0.2305527053384674,163972.59212135346,21365.04705678191,62165.888740098526,8099.994767881153,COX3,ATP6,True,True,97.8,False,NC_006280.1,gene,36.0,1416555.8399999999,3225,3523,299,250.76508596875865,184.8115559038764,2322.959866220736,1712.0,-0.6881053690039645,-0.9085971142828336,0,0,TV_transc2,gene-TV_3,4150,321,12450.731009170922,1395.623993727777
4,COX3_ND3,Trialeurodes_vaporariorum,0.32995794914212917,21365.04705678191,4221.1913805161985,8099.994767881153,1600.3535122359015,ND3,COX3,True,True,96.7,False,NC_006280.1,gene,49.0,873941.7499999999,4050,4348,299,350.0822344053885,365.6289368261854,3242.983277591973,3387.0,-0.35607444702950475,-0.3040996771161964,0,0,TV_transc2,gene-TV_4,7618,334,21965.762711019674,2462.180369767003
5,ND3_ND5,Trialeurodes_vaporariorum,0.2086556878669299,4221.1913805161985,36239.64075561287,1600.3535122359015,13739.305124403094,ND5,ND3,True,False,92.2,True,NC_006280.1,,405.0,824973.0,4453,4751,299,231.37151249774084,231.44624758055545,2143.3076923076924,2144.0,-0.7529407592796955,-0.7526909095926919,0,0,TV_transc2,gene-TV_5gene-TV_6,1728,572,5818.747225558178,652.2334500234838
6,ND5_ND4,Trialeurodes_vaporariorum,0.904815873545187,36239.64075561287,43864.26063511144,13739.305124403094,16629.978894832107,ND4,ND5,False,False,97.0,False,NC_006280.1,gene,58.0,1160216.0,6541,6839,299,607.9987818253711,713.6619135984386,5632.190635451505,6611.0,0.5061761348724417,0.8594225541824534,0,0,TV_transc2,gene-TV_7,1021,343,2866.707669167647,321.3342255283538
7,ND4_ND4L,Trialeurodes_vaporariorum,0.5258979594269123,43864.26063511144,15648.933740575469,16629.978894832107,5932.880984755142,ND4L,ND4,False,False,98.4,False,NC_006280.1,gene,1.0,1686967.9000000001,7872,8166,295,596.0622777325339,657.3116611557848,5521.6169491525425,6089.0,0.4662707557764474,0.6710358901818655,0,0,TV_transc2,gene-TV_8,12250,286,41249.799486740565,4623.761436798424
8,ND4L_ND6,Trialeurodes_vaporariorum,0.8508122848733767,15648.933740575469,21136.93317460299,5932.880984755142,8013.511398702531,ND6,ND4L,False,True,95.6,True,NC_006280.1,gene,167.0,1493465.25,8167,8465,299,447.9238162552278,343.4990484147983,4149.337792642141,3182.0,-0.028976547619214095,-0.37808294554554606,0,0,TV_transc2,gene-TV_9,2928,452,6238.560969585053,699.2910993798979
9,ND6_CYTB,Trialeurodes_vaporariorum,0.997985312428226,21136.93317460299,21051.935784643592,8013.511398702531,7981.286877402629,CYTB,ND6,True,True,96.0,False,NC_006280.1,gene,59.0,1486538.57,8733,9031,299,550.8275265888918,602.0409154649058,5102.585284280936,5577.0,0.31504474532477256,0.4862581661046606,0,0,TV_transc2,gene-TV_10,6336,344,17738.157724424447,1988.3008079204267
10,CYTB_ND1,Trialeurodes_vaporariorum,0.638505755571622,21051.935784643592,44889.32034638958,7981.286877402629,17018.603281010706,ND1,CYTB,True,False,93.4,True,NC_006280.1,gene,66.0,1193528.8900000001,9923,10221,299,595.0782774354807,711.6108507700661,5512.501672240803,6592.0,0.4629811071004999,0.8525655683280259,0,0,TV_transc2,gene-TV_11,1788,351,4905.826493153218,549.9025846648613
11,ND1_ND2,Trialeurodes_vaporariorum,0.7624305816846916,44889.32034638958,27655.006754868282,17018.603281010706,10484.667289747205,ND2,ND1,False,True,2.0,True,NC_006280.1,,6025.0,1223803.96,10922,11220,299,608.9728651753002,691.1002224863415,5641.214046822743,6402.0,0.5094326298267181,0.7839957097837505,0,0,TV_transc2,gene-TV_12gene-TV_13,2818,572,9489.137547235501,1063.6538554202416
