,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND1_CYTB,Stylophora_pistillata,,0.0,0.0,0.0,0.0,CYTB,ND1,True,True,63.8,False,NC_011162.1,gene,51.0,33431.850000000006,3822,4120,299,1009.1899298956422,1008.6501839777936,125.06688963210702,125.0,-0.7631750233478898,-0.7632422874257085,0.0,0.0,SP_coral_transc,gene-SP_1,0,146,0.0,0.0
1,CYTB_ND2,Stylophora_pistillata,,0.0,0.0,0.0,0.0,ND2,CYTB,True,True,35.2,False,NC_011162.1,gene,220.0,185302.06,5013,5311,299,12958.058071911004,13943.580143309018,1605.8662207357859,1728.0,0.7259137681995734,0.8487312478888175,0.0,0.0,SP_coral_transc,gene-SP_2gene-SP_3,0,192,0.0,0.0
2,ND2_ND6,Stylophora_pistillata,,0.0,0.0,0.0,0.0,ND6,ND2,True,True,35.2,False,NC_011162.1,gene,1.0,579076.9299999999,6325,6623,299,13267.062609878776,13144.729197598606,1644.160535117057,1629.0,0.7644224527508049,0.7491770495131855,0.0,0.0,SP_coral_transc,gene-SP_4,0,96,0.0,0.0
3,ND6_ATP6,Stylophora_pistillata,,0.0,0.0,0.0,0.0,ATP6,ND6,True,True,38.0,False,NC_011162.1,gene,1.0,504686.98000000004,6888,7186,299,12722.324042291051,12902.653153443936,1576.6521739130435,1599.0,0.6965361822122363,0.7190091106114789,0.0,0.0,SP_coral_transc,gene-SP_5,0,96,0.0,0.0
4,ATP6_ND4,Stylophora_pistillata,,0.0,0.0,0.0,0.0,ND4,ATP6,True,True,34.3,False,NC_011162.1,gene,1105.0,458456.77999999997,7567,7865,299,11473.999683492932,11425.989284100448,1421.9498327759197,1416.0,0.5409678230330456,0.5349846833110682,0.0,0.0,SP_coral_transc,gene-SP_6gene-SP_7,0,192,0.0,0.0
5,ND4_COX3,Stylophora_pistillata,,0.0,0.0,0.0,0.0,COX3,ND4,True,True,23.0,False,NC_011162.1,gene,914.0,356517.44999999995,10118,10416,299,9818.733889933712,9771.802982376865,1216.8160535117056,1211.0,0.3346857123824126,0.32883710081607265,0.0,0.0,SP_coral_transc,gene-SP_8gene-SP_9,0,192,0.0,0.0
6,COX3_COX2,Stylophora_pistillata,,0.0,0.0,0.0,0.0,COX2,COX3,True,True,39.4,False,NC_011162.1,gene,1.0,193971.96000000002,11786,12084,299,4150.781044727883,4163.707959460332,514.3979933110368,516.0,-0.37166445840389006,-0.3700534837401317,0.0,0.0,SP_coral_transc,gene-SP_10,0,96,0.0,0.0
7,COX2_ND4L,Stylophora_pistillata,,0.0,0.0,0.0,0.0,ND4L,COX2,True,True,39.0,False,NC_011162.1,gene,1.0,154641.06999999998,12604,12902,299,4133.509175356756,3840.939900587438,512.257525083612,476.0,-0.37381690889409047,-0.41027740227574055,0.0,0.0,SP_coral_transc,gene-SP_11,0,96,0.0,0.0
8,ND4L_ND3,Stylophora_pistillata,,0.0,0.0,0.0,0.0,ND3,ND4L,True,True,78.4,False,NC_011162.1,gene,1.0,144540.11,12903,13201,299,3558.8416966243644,3687.625072622813,441.04013377926424,457.0,-0.4454329725477072,-0.4293837635801548,0.0,0.0,SP_coral_transc,gene-SP_12,0,96,0.0,0.0
9,ND3_ATP8,Stylophora_pistillata,0.0,0.0,9842.95007629153,0.0,3111.0174349194604,ATP8,ND3,True,True,21.6,False,NC_011162.1,gene,1265.0,131582.91,13249,13547,299,3191.328701161905,3195.40378284165,395.494983277592,396.0,-0.4912330831344897,-0.4907252393469583,0.0,0.0,SP_coral_transc,gene-SP_13gene-SP_14,4,192,1653.4061010966107,336.2167279925978
10,ND5_ND1,Stylophora_pistillata,0.0,13352.873610304005,0.0,4220.383349092723,0.0,ND1,ND5,True,True,24.9,False,NC_011162.1,gene,-11587.0,61613.82999999999,14431,14729,299,2382.5734178589805,2372.3452327157706,295.2675585284281,294.0,-0.592021577338096,-0.593296231612761,0.0,0.0,SP_coral_transc,gene-SP_0,38366,11670,130456.7166574243,26528.104855864287
11,ATP8_COX1,Stylophora_pistillata,0.8033537945071074,9842.95007629153,14661.69568151088,3111.0174349194604,4634.056917603402,COX1,ATP8,True,True,36.2,False,NC_011162.1,gene,851.0,85138.64,14742,15040,299,1589.875575612032,1767.1551223290946,197.03010033444815,219.0,-0.6908089652265943,-0.6687160788670277,0.0,0.0,SP_coral_transc,gene-SP_15gene-SP_16,5,192,2066.757626370764,420.2709099907473
