,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,COX1_COX2,Pomacea_canaliculata,0.9180017307034902,143910.10539980323,169618.9448984373,110361.03416172836,130076.49546505268,COX2,COX1,True,True,60.9,False,NC_024586.1,gene,27.0,1055100.74,1538,1836,299,3611.413217993333,4277.8111768771505,6181.3779264214045,7322.0,0.9119675333839152,1.3518311252429422,0,0,PC_random2,gene-PC_0,2467,314,27368.232766814745,4590.197665075296
1,COX2_ATP8,Pomacea_canaliculata,0.00944667626017992,169618.9448984373,804.9697744536629,130076.49546505268,617.3110396301672,ATP8,COX2,True,True,55.0,False,NC_024586.1,gene,85.0,1072800.12,2252,2495,244,111.88211422725686,115.97179986480667,191.5,198.5,-1.3979379826882055,-1.3952385389247208,0,0,PC_random2,gene-PC_1,900,244,12848.722115368515,2154.9865771632744
2,ATP8_ATP6,Pomacea_canaliculata,0.01606633725968898,804.9697744536629,99400.79105858553,617.3110396301672,76227.96236055273,ATP6,ATP8,True,True,74.1,False,NC_024586.1,gene,12.0,163311.2,2496,2794,299,3258.195686541535,3777.116806679976,5576.802675585284,6465.0,0.678822263323066,1.0213420816279093,0,0,PC_random2,gene-PC_2,348,299,4054.294657228433,679.985954069446
3,ATP6_ND1,Pomacea_canaliculata,0.5368957639149982,99400.79105858553,36475.77686737959,76227.96236055273,27972.354309330967,ND1,ATP6,True,True,2.9,False,NC_024586.1,,3043.0,856580.6500000001,3207,3505,299,48.31222044358321,47.90774603986976,82.6923076923077,82.0,-1.439898017890923,-1.440164995845551,0,0,PC_random2,gene-PC_3gene-PC_4,319,576,3858.38400683574,647.1278364972245
4,ND1_ND6,Pomacea_canaliculata,0.42331566711416935,36475.77686737959,9793.189096932858,27972.354309330967,7510.149988955193,ND6,ND1,True,True,57.8,False,NC_024586.1,gene,57.0,272965.22,7210,7508,299,800.4099033490435,797.4886993222223,1370.0,1365.0,-0.9434673433646159,-0.9453955174813884,0,0,PC_random2,gene-PC_5,728,344,7371.912812652263,1236.4165880964688
5,ND6_CYTB,Pomacea_canaliculata,0.38196656050955413,9793.189096932858,41484.540994771865,7510.149988955193,31813.449327887847,CYTB,ND6,True,True,48.9,False,NC_024586.1,gene,18.0,296803.68,7762,8060,299,2070.512288541051,2347.4795559536183,3543.936454849498,4018.0,-0.10512174261424576,0.07769366887880115,0,0,PC_random2,gene-PC_6,136,305,1553.2677401689941,260.513932883738
6,CYTB_ND4L,Pomacea_canaliculata,0.2866763574806336,41484.540994771865,6941.2671424119435,31813.449327887847,5323.082893318863,ND4L,CYTB,True,True,58.9,False,NC_024586.1,gene,172.0,605164.4400000001,8920,9218,299,332.8101368992079,106.91606738166055,569.6454849498327,183.0,-1.252111915397174,-1.4012158786867197,0,0,PC_random2,gene-PC_7,1061,459,8052.1146843743945,1350.4999879988793
7,ND4L_ND4,Pomacea_canaliculata,0.44655616673671894,6941.2671424119435,24146.724288257887,5323.082893318863,18517.514504397743,ND4,ND4L,True,True,60.5,False,NC_024586.1,gene,20.0,439417.43,9389,9687,299,987.601438980805,904.4047667038827,1690.4013377926422,1548.0,-0.8199094300623189,-0.8748243448074665,0,0,PC_random2,gene-PC_8,3314,307,37602.90366283325,6306.755794713927
8,ND4_ND5,Pomacea_canaliculata,0.6674333128388317,24146.724288257887,12094.200118608125,18517.514504397743,9274.737369835291,ND5,ND4,True,True,47.9,False,NC_024586.1,gene,68.0,573386.36,10750,11048,299,153.67877960232144,139.04931167669517,263.04013377926424,238.0,-1.3703496158354613,-1.3800059634022075,0,0,PC_random2,gene-PC_9,309,355,3032.057128670813,508.5363629790367
9,ND5_COX3,Pomacea_canaliculata,0.08650711745080786,12094.200118608125,267517.4775097784,9274.737369835291,205152.41367029407,COX3,ND5,True,True,27.5,False,NC_024586.1,,428.0,122804.19,12528,12826,299,75.14821783780678,71.27737825444038,128.62541806020067,122.0,-1.4221846109880625,-1.42473960291136,0,0,PC_random2,gene-PC_10gene-PC_11,591,576,7148.291373165901,1198.9108193412533
10,COX3_ND3,Pomacea_canaliculata,0.3194422749451571,267517.4775097784,50850.01861541218,205152.41367029407,38995.598161431815,ND3,COX3,True,True,44.2,False,NC_024586.1,,461.0,1232805.42,13736,14034,299,107.38893117730645,56.087117314969476,183.80936454849498,96.0,-1.400903759532033,-1.4347661083185839,0,0,PC_random2,gene-PC_12gene-PC_13,28903,576,349588.9434155906,58633.02776890057
11,ND3_ND2,Pomacea_canaliculata,0.6646320786707358,50850.01861541218,25308.79545104313,38995.598161431815,19408.67760193153,ND2,ND3,True,True,50.1,False,NC_024586.1,gene,91.0,829143.58,14551,14849,299,1281.8809924653717,1523.11577958464,2194.096989966555,2607.0,-0.6256668462116682,-0.4664370668747712,0,0,PC_random2,gene-PC_14,743,378,6847.062109757169,1148.388672977908
