,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,COX3_ND3,Callistoctopus_minor,0.1739533303476286,200388.09210965058,19089.42228246397,176918.80006123343,16853.684510493167,ND3,COX3,True,True,44.2,False,NC_015896.1,,338.0,417505.18,782,1080,299,661.5107600640181,693.2394449042698,157.44816053511707,165.0,-0.563911748390968,-0.5606247858097619,0.0,0.0,OM_cdna,gene-CM_0gene-CM_1,1,288,394.94897723411276,29.17674431415277
1,ND3_ND2,Callistoctopus_minor,0.04644802717187524,19089.42228246397,453.87377310861984,16853.684510493167,400.7164421411965,ND2,ND3,True,True,50.1,False,NC_015896.1,gene,67.0,107237.47,1471,1769,299,81.03601659598502,84.02902362475999,19.287625418060202,20.0,-0.6240465686875295,-0.6237365053439526,0.0,0.0,OM_cdna,gene-CM_2,10,210,2708.221558176773,200.06910386847613
2,ND2_COX1,Callistoctopus_minor,0.002527323446868901,453.87377310861984,358719.6017635953,400.7164421411965,316706.6507511421,COX1,ND2,True,True,67.2,False,NC_015896.1,gene,1.0,260086.24,2546,2844,299,27308.533370770747,32573.85100813821,6499.785953177257,7753.0,2.196611313404403,2.742076785400162,0.0,0.0,OM_cdna,gene-CM_3,0,144,0.0,0.0
3,COX1_COX2,Callistoctopus_minor,0.7937503784802893,358719.6017635953,236048.83648330305,316706.6507511421,208402.98675843855,COX2,COX1,True,True,60.9,False,NC_015896.1,gene,5.0,958095.3500000001,4080,4378,299,24752.547523225578,28670.70286076811,5891.428093645485,6824.0,1.9318215850789553,2.337726527143175,0.0,0.0,OM_cdna,gene-CM_4,2,148,768.5493611042195,56.77636731402702
4,COX2_ATP8,Callistoctopus_minor,0.0012914876301990397,236048.83648330305,152.52556866315314,208402.98675843855,134.66189683455127,ATP8,COX2,True,True,55.0,False,NC_015896.1,gene,74.0,711971.8899999999,4772,4989,218,232.21690496668165,210.0725590619,55.27064220183486,50.0,-0.6083848441133813,-0.6106789081989477,0.0,0.0,OM_cdna,gene-CM_5,2,217,524.1719144858272,38.72305236164055
5,ATP8_ATP6,Callistoctopus_minor,0.005402808080761545,152.52556866315314,56309.064916576375,134.66189683455127,49714.19255870553,ATP6,ATP8,True,True,74.1,False,NC_015896.1,gene,1.0,18285.08,4990,5288,299,2922.6081310558257,2546.079415830228,695.61872909699,606.0,-0.32967126573832783,-0.3686781077781889,0.0,0.0,OM_cdna,gene-CM_6,0,144,0.0,0.0
6,ATP6_ND5,Callistoctopus_minor,0.6812955412454924,56309.064916576375,29091.5182736242,49714.19255870553,25684.34307020966,ND5,ATP6,True,False,18.1,True,NC_015896.1,gene,86.0,64819.03,5696,5994,299,954.5163120077459,285.6986803241839,227.18729096989966,68.0,-0.5335575660422898,-0.6028443499119447,0.0,0.0,OM_cdna,gene-CM_7,0,229,0.0,0.0
7,ND5_ND4,Callistoctopus_minor,0.2431266226496166,29091.5182736242,4025.8579114465474,25684.34307020966,3554.352673413397,ND4,ND5,False,False,47.9,False,NC_015896.1,gene,67.0,40985.09,7478,7776,299,316.3313344215044,273.09432678047,75.29096989966555,65.0,-0.5996709316537396,-0.6041501096264452,0.0,0.0,OM_cdna,gene-CM_8,1,210,270.82215581767736,20.00691038684761
8,ND4_ND4L,Callistoctopus_minor,0.2864384719019021,4025.8579114465474,672.9612968895485,3554.352673413397,594.1446114882019,ND4L,ND4,False,False,60.5,False,NC_015896.1,gene,1.0,25062.35,8884,9181,298,446.4817315686077,457.958178754942,106.26845637583892,109.0,-0.5861878803547146,-0.5849989671471046,0.0,0.0,OM_cdna,gene-CM_9,0,144,0.0,0.0
9,ND4L_CYTB,Callistoctopus_minor,0.03750334851325998,672.9612968895485,35215.103292948814,594.1446114882019,31090.7387411612,CYTB,ND4L,False,False,58.9,False,NC_015896.1,gene,133.0,30070.840000000004,9182,9480,299,976.9146838568879,794.0742732539819,232.51839464882943,189.0,-0.5312371859030323,-0.5501787080937579,0.0,0.0,OM_cdna,gene-CM_10,1,276,206.06033594823276,15.222649207384055
10,CYTB_ND6,Callistoctopus_minor,0.22491349480968847,35215.103292948814,4461.952658950627,31090.7387411612,3939.3723551178905,ND6,CYTB,False,False,48.9,False,NC_015896.1,gene,1.0,136456.29,10446,10744,299,1083.5809578260435,1113.3845630280698,257.90635451505017,265.0,-0.5201869941608115,-0.5170994619930788,0.0,0.0,OM_cdna,gene-CM_11,0,144,0.0,0.0
11,ND6_ND1,Callistoctopus_minor,0.21139646319555294,4461.952658950627,37752.118395048834,3939.3723551178905,33330.620676636485,ND1,ND6,False,False,57.8,False,NC_015896.1,gene,68.0,74394.16,10960,11258,299,1800.862820693853,878.1032968787421,428.628762541806,209.0,-0.44587951323952607,-0.5414736433304214,0.0,0.0,OM_cdna,gene-CM_12,2,211,539.0772769830544,39.82418181268246
