,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND1_CYTB,Orbicella_faveolata,,0.0,0.0,0.0,0.0,CYTB,ND1,True,True,63.8,False,NC_007226.1,gene,2.0,305549.68,3815,4113,299,16124.667752433434,16071.65344415061,1024.3678929765886,1021.0,0.05197689131442286,0.04530675304939695,0.0,0.0,OF_cdna,gene-OF_1,0,37,0.0,0.0
1,CYTB_ND2,Orbicella_faveolata,,0.0,0.0,0.0,0.0,ND2,CYTB,True,True,35.2,False,NC_007226.1,gene,25.0,320902.75,4957,5255,299,19061.88154360812,18495.781387734543,1210.963210702341,1175.0,0.4215303710386798,0.3503049522066789,0.0,0.0,OF_cdna,gene-OF_2,0,60,0.0,0.0
2,ND2_ND6,Orbicella_faveolata,,0.0,0.0,0.0,0.0,ND6,ND2,True,True,35.2,False,NC_007226.1,gene,1.0,518543.98,6269,6567,299,25741.052637785553,26633.92519833774,1635.2775919732442,1692.0,1.2618883071696023,1.374227477948983,0.0,0.0,OF_cdna,gene-OF_3,0,36,0.0,0.0
3,ND6_ATP6,Orbicella_faveolata,,0.0,0.0,0.0,0.0,ATP6,ND6,True,True,38.0,False,NC_007226.1,gene,1.0,492790.38,6829,7127,299,21007.511922165162,20258.783528522858,1334.5652173913043,1287.0,0.6663251077423179,0.5721218243210658,0.0,0.0,OF_cdna,gene-OF_4,0,36,0.0,0.0
4,ATP6_ND4,Orbicella_faveolata,,0.0,0.0,0.0,0.0,ND4,ATP6,True,True,34.3,False,NC_007226.1,gene,1.0,398537.93,7506,7804,299,20774.659602865486,20778.2395164337,1319.772575250836,1320.0,0.6370281647967235,0.6374785812833406,0.0,0.0,OF_cdna,gene-OF_5,0,36,0.0,0.0
5,ND4_COX3,Orbicella_faveolata,,0.0,0.0,0.0,0.0,COX3,ND4,True,True,23.0,False,NC_007226.1,gene,1178.0,399665.55000000005,8947,9245,299,23084.125020689837,20841.20387860471,1466.4882943143812,1324.0,0.9275997888385907,0.645400612430283,0.0,0.0,OF_cdna,gene-OF_6gene-OF_7,0,70,0.0,0.0
6,COX3_COX2,Orbicella_faveolata,,0.0,0.0,0.0,0.0,COX2,COX3,True,True,39.4,False,NC_007226.1,gene,2.0,320477.69000000006,10905,11203,299,17193.271952556464,17189.27087268606,1092.2541806020067,1092.0,0.18642621256913583,0.1859228059076244,0.0,0.0,OF_cdna,gene-OF_8,0,37,0.0,0.0
7,COX2_ND4L,Orbicella_faveolata,,0.0,0.0,0.0,0.0,ND4L,COX2,True,True,39.0,False,NC_007226.1,gene,1.0,325569.04000000004,11595,11893,299,16808.325952393887,16811.48469965999,1067.799331103679,1068.0,0.13799319271425065,0.13839061902597002,0.0,0.0,OF_cdna,gene-OF_9,0,36,0.0,0.0
8,ND4L_ND3,Orbicella_faveolata,,0.0,0.0,0.0,0.0,ND3,ND4L,True,True,78.4,False,NC_007226.1,gene,2.0,321323.9,11896,12194,299,16242.38373388356,15898.501448180332,1031.8461538461538,1010.0,0.06678764519783703,0.02352116739530538,0.0,0.0,OF_cdna,gene-OF_10,0,37,0.0,0.0
9,ND3_ATP8,Orbicella_faveolata,0.0,0.0,645273.5057435355,0.0,127121.23120132186,ATP8,ND3,True,True,21.6,False,NC_007226.1,gene,1234.0,310526.65,12240,12538,299,15451.22283529994,15426.268731897746,981.5852842809364,980.0,-0.03275439834417829,-0.03589406620676254,0.0,0.0,OF_cdna,gene-OF_11gene-OF_12,0,70,0.0,0.0
10,ND5_ND1,Orbicella_faveolata,0.0,23882.80098783254,0.0,4704.998793668253,0.0,ND1,ND5,True,True,24.9,False,NC_007226.1,gene,-10534.0,257658.71,13401,13669,269,16827.16727313754,15457.750912983249,1068.996282527881,982.0,0.14036376433022646,-0.03193305063329135,0.0,0.0,OF_cdna,gene-OF_0,38189,10569,419992.3248490102,56877.33056459331
11,ATP8_COX1,Orbicella_faveolata,0.0,645273.5057435355,0.0,127121.23120132186,0.0,COX1,ATP8,True,True,36.2,False,NC_007226.1,gene,1.0,315643.77,13670,13968,299,13966.085162353254,13379.926961339881,887.2374581939799,850.0,-0.21961100257097171,-0.2933600784823902,0.0,0.0,OF_cdna,gene-OF_13,0,36,0.0,0.0
