,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,COX1_COX3,Saccostrea_glomerata,0.8548945797578615,12613.257354586376,16895.076545855307,18671.950900147203,25010.51321241228,COX3,COX1,True,True,17.3,False,NC_036483.1,gene,1380.0,993957.2600000001,1658,1956,299,236.35686516277494,224.5058121271473,1331.7759197324415,1265.0,-0.6569888149822811,-0.6820787447928153,0.0,0.0,SG_oyster_random,gene-SG_0gene-SG_1,5566,388,55914.65374697169,5091.884398760042
1,COX3_CYTB,Saccostrea_glomerata,0.9908998242003049,16895.076545855307,17205.396848597655,25010.51321241228,25469.893790579663,CYTB,COX3,True,True,7.5,False,NC_036483.1,gene,266.0,1030907.03,3869,4167,299,256.0601460161082,248.1099805168,1442.7959866220735,1398.0,-0.6152748903072961,-0.6321062295781732,0.0,0.0,SG_oyster_random,gene-SG_2gene-SG_3,677,388,6800.973874721494,619.3326873806232
2,CYTB_COX2,Saccostrea_glomerata,0.9396640827793175,17205.396848597655,19414.91707828548,25469.893790579663,28740.74223851145,COX2,CYTB,True,True,31.2,False,NC_036483.1,gene,5.0,867077.24,5245,5543,299,911.0709219448896,991.9074972163054,5133.51839464883,5589.0,0.7714520396786984,0.9425915994787052,0.0,0.0,SG_oyster_random,gene-SG_4,643,198,6328.925018877912,576.345419402546
3,COX2_ND3,Saccostrea_glomerata,0.2226643432151295,19414.91707828548,2432.297885494961,28740.74223851145,3600.635856048708,ND3,COX2,True,True,12.4,False,NC_036483.1,gene,1448.0,1123551.0799999998,5946,6244,299,211.40115676700572,207.1132669979296,1191.160535117057,1167.0,-0.7098226830056279,-0.7189005981088673,0.0,0.0,SG_oyster_random,gene-SG_5gene-SG_6,406,388,4078.5751745006296,371.41664856208706
4,ND3_ND1,Saccostrea_glomerata,0.6548569422319792,2432.297885494961,1184.1172927253285,3600.635856048708,1752.9000898204224,ND1,ND3,True,True,6.5,False,NC_036483.1,gene,389.0,575191.81,7748,8046,299,207.34950455718933,205.33851749494815,1168.3311036789298,1157.0,-0.7184004582679071,-0.7226579300798929,0.0,0.0,SG_oyster_random,gene-SG_7gene-SG_8,5840,388,58667.18970217654,5342.544895572878
5,ND1_ND4L,Saccostrea_glomerata,0.0042990994859555265,1184.1172927253285,2.550802098227888,1752.9000898204224,3.776062772300855,ND4L,ND1,True,True,24.8,False,NC_036483.1,gene,2.0,857368.6499999999,8998,9281,284,225.42943176285362,225.393186878638,1270.2042253521126,1270.0,-0.6801233445628239,-0.6802000788073024,0.0,0.0,SG_oyster_random,gene-SG_9,2,195,19.988469972290567,1.8202559004937453
6,ND4L_ND5,Saccostrea_glomerata,0.0015681350454253007,2.550802098227888,3250.743109889016,3.776062772300855,4812.215752877578,ND5,ND4L,True,True,4.3,False,NC_036483.1,gene,1226.0,382179.82,9282,9580,299,228.02919441801615,227.16793638161946,1284.8528428093646,1280.0,-0.674619372692478,-0.6764427468362767,0.0,0.0,SG_oyster_random,gene-SG_10gene-SG_11,22,388,221.0065365492952,20.126025291541666
7,ND5_ND6,Saccostrea_glomerata,0.1030584352091447,3250.743109889016,176.60876032784265,4812.215752877578,261.4415934499484,ND6,ND5,True,True,27.3,False,NC_036483.1,gene,33.0,616856.6,12179,12477,299,156.2212862669514,131.50893817092185,880.2441471571906,741.0,-0.8266442914853686,-0.8789629400745629,0.0,0.0,SG_oyster_random,gene-SG_12,989,226,8528.48755864181,776.6492294020381
8,ND6_ND4,Saccostrea_glomerata,0.37162732380102725,176.60876032784265,773.8528931451979,261.4415934499484,1145.5679384429582,ND4,ND6,True,True,14.7,False,NC_036483.1,gene,87.0,277670.56000000006,12677,12975,299,112.73636207366664,111.98669363812643,635.2240802675585,631.0,-0.9187064645720955,-0.9202935917558458,0.0,0.0,SG_oyster_random,gene-SG_13,15,280,104.40406190883915,9.507586623114653
9,ND4_ATP6,Saccostrea_glomerata,0.17486227356782413,773.8528931451979,74.14107677612371,1145.5679384429582,109.754245579113,ATP6,ND4,True,True,7.5,False,NC_036483.1,gene,113.0,153058.28000000003,14114,14412,299,71.27192192993016,67.08553121269698,401.5886287625418,378.0,-1.006491059722584,-1.0153540906227965,0.0,0.0,SG_oyster_random,gene-SG_14,19,306,121.00862948911201,11.019686456420468
10,ATP6_ND2,Saccostrea_glomerata,0.07393445613181737,74.14107677612371,2.8459987802186517,109.754245579113,4.21305519995585,ND2,ATP6,True,True,5.7,False,NC_036483.1,gene,320.0,96718.89,14911,15209,299,46.100750634635574,46.32096202781458,259.75919732441474,261.0,-1.0597810854400656,-1.0593148746837973,0.0,0.0,SG_oyster_random,gene-SG_15gene-SG_16,5,388,50.22875830665801,4.5740966571685595
