,gpair,_org,_coexpression,_left_tpm,_right_tpm,_left_rpkm,_right_rpkm,_right_gene,_left_gene,_left_strand,_right_strand,_neigh_freq,_strand_switch,_Chromosome,_Feature,_junction_size,_sum_around_junction,_Position,last_Position,count_Position,mean_RPM,median_RPM,mean_coverage,median_coverage,mean_z,median_z,mean_ends_ratio,max_ends_ratio,dataset,ID,junc_counts,glengths,junc_tpm,junc_rpkm
0,ND1_ND2,Trachemys_scripta,0.742072566161668,19557.611538524532,11537.36423261055,16086.14684227922,9489.488777965313,ND2,ND1,True,True,99.4,False,NC_011573.1,gene,210.0,108740.81,3777,4075,299,3740.253187597855,3186.200741025189,360.38461538461536,307.0,-0.33109159402493904,-0.3838636403360489,0.0,0.0,popphyl,gene-TS_0gene-TS_1,16,192,18722.605821061385,1729.7506737378874
1,ND2_COX1,Trachemys_scripta,0.38073623791870925,11537.36423261055,49068.18408965807,9489.488777965313,40358.60989443584,COX1,ND2,True,True,99.5,False,NC_011573.1,gene,383.0,140647.0,5025,5323,299,6063.753796614717,5967.639824395712,584.2608695652174,575.0,-0.10978423855449047,-0.11893884300477592,0.0,0.0,popphyl,gene-TS_2gene-TS_3,8,192,9361.302910530694,864.8753368689437
2,COX1_COX2,Trachemys_scripta,0.22697720691614853,49068.18408965807,6281.565818872851,40358.60989443584,5166.591532038056,COX2,COX1,True,True,99.5,False,NC_011573.1,gene,144.0,258046.64999999997,6947,7245,299,7175.919843515761,7835.770552032629,691.4214046822742,755.0,-0.003853331659725295,0.05899572236697453,0.0,0.0,popphyl,gene-TS_4gene-TS_5,31,192,36275.04877830643,3351.3919303671573
3,COX2_ATP8,Trachemys_scripta,0.22622869844406024,6281.565818872851,801.1576566537918,5166.591532038056,658.9526376144332,ATP8,COX2,True,True,99.5,False,NC_011573.1,gene,75.0,178845.65,7778,8009,232,5589.450715884157,5583.635174825899,538.5603448275862,538.0,-0.154960366368109,-0.15551428144230242,0.0,0.0,popphyl,gene-TS_6,15,170,9911.967787620732,915.7503566847639
4,ATP8_ATP6,Trachemys_scripta,0.39049454078355805,801.1576566537918,3302.139946668425,658.9526376144332,2716.012022798964,ATP6,ATP8,True,True,99.6,False,NC_011573.1,gene,1.0,138955.75,8010,8308,299,5587.5574857181855,5583.635174825899,538.3779264214047,538.0,-0.15514069158932853,-0.15551428144230242,0.0,0.0,popphyl,gene-TS_7,0,96,0.0,0.0
5,ATP6_COX3,Trachemys_scripta,0.49909311406846824,3302.139946668425,9930.420686157378,2716.012022798964,8167.776778287831,COX3,ATP6,True,True,99.5,False,NC_011573.1,gene,1.0,153976.99,8693,8991,299,5012.574477481366,4981.681940365116,482.97658862876256,480.0,-0.2099063191512583,-0.21284875250653312,0.0,0.0,popphyl,gene-TS_8,1,96,1170.1628638163365,108.10941710861795
6,COX3_ND3,Trachemys_scripta,0.3087191906253439,9930.420686157378,54402.61067507574,8167.776778287831,44746.1788572081,ND3,COX3,True,True,99.5,False,NC_011573.1,gene,70.0,145419.6,9477,9775,299,7148.845485144216,6579.971562898923,688.8127090301003,634.0,-0.006432093476707183,-0.060615846577368834,0.0,0.0,popphyl,gene-TS_9,14,165,9531.508417994888,880.6003429938336
7,ND3_ND4L,Trachemys_scripta,0.10752642919668698,54402.61067507574,3091.043676972138,44746.1788572081,2542.3852184469624,ND4L,ND3,True,True,99.4,False,NC_011573.1,gene,71.0,171781.25,9896,10194,299,4403.089017678759,4410.864218031613,424.25083612040135,425.0,-0.2679582149773933,-0.2672176474812347,0.0,0.0,popphyl,gene-TS_10,17,166,11504.251769567842,1062.858847718461
8,ND4L_ND4,Trachemys_scripta,0.7465500579464375,3091.043676972138,5189.830844623332,2542.3852184469624,4268.638882041072,ND4,ND4L,True,True,99.6,False,NC_011573.1,gene,1.0,126653.59,10257,10555,299,4273.826311812535,4286.322169522485,411.7959866220736,413.0,-0.28027014960103475,-0.27907995183935136,0.0,0.0,popphyl,gene-TS_11,1,96,1170.1628638163365,108.10941710861795
9,ND4_ND5,Trachemys_scripta,0.4294621418479516,5189.830844623332,18979.148624867412,4268.638882041072,15610.360760038471,ND5,ND4,True,True,98.9,False,NC_011573.1,gene,210.0,118581.51,11638,11936,299,4218.532141446029,4348.593193777049,406.46822742474916,419.0,-0.2855367746964864,-0.27314879966029304,0.0,0.0,popphyl,gene-TS_12gene-TS_13,12,192,14041.95436579604,1297.3130053034156
10,ND5_ND6,Trachemys_scripta,0.8315730394407876,18979.148624867412,13507.518091182927,15610.360760038471,11109.941470179343,ND6,ND5,True,False,84.4,True,NC_011573.1,gene,127.0,113279.84999999999,13675,13973,299,2799.072127027893,2843.7101076250874,269.6989966555184,274.0,-0.420736628213996,-0.41648497732086975,0.0,0.0,popphyl,gene-TS_14gene-TS_15,23,192,26913.745867775746,2486.5165934982133
11,ND6_CYTB,Trachemys_scripta,0.7859355902333647,13507.518091182927,8744.214160451584,11109.941470179343,7192.121222383847,CYTB,ND6,False,True,99.2,True,NC_011573.1,gene,78.0,72624.18,14326,14624,299,2342.001420570756,2293.6493933764386,225.65886287625418,221.0,-0.4642714174524805,-0.4688768215692185,0.0,0.0,popphyl,gene-TS_16,211,173,137010.51427435677,12658.175450590554
